SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
PR8/AI-001,"Brazil - Maranhão","Alto Itapecuru","Serra do Sossego",491,1610,-43.8122,-6.4266,-43.81220,-6.42660,4,0,01/07/2018,31/12/2099,0,,
PR8/AI-002,"Brazil - Maranhão","Alto Itapecuru",Mucuna,458,1502,-43.9211,-6.5418,-43.92110,-6.54180,2,0,01/07/2018,31/12/2099,0,,
PR8/AI-003,"Brazil - Maranhão","Alto Itapecuru","Pe de Serra dos Carneiros",420,1377,-43.4242,-6.1148,-43.42420,-6.11480,2,0,01/07/2018,31/12/2099,0,,
PR8/AI-004,"Brazil - Maranhão","Alto Itapecuru",Atoleiro,418,1371,-44.3094,-6.4242,-44.30940,-6.42420,2,0,01/07/2018,31/12/2099,0,,
PR8/AI-005,"Brazil - Maranhão","Alto Itapecuru","Tabuleiro do Bento",402,1318,-44.3334,-6.2221,-44.33340,-6.22210,2,0,01/07/2018,31/12/2099,0,,
PR8/AI-006,"Brazil - Maranhão","Alto Itapecuru","Serra das Alpercatas",400,1312,-44.5013,-5.8815,-44.50130,-5.88150,2,0,01/07/2018,31/12/2099,0,,
PR8/AI-007,"Brazil - Maranhão","Alto Itapecuru",Mimoso,400,1312,-43.3606,-6.1598,-43.36060,-6.15980,2,0,01/07/2018,31/12/2099,0,,
PR8/AI-008,"Brazil - Maranhão","Alto Itapecuru","Vau do Adique",370,1213,-42.9694,-6.2553,-42.96940,-6.25530,1,0,01/07/2018,31/12/2099,0,,
PR8/AI-009,"Brazil - Maranhão","Alto Itapecuru","Coco das Porteiras",361,1184,-44.2026,-6.0491,-44.20260,-6.04910,1,0,01/07/2018,31/12/2099,0,,
PR8/BS-001,"Brazil - Maranhão",Balsas,"Serra do Lajeado",780,2559,-46.6283,-9.7484,-46.62830,-9.74840,10,0,01/07/2018,31/12/2099,0,,
PR8/BS-002,"Brazil - Maranhão",Balsas,Cajueiro,768,2519,-46.5800,-9.7227,-46.58000,-9.72270,8,0,01/07/2018,31/12/2099,0,,
PR8/BS-003,"Brazil - Maranhão",Balsas,Jurubeba,741,2431,-46.1191,-10.0643,-46.11910,-10.06430,8,0,01/07/2018,31/12/2099,0,,
PR8/BS-004,"Brazil - Maranhão",Balsas,"Morro Amansa Velhaco",712,2335,-46.0718,-10.0761,-46.07180,-10.07610,8,0,01/07/2018,31/12/2099,0,,
PR8/BS-005,"Brazil - Maranhão",Balsas,Furquilha,690,2263,-46.1700,-10.0365,-46.17000,-10.03650,8,0,01/07/2018,31/12/2099,0,,
PR8/BS-006,"Brazil - Maranhão",Balsas,Castanha,659,2162,-46.1045,-8.2665,-46.10450,-8.26650,6,0,01/07/2018,31/12/2099,0,,
PR8/BS-007,"Brazil - Maranhão",Balsas,"Serra do Felipe",653,2142,-46.7358,-7.2828,-46.73580,-7.28280,6,0,01/07/2018,31/12/2099,0,,
PR8/BS-008,"Brazil - Maranhão",Balsas,"Serra dos Veados",649,2129,-46.4607,-9.5556,-46.46070,-9.55560,6,0,01/07/2018,31/12/2099,0,,
PR8/BS-009,"Brazil - Maranhão",Balsas,"Serra do Luis Silva",626,2053,-46.3576,-7.1945,-46.35760,-7.19450,6,0,01/07/2018,31/12/2099,0,,
PR8/BS-010,"Brazil - Maranhão",Balsas,"Morro da Aldeia",604,1981,-46.8430,-7.3259,-46.84300,-7.32590,6,0,01/07/2018,31/12/2099,0,,
