SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
PS8/AC-001,"Brazil - Piauí","Alto Medio Caninde","Serrote Tacaniço",730,2395,-40.8039,-7.6602,-40.80390,-7.66020,8,0,01/08/2018,31/12/2099,0,,
PS8/AC-002,"Brazil - Piauí","Alto Medio Caninde","Serra do Riacho de Areia",679,2227,-41.2386,-8.4103,-41.23860,-8.41030,6,0,01/08/2018,31/12/2099,0,,
PS8/AC-003,"Brazil - Piauí","Alto Medio Caninde","Serra da Gameleira",665,2181,-41.5622,-8.5383,-41.56220,-8.53830,6,0,01/08/2018,31/12/2099,0,,
PS8/AC-004,"Brazil - Piauí","Alto Medio Caninde","Serra do Tatarambi",663,2175,-41.2878,-8.4732,-41.28780,-8.47320,6,0,01/08/2018,31/12/2099,0,,
PS8/AC-005,"Brazil - Piauí","Alto Medio Caninde","Serra do Riacho de Areia",660,2165,-41.2792,-8.4281,-41.27920,-8.42810,6,0,01/08/2018,31/12/2099,0,,
PS8/AC-006,"Brazil - Piauí","Alto Medio Caninde","Serra da Topa",650,2132,-41.1528,-8.2488,-41.15280,-8.24880,6,0,01/08/2018,31/12/2099,0,,
PS8/AC-007,"Brazil - Piauí","Alto Medio Caninde","Serra do Tatarambi",647,2122,-41.3330,-8.4812,-41.33300,-8.48120,6,0,01/08/2018,31/12/2099,0,,
PS8/AC-008,"Brazil - Piauí","Alto Medio Caninde","Morro do Estreito",640,2099,-40.7724,-8.0855,-40.77240,-8.08550,6,0,01/08/2018,31/12/2099,0,,
PS8/AC-009,"Brazil - Piauí","Alto Medio Caninde","Morro Torto",638,2093,-40.9303,-8.0958,-40.93030,-8.09580,6,0,01/08/2018,31/12/2099,0,,
PS8/AC-010,"Brazil - Piauí","Alto Medio Caninde",Bocaina,634,2080,-41.5701,-8.7677,-41.57010,-8.76770,6,0,01/08/2018,31/12/2099,0,,
PS8/AC-011,"Brazil - Piauí","Alto Medio Caninde","Morro do Baixio",600,1968,-40.8887,-7.8924,-40.88870,-7.89240,6,0,01/08/2018,31/12/2099,0,,
PS8/AC-012,"Brazil - Piauí","Alto Medio Caninde","Serra de São Romão",551,1807,-41.8208,-8.4480,-41.82080,-8.44800,4,0,01/08/2018,31/12/2099,0,,
PS8/AC-013,"Brazil - Piauí","Alto Medio Caninde","Serra do São Francisco",545,1788,-42.0248,-8.5086,-42.02480,-8.50860,4,0,01/08/2018,31/12/2099,0,,
PS8/AC-014,"Brazil - Piauí","Alto Medio Caninde","Serra da Aldeia",543,1781,-41.9273,-8.5420,-41.92730,-8.54200,4,0,01/08/2018,31/12/2099,0,,
PS8/AC-015,"Brazil - Piauí","Alto Medio Caninde","Serra dos Caetano",540,1771,-41.7347,-8.3058,-41.73470,-8.30580,4,0,01/08/2018,31/12/2099,0,,
PS8/AC-016,"Brazil - Piauí","Alto Medio Caninde","Morro dos Três Irmãos",526,1725,-41.2352,-7.4853,-41.23520,-7.48530,4,0,01/08/2018,31/12/2099,0,,
PS8/AC-017,"Brazil - Piauí","Alto Medio Caninde","Serra do Morro Branco",498,1633,-42.0847,-8.4798,-42.08470,-8.47980,2,0,01/08/2018,31/12/2099,0,,
PS8/AC-018,"Brazil - Piauí","Alto Medio Caninde","Morro do Imburanal",450,1476,-41.0673,-7.9140,-41.06730,-7.91400,2,0,01/08/2018,31/12/2099,0,,
PS8/AG-001,"Brazil - Piauí","Alto Medio Gurgueia","Serra da Boa Nova",759,2490,-45.4737,-10.0591,-45.47370,-10.05910,8,0,01/08/2018,31/12/2099,0,,
PS8/AG-002,"Brazil - Piauí","Alto Medio Gurgueia","Serra do Ouro",756,2480,-45.4710,-10.1738,-45.47100,-10.17380,8,0,01/08/2018,31/12/2099,0,,
PS8/AG-003,"Brazil - Piauí","Alto Medio Gurgueia","Morro Sumidor",697,2286,-45.4058,-10.1105,-45.40580,-10.11050,6,0,01/08/2018,31/12/2099,0,,
PS8/AG-004,"Brazil - Piauí","Alto Medio Gurgueia","Serra do Miroró",674,2211,-45.1837,-9.6887,-45.18370,-9.68870,6,0,01/08/2018,31/12/2099,0,,
