SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
PT7/CS-001,"Brazil - Ceará","Centro-Sul Cearense",PT7/CS-001,870,2854,-38.6268,-6.4525,-38.62680,-6.45250,10,0,01/07/2021,31/12/2099,0,,
PT7/CS-002,"Brazil - Ceará","Centro-Sul Cearense","Morro do Calembá",870,2854,-38.5984,-6.4339,-38.59840,-6.43390,10,0,01/07/2021,31/12/2099,0,,
PT7/CS-003,"Brazil - Ceará","Centro-Sul Cearense",PT7/CS-003,815,2673,-38.5932,-6.2819,-38.59320,-6.28190,10,0,01/07/2021,31/12/2099,0,,
PT7/CS-004,"Brazil - Ceará","Centro-Sul Cearense",PT7/CS-004,674,2211,-38.7250,-6.4777,-38.72500,-6.47770,6,0,01/07/2021,31/12/2099,0,,
PT7/CS-005,"Brazil - Ceará","Centro-Sul Cearense","Morro do Marapicu",663,2175,-38.9906,-6.1838,-38.99060,-6.18380,6,0,01/07/2021,31/12/2099,0,,
PT7/CS-006,"Brazil - Ceará","Centro-Sul Cearense","Serra da Itaoca",652,2139,-38.8356,-6.5262,-38.83560,-6.52620,6,0,01/07/2021,31/12/2099,0,,
PT7/CS-007,"Brazil - Ceará","Centro-Sul Cearense","Serra da Curiçanga",649,2129,-39.7058,-6.4042,-39.70580,-6.40420,6,0,01/07/2021,31/12/2099,0,,
PT7/CS-008,"Brazil - Ceará","Centro-Sul Cearense",PT7/CS-008,646,2119,-39.4278,-6.5208,-39.42780,-6.52080,6,0,01/07/2021,31/12/2099,0,,
PT7/CS-009,"Brazil - Ceará","Centro-Sul Cearense",PT7/CS-009,642,2106,-39.6019,-6.7114,-39.60190,-6.71140,6,0,01/07/2021,31/12/2099,0,,
PT7/CS-010,"Brazil - Ceará","Centro-Sul Cearense",PT7/CS-010,640,2099,-38.6869,-6.5722,-38.68690,-6.57220,6,0,01/07/2021,31/12/2099,0,,
PT7/CS-011,"Brazil - Ceará","Centro-Sul Cearense","Pedra da Lagoinha",630,2066,-39.7248,-6.7038,-39.72480,-6.70380,6,0,01/07/2021,31/12/2099,0,,
PT7/CS-012,"Brazil - Ceará","Centro-Sul Cearense",PT7/CS-012,629,2063,-39.3169,-6.6866,-39.31690,-6.68660,6,0,01/07/2021,31/12/2099,0,,
PT7/CS-013,"Brazil - Ceará","Centro-Sul Cearense","Serra das Almas",626,2053,-39.6820,-6.6217,-39.68200,-6.62170,6,0,01/07/2021,31/12/2099,0,,
PT7/CS-014,"Brazil - Ceará","Centro-Sul Cearense","Serra Santa Cruz",624,2047,-39.4436,-6.5823,-39.44360,-6.58230,6,0,01/07/2021,31/12/2099,0,,
PT7/CS-015,"Brazil - Ceará","Centro-Sul Cearense","Queixo da Mulher de Pedra",618,2027,-39.2676,-6.6423,-39.26760,-6.64230,6,0,01/07/2021,31/12/2099,0,,
PT7/CS-016,"Brazil - Ceará","Centro-Sul Cearense","Pedra Rosilha",614,2014,-39.1976,-6.8012,-39.19760,-6.80120,6,0,01/07/2021,31/12/2099,0,,
PT7/CS-017,"Brazil - Ceará","Centro-Sul Cearense",PT7/CS-017,612,2007,-39.6458,-6.7125,-39.64580,-6.71250,6,0,01/07/2021,31/12/2099,0,,
PT7/CS-018,"Brazil - Ceará","Centro-Sul Cearense","Morro do Pão de Ló",607,1991,-38.6983,-6.4029,-38.69830,-6.40290,6,0,01/07/2021,31/12/2099,0,,
PT7/CS-019,"Brazil - Ceará","Centro-Sul Cearense","Morro Canto Alegre",603,1978,-38.7712,-6.9087,-38.77120,-6.90870,6,0,01/07/2021,31/12/2099,0,,
PT7/CS-020,"Brazil - Ceará","Centro-Sul Cearense",PT7/CS-020,590,1935,-38.7736,-6.6119,-38.77360,-6.61190,4,0,01/07/2021,31/12/2099,0,,
PT7/CS-021,"Brazil - Ceará","Centro-Sul Cearense","Serra Vista Alegre",585,1919,-39.5522,-6.5113,-39.55220,-6.51130,4,0,01/07/2021,31/12/2099,0,,
PT7/CS-022,"Brazil - Ceará","Centro-Sul Cearense","Serra do Cajú",573,1879,-38.7386,-6.4292,-38.73860,-6.42920,4,0,01/07/2021,31/12/2099,0,,
PT7/CS-023,"Brazil - Ceará","Centro-Sul Cearense","Morro do André",570,1870,-39.5312,-6.5936,-39.53120,-6.59360,4,0,01/07/2021,31/12/2099,0,,
PT7/CS-024,"Brazil - Ceará","Centro-Sul Cearense","Pedra da Elefantina",565,1853,-38.8922,-6.1914,-38.89220,-6.19140,4,0,01/07/2021,31/12/2099,0,,
PT7/CS-025,"Brazil - Ceará","Centro-Sul Cearense",PT7/CS-025,559,1833,-38.7751,-6.5259,-38.77510,-6.52590,4,0,01/07/2021,31/12/2099,0,,
PT7/CS-026,"Brazil - Ceará","Centro-Sul Cearense",PT7/CS-026,544,1784,-38.8089,-6.5172,-38.80890,-6.51720,4,0,01/07/2021,31/12/2099,0,,
PT7/CS-027,"Brazil - Ceará","Centro-Sul Cearense","Morro do Itaúna",536,1758,-39.1806,-6.8269,-39.18060,-6.82690,4,0,01/07/2021,31/12/2099,0,,
PT7/CS-028,"Brazil - Ceará","Centro-Sul Cearense","Morro Bangará",535,1755,-39.5529,-6.6114,-39.55290,-6.61140,4,0,01/07/2021,31/12/2099,0,,
PT7/CS-029,"Brazil - Ceará","Centro-Sul Cearense",PT7/CS-029,533,1748,-39.4144,-6.5717,-39.41440,-6.57170,4,0,01/07/2021,31/12/2099,0,,
PT7/CS-030,"Brazil - Ceará","Centro-Sul Cearense",PT7/CS-030,530,1738,-38.8112,-6.5571,-38.81120,-6.55710,4,0,01/07/2021,31/12/2099,0,,
PT7/CS-031,"Brazil - Ceará","Centro-Sul Cearense",PT7/CS-031,527,1729,-39.6908,-6.7494,-39.69080,-6.74940,4,0,01/07/2021,31/12/2099,0,,
PT7/CS-032,"Brazil - Ceará","Centro-Sul Cearense",PT7/CS-032,524,1719,-38.7426,-6.5189,-38.74260,-6.51890,4,0,01/07/2021,31/12/2099,0,,
PT7/CS-033,"Brazil - Ceará","Centro-Sul Cearense",PT7/CS-033,519,1702,-39.5596,-6.6459,-39.55960,-6.64590,4,0,01/07/2021,31/12/2099,0,,
PT7/CS-034,"Brazil - Ceará","Centro-Sul Cearense",PT7/CS-034,519,1702,-39.1671,-6.9348,-39.16710,-6.93480,4,0,01/07/2021,31/12/2099,0,,
PT7/CS-035,"Brazil - Ceará","Centro-Sul Cearense",PT7/CS-035,515,1689,-39.5436,-6.4599,-39.54360,-6.45990,4,0,01/07/2021,31/12/2099,0,,
PT7/CS-036,"Brazil - Ceará","Centro-Sul Cearense",PT7/CS-036,507,1663,-39.3022,-6.5286,-39.30220,-6.52860,4,0,01/07/2021,31/12/2099,0,,
PT7/CS-037,"Brazil - Ceará","Centro-Sul Cearense",PT7/CS-037,487,1597,-39.1176,-6.3777,-39.11760,-6.37770,2,0,01/07/2021,31/12/2099,0,,
PT7/CS-038,"Brazil - Ceará","Centro-Sul Cearense",PT7/CS-038,484,1587,-38.9180,-6.1880,-38.91800,-6.18800,2,0,01/07/2021,31/12/2099,0,,
PT7/CS-039,"Brazil - Ceará","Centro-Sul Cearense",PT7/CS-039,484,1587,-38.8343,-6.4633,-38.83430,-6.46330,2,0,01/07/2021,31/12/2099,0,,
PT7/CS-040,"Brazil - Ceará","Centro-Sul Cearense",PT7/CS-040,480,1574,-38.7170,-6.7132,-38.71700,-6.71320,2,0,01/07/2021,31/12/2099,0,,
PT7/CS-041,"Brazil - Ceará","Centro-Sul Cearense","Seio de Vênus",480,1574,-39.4635,-6.5294,-39.46350,-6.52940,2,0,01/07/2021,31/12/2099,0,,
PT7/CS-042,"Brazil - Ceará","Centro-Sul Cearense",PT7/CS-042,478,1568,-38.9505,-6.7097,-38.95050,-6.70970,2,0,01/07/2021,31/12/2099,0,,
PT7/CS-043,"Brazil - Ceará","Centro-Sul Cearense",Capetini,475,1558,-38.6990,-6.2289,-38.69900,-6.22890,2,0,01/07/2021,31/12/2099,0,,
PT7/CS-044,"Brazil - Ceará","Centro-Sul Cearense","Morro do Mata Porcos",472,1548,-38.9220,-6.1436,-38.92200,-6.14360,2,0,01/07/2021,31/12/2099,0,,
PT7/CS-045,"Brazil - Ceará","Centro-Sul Cearense",Fidalgo,466,1528,-39.4855,-6.7273,-39.48550,-6.72730,2,0,01/07/2021,31/12/2099,0,,
PT7/CS-046,"Brazil - Ceará","Centro-Sul Cearense",PT7/CS-046,460,1509,-38.9157,-6.2146,-38.91570,-6.21460,2,0,01/07/2021,31/12/2099,0,,
PT7/CS-047,"Brazil - Ceará","Centro-Sul Cearense","Alto do Mundo Novo",443,1453,-38.9064,-6.3208,-38.90640,-6.32080,2,0,01/07/2021,31/12/2099,0,,
PT7/CS-048,"Brazil - Ceará","Centro-Sul Cearense","Morro do Calengué",429,1407,-38.8933,-6.2131,-38.89330,-6.21310,2,0,01/07/2021,31/12/2099,0,,
PT7/CS-049,"Brazil - Ceará","Centro-Sul Cearense","Serra do Pontal",424,1391,-38.8420,-6.4492,-38.84200,-6.44920,2,0,01/07/2021,31/12/2099,0,,
PT7/FO-001,"Brazil - Ceará",Fortaleza,"Pico das Agulhas Negras",960,3149,-38.7201,-3.8946,-38.72010,-3.89460,10,0,01/07/2021,31/12/2099,1,09/06/2023,PU7MYC
PT7/FO-002,"Brazil - Ceará",Fortaleza,"Pico da Pedra Branca",777,2549,-38.6479,-3.9772,-38.64790,-3.97720,8,0,01/07/2021,31/12/2099,2,23/10/2021,ZW7RENER
PT7/FO-003,"Brazil - Ceará",Fortaleza,PT7/FO-003,690,2263,-38.6717,-4.0386,-38.67170,-4.03860,6,0,01/07/2021,31/12/2099,0,,
PT7/FO-004,"Brazil - Ceará",Fortaleza,"Pedra do Taquaril",648,2125,-38.7729,-3.7841,-38.77290,-3.78410,6,0,01/07/2021,31/12/2099,0,,
PT7/FO-005,"Brazil - Ceará",Fortaleza,"Serra dos Soares",558,1830,-38.6221,-3.9468,-38.62210,-3.94680,4,0,01/07/2021,31/12/2099,0,,
PT7/FO-006,"Brazil - Ceará",Fortaleza,"Maria Comprida",550,1804,-38.8821,-4.0481,-38.88210,-4.04810,4,0,01/07/2021,31/12/2099,0,,
PT7/FO-007,"Brazil - Ceará",Fortaleza,"Pedra Mangangá",511,1676,-38.6810,-3.8454,-38.68100,-3.84540,4,0,01/07/2021,31/12/2099,0,,
PT7/FO-008,"Brazil - Ceará",Fortaleza,"Morro dos Pratis",489,1604,-38.7509,-3.9287,-38.75090,-3.92870,2,0,01/07/2021,31/12/2099,0,,
PT7/FO-009,"Brazil - Ceará",Fortaleza,"Serra dos Cavalos",470,1541,-38.7828,-3.9599,-38.78280,-3.95990,2,0,01/07/2021,31/12/2099,0,,
PT7/FO-010,"Brazil - Ceará",Fortaleza,"Pedra da Tesoura",464,1522,-38.8387,-4.0642,-38.83870,-4.06420,2,0,01/07/2021,31/12/2099,0,,
PT7/FO-011,"Brazil - Ceará",Fortaleza,PT7/FO-011,440,1443,-38.9411,-3.8895,-38.94110,-3.88950,2,0,01/07/2021,31/12/2099,0,,
PT7/FO-012,"Brazil - Ceará",Fortaleza,PT7/FO-012,436,1430,-38.8759,-3.8241,-38.87590,-3.82410,2,0,01/07/2021,31/12/2099,0,,
PT7/FO-013,"Brazil - Ceará",Fortaleza,"Serra de Ibipeba",421,1381,-38.9280,-3.8711,-38.92800,-3.87110,2,0,01/07/2021,31/12/2099,0,,
PT7/FO-014,"Brazil - Ceará",Fortaleza,"Pedra do Itacolomi",394,1292,-38.8585,-3.7909,-38.85850,-3.79090,1,0,01/07/2021,31/12/2099,0,,
PT7/FO-015,"Brazil - Ceará",Fortaleza,"Pedra Monte Cristo",381,1250,-38.7665,-3.6923,-38.76650,-3.69230,1,0,01/07/2021,31/12/2099,0,,
