SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
PY3/NE-001,"Brazil - Rio Grande do Sul",Nordeste,"Pico do Monte Negro",1398,4586,-49.8008,-28.6189,-49.80080,-28.61890,10,3,01/11/2020,31/12/2099,1,23/04/2022,PY3/PY2TTN
PY3/NE-002,"Brazil - Rio Grande do Sul",Nordeste,PY3/NE-002,1101,3612,-50.0757,-28.4944,-50.07570,-28.49440,10,3,01/11/2020,31/12/2099,0,,
PY3/NE-003,"Brazil - Rio Grande do Sul",Nordeste,PY3/NE-003,1082,3549,-50.0860,-28.4820,-50.08600,-28.48200,10,3,01/11/2020,31/12/2099,0,,
PY3/NE-004,"Brazil - Rio Grande do Sul",Nordeste,PY3/NE-004,1059,3474,-50.4565,-29.0660,-50.45650,-29.06600,10,3,01/11/2020,31/12/2099,0,,
PY3/NE-005,"Brazil - Rio Grande do Sul",Nordeste,"Quebrada Funda",975,3198,-50.4463,-28.8281,-50.44630,-28.82810,10,3,01/11/2020,31/12/2099,0,,
PY3/NE-006,"Brazil - Rio Grande do Sul",Nordeste,PY3/NE-006,872,2860,-51.2657,-29.0156,-51.26570,-29.01560,8,0,01/11/2020,31/12/2099,0,,
PY3/NE-007,"Brazil - Rio Grande do Sul",Nordeste,Taborda,813,2667,-52.2230,-28.7596,-52.22300,-28.75960,8,0,01/11/2020,31/12/2099,0,,
PY3/NE-008,"Brazil - Rio Grande do Sul",Nordeste,PY3/NE-008,784,2572,-52.0839,-28.8212,-52.08390,-28.82120,8,0,01/11/2020,31/12/2099,0,,
PY3/NE-009,"Brazil - Rio Grande do Sul",Nordeste,PY3/NE-009,773,2536,-51.9422,-28.8360,-51.94220,-28.83600,8,0,01/11/2020,31/12/2099,0,,
PY3/NE-010,"Brazil - Rio Grande do Sul",Nordeste,PY3/NE-010,760,2493,-52.0533,-28.7775,-52.05330,-28.77750,8,0,01/11/2020,31/12/2099,0,,
PY3/NE-011,"Brazil - Rio Grande do Sul",Nordeste,PY3/NE-011,747,2450,-51.9790,-28.8456,-51.97900,-28.84560,6,0,01/11/2020,31/12/2099,0,,
PY3/NE-012,"Brazil - Rio Grande do Sul",Nordeste,PY3/NE-012,720,2362,-50.9567,-29.2922,-50.95670,-29.29220,6,0,01/11/2020,31/12/2099,0,,
PY3/NE-013,"Brazil - Rio Grande do Sul",Nordeste,PY3/NE-013,702,2303,-52.2068,-29.0219,-52.20680,-29.02190,6,0,01/11/2020,31/12/2099,0,,
PY3/NE-014,"Brazil - Rio Grande do Sul",Nordeste,PY3/NE-014,696,2283,-51.8369,-28.9996,-51.83690,-28.99960,6,0,01/11/2020,31/12/2099,0,,
PY3/NE-015,"Brazil - Rio Grande do Sul",Nordeste,PY3/NE-015,670,2198,-51.8480,-28.9484,-51.84800,-28.94840,6,0,01/11/2020,31/12/2099,0,,
PY3/NE-016,"Brazil - Rio Grande do Sul",Nordeste,PY3/NE-016,644,2112,-51.9601,-28.9415,-51.96010,-28.94150,6,0,01/11/2020,31/12/2099,0,,
PY3/NE-017,"Brazil - Rio Grande do Sul",Nordeste,"Monte Claro",620,2034,-51.5322,-29.0385,-51.53220,-29.03850,6,0,01/11/2020,31/12/2099,1,22/07/2023,PP5RG
PY3/NE-018,"Brazil - Rio Grande do Sul",Nordeste,PY3/NE-018,612,2007,-51.4528,-28.9449,-51.45280,-28.94490,6,0,01/11/2020,31/12/2099,0,,
PY3/NE-019,"Brazil - Rio Grande do Sul",Nordeste,PY3/NE-019,579,1899,-51.5495,-29.0275,-51.54950,-29.02750,4,0,01/11/2020,31/12/2099,0,,
PY3/NE-020,"Brazil - Rio Grande do Sul",Nordeste,PY3/NE-020,552,1811,-51.6248,-29.0555,-51.62480,-29.05550,4,0,01/11/2020,31/12/2099,0,,
PY3/NE-021,"Brazil - Rio Grande do Sul",Nordeste,PY3/NE-021,542,1778,-51.6501,-29.0405,-51.65010,-29.04050,4,0,01/11/2020,31/12/2099,0,,
PY3/NE-022,"Brazil - Rio Grande do Sul",Nordeste,PY3/NE-022,530,1738,-51.6530,-29.0696,-51.65300,-29.06960,4,0,01/11/2020,31/12/2099,0,,
PY3/NE-023,"Brazil - Rio Grande do Sul",Nordeste,PY3/NE-023,408,1338,-51.9191,-28.9587,-51.91910,-28.95870,2,0,01/11/2020,31/12/2099,0,,
PY3/NO-001,"Brazil - Rio Grande do Sul",Noroeste,PY3/NO-001,895,2936,-52.4639,-27.5080,-52.46390,-27.50800,8,0,01/11/2020,31/12/2099,0,,
PY3/NO-002,"Brazil - Rio Grande do Sul",Noroeste,"Rincão do Gasperim",795,2608,-51.3067,-27.7446,-51.30670,-27.74460,8,0,01/11/2020,31/12/2099,0,,
PY3/NO-003,"Brazil - Rio Grande do Sul",Noroeste,PY3/NO-003,651,2135,-52.4579,-29.1377,-52.45790,-29.13770,6,0,01/11/2020,31/12/2099,0,,
PY3/NO-004,"Brazil - Rio Grande do Sul",Noroeste,Camargo,614,2014,-52.1826,-28.5798,-52.18260,-28.57980,6,0,01/11/2020,31/12/2099,0,,
PY3/NO-005,"Brazil - Rio Grande do Sul",Noroeste,PY3/NO-005,608,1994,-52.6717,-29.2269,-52.67170,-29.22690,6,0,01/11/2020,31/12/2099,0,,
PY3/NO-006,"Brazil - Rio Grande do Sul",Noroeste,PY3/NO-006,545,1788,-52.7646,-29.3517,-52.76460,-29.35170,4,0,01/11/2020,31/12/2099,0,,
PY3/NO-007,"Brazil - Rio Grande do Sul",Noroeste,Catres,381,1250,-53.5545,-27.1970,-53.55450,-27.19700,2,0,01/11/2020,31/12/2099,0,,
PY3/NO-008,"Brazil - Rio Grande do Sul",Noroeste,Cemitério,360,1181,-54.9564,-27.8869,-54.95640,-27.88690,2,0,01/11/2020,31/12/2099,0,,
PY3/OC-001,"Brazil - Rio Grande do Sul","Centro Ocidental",PY3/OC-001,559,1833,-53.2316,-29.5266,-53.23160,-29.52660,4,0,01/11/2020,31/12/2099,0,,
PY3/OC-002,"Brazil - Rio Grande do Sul","Centro Ocidental",PY3/OC-002,550,1804,-53.2316,-29.5709,-53.23160,-29.57090,4,0,01/11/2020,31/12/2099,0,,
PY3/OC-003,"Brazil - Rio Grande do Sul","Centro Ocidental",PY3/OC-003,541,1774,-53.4175,-29.5435,-53.41750,-29.54350,4,0,01/11/2020,31/12/2099,0,,
PY3/OC-004,"Brazil - Rio Grande do Sul","Centro Ocidental",PY3/OC-004,539,1768,-53.1851,-29.5401,-53.18510,-29.54010,4,0,01/11/2020,31/12/2099,0,,
PY3/OC-005,"Brazil - Rio Grande do Sul","Centro Ocidental",PY3/OC-005,539,1768,-53.1972,-29.6589,-53.19720,-29.65890,4,0,01/11/2020,31/12/2099,0,,
PY3/OC-006,"Brazil - Rio Grande do Sul","Centro Ocidental","Cerro da Preguiça",531,1742,-53.2090,-29.6837,-53.20900,-29.68370,4,0,01/11/2020,31/12/2099,0,,
PY3/OC-007,"Brazil - Rio Grande do Sul","Centro Ocidental","Cerro Comprido",528,1732,-53.3837,-29.5773,-53.38370,-29.57730,4,0,01/11/2020,31/12/2099,1,29/12/2025,PY3ZSI
PY3/OC-008,"Brazil - Rio Grande do Sul","Centro Ocidental",PY3/OC-008,521,1709,-53.3697,-29.5551,-53.36970,-29.55510,4,0,01/11/2020,31/12/2099,0,,
