SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
R9U/CE-001,"Russia - Urals","Central Urals","Kazanskiy Kamen",1179,3868,59.3818,59.4944,59.38180,59.49440,8,3,01/02/2015,31/12/2099,0,,
R9U/CE-002,"Russia - Urals","Central Urals",Oslyanka,1107,3632,58.5502,59.1648,58.55020,59.16480,8,3,01/02/2015,31/12/2099,0,,
R9U/CE-003,"Russia - Urals","Central Urals",Bugry,1042,3419,59.3043,59.4553,59.30430,59.45530,6,3,01/02/2015,31/12/2099,0,,
R9U/CE-004,"Russia - Urals","Central Urals",Semichelovechie,1023,3356,59.3419,59.4710,59.34190,59.47100,6,3,01/02/2015,31/12/2099,0,,
R9U/CE-005,"Russia - Urals","Central Urals","Sredniy Baseg",968,3176,58.4864,58.8963,58.48640,58.89630,6,3,01/02/2015,31/12/2099,0,,
R9U/CE-006,"Russia - Urals","Central Urals","Pavdinskiy Kamen",935,3068,59.2822,59.3344,59.28220,59.33440,6,3,01/02/2015,31/12/2099,0,,
R9U/CE-007,"Russia - Urals","Central Urals",Kolpak,932,3058,59.2514,59.4339,59.25140,59.43390,6,3,01/02/2015,31/12/2099,0,,
R9U/CE-008,"Russia - Urals","Central Urals","Severniy Baseg",925,3035,58.4898,58.9486,58.48980,58.94860,6,3,01/02/2015,31/12/2099,0,,
R9U/CE-009,"Russia - Urals","Central Urals",Kachkanar,861,2825,59.3834,58.7709,59.38340,58.77090,4,3,01/02/2015,31/12/2099,4,13/06/2021,RL8C/P
R9U/CE-010,"Russia - Urals","Central Urals","Hariusniy Kamen",844,2769,58.7646,58.9126,58.76460,58.91260,4,3,01/02/2015,31/12/2099,0,,
R9U/CE-011,"Russia - Urals","Central Urals",R9U/CE-011,840,2756,59.2335,59.3928,59.23350,59.39280,4,3,01/02/2015,31/12/2099,0,,
R9U/CE-012,"Russia - Urals","Central Urals","Lyalinskiy Kamen",829,2720,59.0441,59.1855,59.04410,59.18550,4,3,01/02/2015,31/12/2099,0,,
R9U/CE-013,"Russia - Urals","Central Urals","Rostovskiy Kamen",829,2720,58.6471,59.3418,58.64710,59.34180,4,3,01/02/2015,31/12/2099,0,,
R9U/CE-014,"Russia - Urals","Central Urals","Yujniy Baseg",825,2707,58.4699,58.8213,58.46990,58.82130,4,3,01/02/2015,31/12/2099,0,,
R9U/CE-015,"Russia - Urals","Central Urals","Beliy Kamen",780,2559,59.3165,59.3283,59.31650,59.32830,4,3,01/02/2015,31/12/2099,0,,
R9U/CE-016,"Russia - Urals","Central Urals",Boyarskaya,763,2503,58.4802,59.3006,58.48020,59.30060,4,3,01/02/2015,31/12/2099,0,,
R9U/CE-017,"Russia - Urals","Central Urals","Nyarovskiy Kamen",759,2490,58.2333,59.2271,58.23330,59.22710,4,3,01/02/2015,31/12/2099,0,,
R9U/CE-018,"Russia - Urals","Central Urals","Dikar Kamen",756,2480,58.5270,59.4726,58.52700,59.47260,4,3,01/02/2015,31/12/2099,0,,
R9U/CE-019,"Russia - Urals","Central Urals",Shirokaya,747,2451,59.7033,57.5907,59.70330,57.59070,4,3,01/02/2015,31/12/2099,0,,
R9U/CE-020,"Russia - Urals","Central Urals","Starik Kamen",736,2415,59.7162,57.5054,59.71620,57.50540,4,3,01/02/2015,31/12/2099,2,05/06/2016,UB8CFS
R9U/CE-021,"Russia - Urals","Central Urals",Belaya,705,2313,59.7168,57.6543,59.71680,57.65430,4,3,01/02/2015,31/12/2099,4,26/03/2022,UB8CDK
R9U/CE-022,"Russia - Urals","Central Urals",Sutuk,697,2287,59.7765,57.3802,59.77650,57.38020,2,0,01/02/2015,31/12/2099,0,,
R9U/CE-023,"Russia - Urals","Central Urals",R9U/CE-023,697,2287,58.3766,59.1649,58.37660,59.16490,2,0,01/02/2015,31/12/2099,0,,
R9U/CE-024,"Russia - Urals","Central Urals",R9U/CE-024,687,2254,59.3434,59.3563,59.34340,59.35630,2,0,01/02/2015,31/12/2099,0,,
R9U/CE-025,"Russia - Urals","Central Urals",Sheludyak,680,2231,58.2248,59.3700,58.22480,59.37000,2,0,01/02/2015,31/12/2099,0,,
R9U/CE-026,"Russia - Urals","Central Urals",R9U/CE-026,674,2211,59.4484,56.2487,59.44840,56.24870,2,0,01/02/2015,31/12/2099,0,,
R9U/CE-027,"Russia - Urals","Central Urals",Mogilnaya,643,2110,60.3486,55.9320,60.34860,55.93200,2,0,01/02/2015,31/12/2099,0,,
R9U/CE-028,"Russia - Urals","Central Urals",R9U/CE-028,636,2087,58.5498,58.6065,58.54980,58.60650,2,0,01/02/2015,31/12/2099,0,,
R9U/CE-029,"Russia - Urals","Central Urals",Sarannaya,628,2060,59.5266,58.8992,59.52660,58.89920,2,0,01/02/2015,31/12/2099,0,,
