SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
S5/BI-001,Slovenia,"Posavsko hribovje, Kozjansko in Bizeljsko",Kum,1220,4002,15.0736,46.0881,15.07360,46.08810,6,3,15/06/2008,31/12/2099,297,20/05/2026,S54TIM
S5/BI-002,Slovenia,"Posavsko hribovje, Kozjansko in Bizeljsko","Črni vrh",1205,3953,14.9686,46.1939,14.96860,46.19390,6,3,15/06/2008,31/12/2099,159,30/05/2026,S52O/P
S5/BI-003,Slovenia,"Posavsko hribovje, Kozjansko in Bizeljsko",Javor,1132,3713,15.0161,46.1828,15.01610,46.18280,4,3,15/06/2008,31/12/2099,118,30/05/2026,S52O/P
S5/BI-004,Slovenia,"Posavsko hribovje, Kozjansko in Bizeljsko",Mrzlica,1121,3677,15.1075,46.1875,15.10750,46.18750,4,3,15/06/2008,31/12/2099,231,02/05/2026,S59WT/P
S5/BI-005,Slovenia,"Posavsko hribovje, Kozjansko in Bizeljsko",Gozdnik,1090,3576,15.1531,46.1925,15.15310,46.19250,4,3,15/06/2008,31/12/2099,53,29/03/2026,S57KOP/P
S5/BI-006,Slovenia,"Posavsko hribovje, Kozjansko in Bizeljsko","Veliki Javornik",1024,3359,15.4283,46.0678,15.42830,46.06780,4,3,15/06/2008,31/12/2099,72,21/03/2026,S52AU/P
S5/BI-007,Slovenia,"Posavsko hribovje, Kozjansko in Bizeljsko",Kozica,974,3195,14.9644,46.2078,14.96440,46.20780,4,0,15/06/2008,31/12/2099,33,20/05/2026,S55VN/P
S5/BI-008,Slovenia,"Posavsko hribovje, Kozjansko in Bizeljsko","Nebeška gora",960,3149,15.1044,46.0844,15.10440,46.08440,4,0,15/06/2008,31/12/2099,40,31/05/2026,S5/9A5YY
S5/BI-009,Slovenia,"Posavsko hribovje, Kozjansko in Bizeljsko",Malič,936,3070,15.2083,46.1833,15.20830,46.18330,4,0,15/06/2008,31/12/2099,119,03/05/2026,S57KOP/P
S5/BI-010,Slovenia,"Posavsko hribovje, Kozjansko in Bizeljsko",Ješovec,934,3064,15.3081,46.0744,15.30810,46.07440,4,0,15/06/2008,01/06/2009,0,,
S5/BI-011,Slovenia,"Posavsko hribovje, Kozjansko in Bizeljsko",Roviškovec,930,3051,14.9047,46.1256,14.90470,46.12560,4,0,15/06/2008,31/12/2099,83,10/05/2026,S58MT/P
S5/BI-012,Slovenia,"Posavsko hribovje, Kozjansko in Bizeljsko",Planina,926,3038,15.2044,46.0828,15.20440,46.08280,4,0,15/06/2008,01/06/2009,0,,
S5/BI-013,Slovenia,"Posavsko hribovje, Kozjansko in Bizeljsko","Reška planina",925,3034,15.0561,46.2097,15.05610,46.20970,4,0,15/06/2008,31/12/2099,47,03/05/2026,S57KOP/P
S5/BI-014,Slovenia,"Posavsko hribovje, Kozjansko in Bizeljsko",Kobiljek,920,3018,14.9383,46.1261,14.93830,46.12610,4,0,15/06/2008,01/06/2009,2,06/06/2009,S56LXN/P
S5/BI-015,Slovenia,"Posavsko hribovje, Kozjansko in Bizeljsko",Grebenje,911,2988,14.9922,46.1731,14.99220,46.17310,4,0,15/06/2008,01/06/2009,2,21/12/2008,S56WPF/P
S5/BI-016,Slovenia,"Posavsko hribovje, Kozjansko in Bizeljsko",Kopitnik,910,2985,15.1800,46.1086,15.18000,46.10860,4,0,15/06/2008,31/12/2099,44,07/02/2026,S5/9A2GA/P
