SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
SM/DA-001,Sweden,Dalarna,Storvätteshågna,1204,3950,12.4513,62.1208,12.45130,62.12080,4,3,01/06/2008,31/12/2099,5,17/09/2023,SM0RVV
SM/DA-002,Sweden,Dalarna,"Nipfjället (Mulen)",1191,3907,12.8528,61.9822,12.85280,61.98220,4,3,01/06/2008,31/12/2099,8,08/10/2025,SM/LA9XGA/P
SM/DA-003,Sweden,Dalarna,Städjan,1131,3711,12.8788,61.9189,12.87880,61.91890,4,3,01/06/2008,31/12/2099,8,08/10/2025,SM/LA9XGA/P
SM/DA-004,Sweden,Dalarna,Slagufjället,1129,3704,12.4111,62.2358,12.41110,62.23580,4,3,01/06/2008,31/12/2099,1,07/07/2011,SM6EQO/P
SM/DA-005,Sweden,Dalarna,Hovärken,1125,3691,13.3186,62.1294,13.31860,62.12940,4,3,01/06/2008,31/08/2008,0,,
SM/DA-006,Sweden,Dalarna,Fonnfjället,1096,3596,13.186,62.011,13.18600,62.01100,4,3,01/06/2008,31/12/2099,2,03/07/2024,SM/LA9XGA/P
SM/DA-007,Sweden,Dalarna,Stor-Uckuvålen,1082,3550,13.1611,61.9517,13.16110,61.95170,4,3,01/06/2008,31/12/2099,1,01/09/2012,SM4/SM6PXJ/P
SM/DA-008,Sweden,Dalarna,Häggingfjället,1090,3576,13.2523,62.0109,13.25230,62.01090,4,3,01/06/2008,31/12/2099,1,03/07/2024,SM/LA9XGA/P
SM/DA-009,Sweden,Dalarna,Näsfjället,1061,3481,12.6076,62.2148,12.60760,62.21480,4,3,01/06/2008,31/12/2099,1,08/07/2011,SM6EQO/P
SM/DA-010,Sweden,Dalarna,Fjätervålen,1002,3287,12.9557,61.9343,12.95570,61.93430,4,3,01/06/2008,31/12/2099,8,09/10/2025,SM/LA9XGA/P
SM/DA-011,Sweden,Dalarna,Hundfjället,925,3035,12.9977,61.1494,12.99770,61.14940,2,0,01/06/2008,31/12/2099,4,19/07/2024,SM0OEK/P
SM/DA-012,Sweden,Dalarna,Källfjället,902,2959,13.1013,61.2019,13.10130,61.20190,2,0,01/06/2008,31/12/2099,4,18/07/2024,SM0OEK/P
SM/DA-013,Sweden,Dalarna,"Östra Kalven",904,2966,13.0667,61.1575,13.06670,61.15750,2,0,01/06/2008,31/12/2099,2,07/08/2020,SM0OEK/P
SM/DA-014,Sweden,Dalarna,Gänjösvålen,891,2923,12.8584,61.8878,12.85840,61.88780,2,0,01/06/2008,31/12/2099,7,04/02/2026,SM6JWR
