SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
SP/BI-001,Poland,Bieszczady,Tarnica,1346,4416,22.7263,49.0747,22.72630,49.07470,10,3,01/04/2008,31/12/2099,84,19/04/2026,SQ8NOD/P
SP/BI-002,Poland,Bieszczady,Krzemień,1335,4380,22.7385,49.0860,22.73850,49.08600,10,3,01/04/2008,31/12/2099,43,22/12/2025,SP6F/P
SP/BI-003,Poland,Bieszczady,"Wielka Rawka",1307,4288,22.5780,49.0988,22.57800,49.09880,10,3,01/04/2008,31/12/2099,53,05/08/2025,SP9FMP/P
SP/BI-004,Poland,Bieszczady,"Połonina Caryńska (Kruhły Wierch)",1297,4255,22.6029,49.1384,22.60290,49.13840,8,3,01/04/2008,31/12/2099,59,07/09/2025,SQ9BPV/P
SP/BI-005,Poland,Bieszczady,"Połonina Wetlińska (Roh)",1255,4117,22.5283,49.1677,22.52830,49.16770,8,3,01/04/2008,31/12/2099,51,08/08/2025,SP9RSS/P
SP/BI-006,Poland,Bieszczady,Paportna,1199,3934,22.4419,49.1134,22.44190,49.11340,8,3,01/04/2008,31/12/2099,17,29/12/2025,SP6F/P
SP/BI-007,Poland,Bieszczady,Jasło,1158,3799,22.3609,49.1581,22.36090,49.15810,8,3,01/04/2008,31/12/2099,33,19/06/2025,SP9DZ/P
SP/BI-008,Poland,Bieszczady,Hyrlata,1103,3619,22.2820,49.1814,22.28200,49.18140,8,3,01/04/2008,31/12/2099,19,26/12/2025,SP6F/P
SP/BI-009,Poland,Bieszczady,Wołosań,1071,3514,22.2498,49.2397,22.24980,49.23970,8,3,01/04/2008,31/12/2099,17,23/12/2025,SP6F/P
SP/BI-010,Poland,Bieszczady,Łopiennik,1069,3507,22.3389,49.2454,22.33890,49.24540,8,3,01/04/2008,31/12/2099,22,21/02/2026,SN0RWP
SP/BI-011,Poland,Bieszczady,"Jawornik (Magura Nasiczańska)",1047,3435,22.5712,49.1800,22.57120,49.18000,8,3,01/04/2008,31/12/2099,16,04/05/2024,SP9MA/P
SP/BI-012,Poland,Bieszczady,Opołonek,1028,3373,22.8472,49.0028,22.84720,49.00280,8,3,01/04/2008,31/08/2017,6,15/06/2017,SQ9MDF/P
SP/BI-013,Poland,Bieszczady,"Magura Stuposiańska",1016,3333,22.6448,49.1649,22.64480,49.16490,8,3,01/04/2008,31/12/2099,20,01/01/2026,SP6F/P
SP/BI-014,Poland,Bieszczady,Stryb,1011,3317,22.2806,49.1417,22.28060,49.14170,8,3,01/04/2008,01/08/2018,6,17/06/2017,SQ9NOT/P
SP/BI-015,Poland,Bieszczady,"Dwernik Kamień (Holica)",1004,3294,22.5838,49.1919,22.58380,49.19190,8,3,01/04/2008,31/12/2099,26,07/03/2026,SP6SUD/P
SP/BI-016,Poland,Bieszczady,Chryszczata,997,3271,22.1881,49.3056,22.18810,49.30560,6,0,01/04/2008,31/12/2099,18,02/05/2026,SN0RWP
SP/BI-017,Poland,Bieszczady,Matragona,991,3251,22.2355,49.2001,22.23550,49.20010,6,0,01/04/2008,31/12/2099,11,07/09/2024,SQ9MDN/P
SP/BI-018,Poland,Bieszczady,Czerenina,981,3219,22.4092,49.2152,22.40920,49.21520,6,0,01/04/2008,31/12/2099,13,01/09/2024,SQ9ITA/P
SP/BI-019,Poland,Bieszczady,Kiczera,971,3186,22.6789,49.1101,22.67890,49.11010,6,0,01/04/2008,31/12/2099,8,11/04/2026,SP9PND/P
SP/BI-020,Poland,Bieszczady,Krzemienna,937,3074,22.3874,49.2007,22.38740,49.20070,6,0,01/04/2008,31/12/2099,13,01/09/2024,SQ9ITA/P
SP/BI-021,Poland,Bieszczady,"Magura (Wysoki Groń)",905,2969,22.1246,49.2022,22.12460,49.20220,6,0,01/04/2008,31/12/2099,12,16/06/2025,SQ9FCI/P
SP/BI-022,Poland,Bieszczady,"Korbania (Patrola)",894,2933,22.3706,49.2843,22.37060,49.28430,6,0,01/04/2008,31/12/2099,19,30/08/2025,SQ9MDN/P
