SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
SV/AA-001,Greece,"Mt. Athos",Athos,2027,6650,24.3275,40.1586,24.32750,40.15860,10,3,03/08/2003,31/12/2099,0,,
SV/AG-001,Greece,"Aegean Islands",Zas,1001,3284,25.5025000000,37.0311111100,25.50250,37.03111,4,0,03/08/2003,31/12/2099,8,23/09/2023,SV/K4ZSR
SV/AG-002,Greece,"Aegean Islands",Ataviros,1216,3990,27.8638888900,36.2100000000,27.86389,36.21000,4,0,01/05/2006,31/12/2099,16,04/03/2026,SV5/OE5JKL/P
SV/AG-003,Greece,"Aegean Islands",Xorafakia,823,2700,26.0266666700,36.9058333300,26.02667,36.90583,2,0,01/05/2007,31/12/2099,1,14/08/2015,SV2BZM/P
SV/AG-004,Greece,"Aegean Islands",Strubulas,725,2379,25.1902777800,37.0363888900,25.19028,37.03639,2,0,01/05/2007,31/12/2099,6,03/08/2025,SV8/SV2SIH/P
SV/AG-005,Greece,"Aegean Islands","Ag. Athanasios",333,1093,25.0783333300,39.9041666700,25.07833,39.90417,1,0,01/03/2008,31/12/2099,6,07/05/2026,SV8/SV2SOQ/P
SV/AG-006,Greece,"Aegean Islands","Prof. Ilias",355,1165,25.1297222200,39.8961111100,25.12972,39.89611,1,0,01/03/2008,31/12/2099,4,23/04/2026,SV8/SV2SOQ/P
SV/AG-007,Greece,"Aegean Islands",Vigla,589,1932,25.9894444400,39.2116666700,25.98944,39.21167,2,0,01/03/2008,31/12/2099,3,20/10/2018,SV8/HB9FIH/P
SV/AG-008,Greece,"Aegean Islands","Prof. Ilias",482,1581,26.0250000000,39.2180555600,26.02500,39.21806,1,0,01/03/2008,31/12/2099,3,08/06/2024,SV8/HB9FIH/P
SV/AG-009,Greece,"Aegean Islands","Prof. Ilias",800,2625,26.0994444400,39.2086111100,26.09945,39.20861,2,0,01/03/2008,31/12/2099,3,09/06/2024,SV8/HB9FIH/P
SV/AG-010,Greece,"Aegean Islands",Pyrgiskos,736,2415,26.0880555600,39.2472222200,26.08805,39.24722,2,0,01/03/2008,31/12/2099,1,02/10/2018,SV8/HB9FIH/P
SV/AG-011,Greece,"Aegean Islands",Xoreutra,699,2293,26.1708333300,39.2805555600,26.17083,39.28056,2,0,01/03/2008,31/12/2099,1,08/10/2018,SV8/HB9FIH/P
SV/AG-012,Greece,"Aegean Islands",Vigla,968,3176,26.2669444400,39.3452777800,26.26694,39.34528,2,0,01/03/2008,31/12/2099,5,02/06/2024,SV8/HB9FIH
SV/AG-013,Greece,"Aegean Islands",Oros,300,984,26.5255555600,38.9836111100,26.52555,38.98361,1,0,01/03/2008,31/12/2099,1,22/06/2009,SV8/DJ5KZ/P
SV/AG-014,Greece,"Aegean Islands","Prof. Ilias",528,1732,25.5869444400,38.5905555600,25.58694,38.59056,2,0,01/03/2008,31/12/2099,1,14/09/2018,SV8/HB9FIH/P
SV/AG-015,Greece,"Aegean Islands","Ag. Triada",1293,4242,26.0044444400,38.5575000000,26.00444,38.55750,4,0,01/03/2008,31/12/2099,4,10/08/2025,SV/IZ1KSW
SV/AG-016,Greece,"Aegean Islands",Pelinaio,1186,3891,26.0422222200,38.5080555600,26.04222,38.50806,4,0,01/03/2008,31/12/2099,2,21/05/2016,SV8JTS/P
SV/AG-017,Greece,"Aegean Islands",603,603,1978,26.0144444400,38.3516666700,26.01444,38.35167,2,0,01/03/2008,31/12/2099,2,06/09/2018,SV8/HB9FIH/P
