SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
TF/AL-001,Iceland,"East Iceland",Öræfajökull,2110,6922,-16.6771,64.0143,-16.67710,64.01430,10,3,01/09/2016,31/12/2099,0,,
TF/AL-002,Iceland,"East Iceland",Snæbreið,2041,6696,-16.6453,64.0259,-16.64530,64.02590,10,3,01/09/2016,31/08/2021,0,,
TF/AL-003,Iceland,"East Iceland",Kverkfjöll,1925,6315,-16.6201,64.6369,-16.62010,64.63690,10,3,01/09/2016,31/12/2099,0,,
TF/AL-004,Iceland,"East Iceland",Snæfell,1833,6013,-15.5612,64.7974,-15.56120,64.79740,10,3,01/09/2016,31/12/2099,1,03/09/2021,TF/HB9GKR
TF/AL-005,Iceland,"East Iceland",Snæhetta,1745,5725,-16.6453,64.2669,-16.64530,64.26690,10,3,01/09/2016,31/12/2099,0,,
TF/AL-006,Iceland,"East Iceland",Goðahnjúkar,1587,5206,-15.3912,64.5714,-15.39120,64.57140,10,3,01/09/2016,31/12/2099,0,,
TF/AL-007,Iceland,"East Iceland","Goðahnjúkar 1550",1550,5085,-15.4175,64.6031,-15.41750,64.60310,10,3,01/09/2016,31/12/2099,0,,
TF/AL-008,Iceland,"East Iceland",Þverártindsegg,1530,5019,-16.1479,64.2107,-16.14790,64.21070,10,3,01/09/2016,31/12/2099,0,,
TF/AL-009,Iceland,"East Iceland",Goðahryggur,1445,4740,-15.4502,64.5278,-15.45020,64.52780,10,3,01/09/2016,31/12/2099,0,,
TF/AL-010,Iceland,"East Iceland",Miðfellstindur,1410,4625,-16.9553,64.121,-16.95530,64.12100,10,3,01/09/2016,31/12/2099,0,,
TF/AL-011,Iceland,"East Iceland",Grjótbotnstindur,1397,4583,-15.9664,64.2513,-15.96640,64.25130,10,3,01/09/2016,31/12/2099,0,,
TF/AL-012,Iceland,"East Iceland",Marklettur,1345,4412,-16.8566,64.0908,-16.85660,64.09080,10,3,01/09/2016,31/12/2099,0,,
TF/AL-013,Iceland,"East Iceland",Jökulgilstindar,1337,4386,-14.9609,64.5142,-14.96090,64.51420,10,3,01/09/2016,31/12/2099,0,,
TF/AL-014,Iceland,"East Iceland",V1325,1325,4347,-16.5251,64.22,-16.52510,64.22000,10,3,01/09/2016,31/12/2099,0,,
TF/AL-015,Iceland,"East Iceland",Sauðhamarstindur,1315,4314,-15.2351,64.5368,-15.23510,64.53680,10,3,01/09/2016,31/12/2099,0,,
TF/AL-016,Iceland,"East Iceland",Humarkló,1299,4261,-15.7646,64.3668,-15.76460,64.36680,10,3,01/09/2016,31/12/2099,0,,
TF/AL-017,Iceland,"East Iceland",V1282,1282,4206,-17.0236,64.1224,-17.02360,64.12240,10,3,01/09/2016,31/12/2099,0,,
TF/AL-018,Iceland,"East Iceland",Grasgiljatindur,1275,4183,-15.3648,64.4695,-15.36480,64.46950,10,3,01/09/2016,31/12/2099,0,,
TF/AL-019,Iceland,"East Iceland","Kverkfjöll 1273",1273,4176,-16.5641,64.7403,-16.56410,64.74030,10,3,01/09/2016,31/12/2099,0,,
TF/AL-020,Iceland,"East Iceland",Suðurtungutindur,1264,4146,-15.2644,64.5514,-15.26440,64.55140,10,3,01/09/2016,31/12/2099,0,,
TF/AL-021,Iceland,"East Iceland",Smjörfjöll,1251,4104,-14.7827,65.5764,-14.78270,65.57640,10,3,01/09/2016,31/12/2099,0,,
TF/AL-022,Iceland,"East Iceland",V1248,1248,4094,-15.7962,64.3823,-15.79620,64.38230,10,3,01/09/2016,31/12/2099,0,,
TF/AL-023,Iceland,"East Iceland",Flugustaðatindar,1245,4084,-15.0107,64.5596,-15.01070,64.55960,10,3,01/09/2016,31/12/2099,0,,
TF/AL-024,Iceland,"East Iceland",Þrándarjökull,1236,4055,-14.8986,64.6879,-14.89860,64.68790,10,3,01/09/2016,31/12/2099,0,,
TF/AL-025,Iceland,"East Iceland",Stafur,1231,4038,-14.4284,65.0858,-14.42840,65.08580,10,3,01/09/2016,31/12/2099,0,,
TF/AL-026,Iceland,"East Iceland",V1230,1230,4035,-15.3117,64.5622,-15.31170,64.56220,10,3,01/09/2016,31/12/2099,0,,
