SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
TI/AL-001,"Costa Rica",Alajuela,TI/AL-001,2710,8891,-84.2238,10.1886,-84.22380,10.18860,10,0,01/03/2018,31/12/2099,0,,
TI/AL-002,"Costa Rica",Alajuela,TI/AL-002,2632,8636,-84.2269,10.2125,-84.22690,10.21250,10,0,01/03/2018,31/12/2099,0,,
TI/AL-003,"Costa Rica",Alajuela,"Cerro Felón",2309,7575,-84.3556,10.2469,-84.35560,10.24690,10,0,01/03/2018,31/12/2099,0,,
TI/AL-004,"Costa Rica",Alajuela,"Volcan Porvenir",2266,7433,-84.3607,10.2695,-84.36070,10.26950,8,0,01/03/2018,31/12/2099,2,05/02/2022,TI5GCO
TI/AL-005,"Costa Rica",Alajuela,"Volcan Platanar",2187,7174,-84.3633,10.2984,-84.36330,10.29840,8,0,01/03/2018,31/12/2099,1,13/10/2019,TI5GCO
TI/AL-006,"Costa Rica",Alajuela,"Cerro Congo",2015,6612,-84.2274,10.2546,-84.22740,10.25460,8,0,01/03/2018,31/12/2099,0,,
TI/AL-007,"Costa Rica",Alajuela,"Volcan Miravalles",2000,6561,-85.1444,10.7523,-85.14440,10.75230,8,0,01/03/2018,31/12/2099,0,,
TI/AL-008,"Costa Rica",Alajuela,TI/AL-008,1967,6453,-85.1264,10.7625,-85.12640,10.76250,8,0,01/03/2018,31/12/2099,0,,
TI/AL-009,"Costa Rica",Alajuela,"Cerro San Gerardo",1854,6081,-84.7797,10.3210,-84.77970,10.32100,8,0,01/03/2018,31/12/2099,0,,
TI/AL-010,"Costa Rica",Alajuela,Nubes,1804,5917,-84.7229,10.2669,-84.72290,10.26690,8,0,01/03/2018,31/12/2099,0,,
TI/AL-011,"Costa Rica",Alajuela,"Cerro Negro",1797,5894,-84.7294,10.3663,-84.72940,10.36630,8,0,01/03/2018,31/12/2099,0,,
TI/AL-012,"Costa Rica",Alajuela,"Cerro Palmital",1685,5528,-84.6751,10.2874,-84.67510,10.28740,8,0,01/03/2018,31/12/2099,0,,
TI/AL-013,"Costa Rica",Alajuela,"Volcan Arenal",1633,5357,-84.7033,10.4625,-84.70330,10.46250,8,0,01/03/2018,31/12/2099,2,20/09/2020,TI5GCO
TI/AL-014,"Costa Rica",Alajuela,"Cerro Azahar",1615,5299,-84.5877,10.1553,-84.58770,10.15530,8,0,01/03/2018,31/12/2099,3,05/02/2023,TI5DLF
TI/AL-015,"Costa Rica",Alajuela,"Cerros Palmital",1609,5277,-84.6131,10.1726,-84.61310,10.17260,8,0,01/03/2018,31/12/2099,0,,
TI/AL-016,"Costa Rica",Alajuela,"Cerro Pata de Caballo",1539,5047,-84.4736,10.0297,-84.47360,10.02970,8,0,01/03/2018,31/12/2099,5,08/07/2022,TI5/K6KM
TI/AL-017,"Costa Rica",Alajuela,"Cerro Montezuma",1526,5005,-85.0264,10.6916,-85.02640,10.69160,8,0,01/03/2018,31/12/2099,0,,
TI/AL-018,"Costa Rica",Alajuela,"Cerro Los Perdidos",1367,4484,-84.6755,10.4023,-84.67550,10.40230,8,0,01/03/2018,31/12/2099,0,,
TI/AL-019,"Costa Rica",Alajuela,"Cerro Espíritu Santo",1348,4423,-84.4064,10.0851,-84.40640,10.08510,8,0,01/03/2018,31/12/2099,13,10/03/2024,TI5JON
TI/AL-020,"Costa Rica",Alajuela,"Cerro Hornos",1279,4195,-84.3978,10.0562,-84.39780,10.05620,8,0,01/03/2018,31/12/2099,1,13/04/2019,TI2YO/5
TI/AL-021,"Costa Rica",Alajuela,"Cerro Jilguero",1230,4034,-84.9759,10.6068,-84.97590,10.60680,8,0,01/03/2018,31/12/2099,0,,
TI/AL-022,"Costa Rica",Alajuela,"Cerro Danta",1204,3949,-84.7099,10.4153,-84.70990,10.41530,8,0,01/03/2018,31/12/2099,0,,
TI/AL-023,"Costa Rica",Alajuela,"Cerro Navara",1190,3904,-84.6338,10.3344,-84.63380,10.33440,8,0,01/03/2018,31/12/2099,0,,
TI/AL-024,"Costa Rica",Alajuela,"Cerro Chato",1154,3785,-84.6874,10.4405,-84.68740,10.44050,8,0,01/03/2018,31/12/2099,1,19/07/2024,KK6WT/TI
TI/AL-025,"Costa Rica",Alajuela,"Cerro Dormida",1014,3326,-84.9244,10.6085,-84.92440,10.60850,6,0,01/03/2018,31/12/2099,0,,
TI/AL-026,"Costa Rica",Alajuela,"Cerro Chorros",1004,3293,-84.9955,10.7089,-84.99550,10.70890,6,0,01/03/2018,31/12/2099,0,,
TI/AL-027,"Costa Rica",Alajuela,"Cerro Suampo",860,2821,-84.7998,10.5011,-84.79980,10.50110,6,0,01/03/2018,31/12/2099,0,,
TI/AL-028,"Costa Rica",Alajuela,"Cerro Chaparron",374,1227,-84.2105,10.5669,-84.21050,10.56690,2,0,01/03/2018,31/12/2099,0,,
TI/AL-029,"Costa Rica",Alajuela,"Cerro El Jardin",365,1197,-84.2222,10.7797,-84.22220,10.77970,2,0,01/03/2018,31/12/2099,0,,
TI/AL-030,"Costa Rica",Alajuela,"Cerro Chaparron",359,1177,-84.1821,10.5950,-84.18210,10.59500,2,0,01/03/2018,31/12/2099,0,,
TI/AL-031,"Costa Rica",Alajuela,"Cerro Nispero",335,1098,-84.2646,10.8578,-84.26460,10.85780,2,0,01/03/2018,31/12/2099,0,,
TI/AL-032,"Costa Rica",Alajuela,"Cerro La Mona",333,1093,-84.2351,10.7187,-84.23510,10.71870,2,0,01/03/2018,31/12/2099,0,,
TI/AL-033,"Costa Rica",Alajuela,"Cerro Maleza",293,960,-84.2836,10.8146,-84.28360,10.81460,1,0,01/03/2018,31/12/2099,0,,
