SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
TK/TK-001,Corsica,Corsica,"Monte Cinto",2706,8878,8.945596,42.379696,8.94560,42.37970,10,3,01/03/2009,31/12/2099,5,14/09/2025,M0MTP/P
TK/TK-002,Corsica,Corsica,"Monte Rotondo",2622,8602,9.057788,42.216055,9.05779,42.21606,10,3,01/03/2009,31/12/2099,2,10/10/2023,TK/F4JYM/P
TK/TK-003,Corsica,Corsica,"Punta Minuta",2556,8386,8.91371,42.375123,8.91371,42.37512,10,3,01/03/2009,31/12/2099,2,08/10/2023,TK/F4JYM/P
TK/TK-004,Corsica,Corsica,"Paglia Orba",2525,8284,8.878595,42.343047,8.87860,42.34305,10,3,01/03/2009,31/12/2099,2,09/10/2023,TK/F4JYM/P
TK/TK-005,Corsica,Corsica,"Monte Cardo",2453,8048,9.120122,42.230388,9.12012,42.23039,8,3,01/03/2009,31/12/2099,0,,
TK/TK-006,Corsica,Corsica,"Monte Padru",2390,7841,8.988812,42.466735,8.98881,42.46674,8,3,01/03/2009,31/12/2099,0,,
TK/TK-007,Corsica,Corsica,"Monte d'Oro",2389,7838,9.0986,42.137485,9.09860,42.13749,8,3,01/03/2009,31/12/2099,3,11/10/2023,TK/F4JYM/P
TK/TK-008,Corsica,Corsica,"Monte Renoso",2352,7717,9.133651,42.059681,9.13365,42.05968,8,3,01/03/2009,31/12/2099,5,13/06/2024,TK/M0NJH/P
TK/TK-009,Corsica,Corsica,"Punta Artica",2327,7635,8.970358,42.264567,8.97036,42.26457,8,3,01/03/2009,31/12/2099,1,17/08/2019,TK5EP/P
TK/TK-010,Corsica,Corsica,"Punta Alle Porte",2313,7589,9.005495,42.208625,9.00550,42.20863,8,3,01/03/2009,31/12/2099,2,12/10/2023,TK/F4JYM/P
TK/TK-011,Corsica,Corsica,"Cima di a Statoghia",2305,7562,8.961518,42.454392,8.96152,42.45439,8,3,01/03/2009,31/12/2099,0,,
TK/TK-012,Corsica,Corsica,"Capu a Chiostru",2295,7530,9.011343,42.229828,9.01134,42.22983,8,3,01/03/2009,31/12/2099,1,13/10/2023,TK/F4JYM/P
TK/TK-013,Corsica,Corsica,"Capu Ucellu",2282,7487,8.891952,42.354033,8.89195,42.35403,8,3,01/03/2009,31/07/2017,0,,
TK/TK-014,Corsica,Corsica,"Punta Alla Vetta",2255,7398,9.111872,42.051746,9.11187,42.05175,8,3,01/03/2009,31/12/2099,2,02/07/2021,TK5EP
TK/TK-015,Corsica,Corsica,"Pointe Migliarello",2254,7395,9.071478,42.130026,9.07148,42.13003,8,3,01/03/2009,31/12/2099,4,11/10/2023,TK/F4JYM/P
TK/TK-016,Corsica,Corsica,"Punta Missoghiu",2201,7221,8.901501,42.391373,8.90150,42.39137,8,3,01/03/2009,31/12/2099,0,,
TK/TK-017,Corsica,Corsica,"Cima a i Mori",2180,7152,9.080426,42.420883,9.08043,42.42088,8,3,01/03/2009,31/12/2099,0,,
TK/TK-018,Corsica,Corsica,"Punta Licciola",2235,7333,8.891523,42.321997,8.89152,42.32200,8,3,01/03/2009,31/12/2099,0,,
TK/TK-019,Corsica,Corsica,"A Muvrella",2148,7047,8.911484,42.410316,8.91148,42.41032,8,3,01/03/2009,31/12/2099,8,12/09/2025,M0MTP/P
TK/TK-020,Corsica,Corsica,"Capu Ladroncellu",2145,7037,8.912863,42.445755,8.91286,42.44576,8,3,01/03/2009,31/12/2099,1,11/09/2025,M0MTP/P
TK/TK-021,Corsica,Corsica,"Monte Corona",2144,7034,8.919123,42.4596,8.91912,42.45960,8,3,01/03/2009,31/12/2099,0,,
TK/TK-022,Corsica,Corsica,"Monte Alcudina",2134,7001,9.207181,41.849456,9.20718,41.84946,8,3,01/03/2009,31/12/2099,2,25/07/2011,TK/OE5IRO/P
TK/TK-023,Corsica,Corsica,Cimatella,2101,6893,8.943703,42.235945,8.94370,42.23595,8,3,01/03/2009,31/12/2099,0,,
TK/TK-024,Corsica,Corsica,"Punta della Cappella",2041,6696,9.216655,41.996115,9.21665,41.99612,8,3,01/03/2009,31/12/2099,0,,
TK/TK-025,Corsica,Corsica,"Capu a Cuccula",2049,6722,8.849798,42.296247,8.84980,42.29625,8,3,01/03/2009,31/12/2099,5,28/11/2025,TK/S53XX/P
TK/TK-026,Corsica,Corsica,"Pointe de Pinzi Corbini",2021,6631,9.048003,42.175713,9.04800,42.17571,8,3,01/03/2009,31/12/2099,0,,
TK/TK-027,Corsica,Corsica,"Capu Penne Rosse",1992,6535,8.889297,42.413699,8.88930,42.41370,6,3,01/03/2009,31/12/2099,0,,
TK/TK-028,Corsica,Corsica,"Monte Furmicula",1981,6499,9.219155,41.944904,9.21916,41.94490,6,3,01/03/2009,31/12/2099,0,,
TK/TK-029,Corsica,Corsica,"Capu a u Ceppu",1951,6401,8.855823,42.419124,8.85582,42.41912,6,3,01/03/2009,31/12/2099,0,,
TK/TK-030,Corsica,Corsica,Pinerole,1951,6401,9.098273,42.335715,9.09827,42.33572,6,3,01/03/2009,31/12/2099,0,,
TK/TK-031,Corsica,Corsica,"Monte Giovanni",1950,6398,9.1543,42.0015,9.15430,42.00150,6,3,01/03/2009,31/12/2099,5,02/02/2023,TK5EP
TK/TK-032,Corsica,Corsica,Turone,1929,6329,9.098386,42.428335,9.09839,42.42833,6,3,01/03/2009,31/12/2099,0,,
TK/TK-033,Corsica,Corsica,"Monte Grosso",1937,6355,8.922765,42.501711,8.92276,42.50171,6,3,01/03/2009,31/12/2099,1,12/07/2025,TK/DL7CX/P
TK/TK-034,Corsica,Corsica,"Punta di u Furnellu",1899,6230,9.231353,41.835965,9.23135,41.83596,6,3,01/03/2009,31/12/2099,0,,
TK/TK-035,Corsica,Corsica,"Cima di Vico",1879,6165,9.047145,42.125092,9.04714,42.12509,6,3,01/03/2009,31/12/2099,0,,
TK/TK-036,Corsica,Corsica,"Punta Alta",1855,6086,9.217433,41.815146,9.21743,41.81515,6,3,01/03/2009,31/12/2099,0,,
TK/TK-037,Corsica,Corsica,"Monte San Petrone",1767,5797,9.326765,42.396206,9.32677,42.39621,6,3,01/03/2009,31/12/2099,1,11/08/2011,TK/OE2WNL/P
TK/TK-038,Corsica,Corsica,"Cima di Calleruccio",1731,5679,9.346153,42.336696,9.34615,42.33670,4,3,01/03/2009,31/12/2099,1,25/11/2025,TK/S53XX/P
TK/TK-039,Corsica,Corsica,"Punta Sistaja",1724,5656,9.118722,41.856912,9.11872,41.85691,4,3,01/03/2009,31/12/2099,0,,
TK/TK-040,Corsica,Corsica,"Capu a Rughia",1712,5617,8.882098,42.271728,8.88210,42.27173,4,3,01/03/2009,31/12/2099,7,06/08/2024,TK/SQ9MDF/P
TK/TK-041,Corsica,Corsica,"Punta Mantellucciu",1679,5509,9.035702,41.944043,9.03570,41.94404,4,3,01/03/2009,31/12/2099,0,,
TK/TK-042,Corsica,Corsica,"Punta d'Isa",1630,5348,9.020897,42.041532,9.02090,42.04153,4,3,01/03/2009,31/12/2099,6,14/02/2023,TK5EP
