SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
UT/CA-001,Ukraine,"Carpathian Mountains","Говерла (Hoverla)",2060,6761,24.5008,48.1599,24.50080,48.15990,10,3,01/05/2010,31/12/2099,9,26/07/2024,UT/SP9MPZ/P
UT/CA-002,Ukraine,"Carpathian Mountains","Бребенескул (Brebeneskul)",2035,6679,24.5802,48.0976,24.58020,48.09760,10,3,01/05/2010,31/12/2099,0,,
UT/CA-003,Ukraine,"Carpathian Mountains","Черная Гора (Chernaya Gora)",2020,6628,24.6273,48.0467,24.62730,48.04670,10,3,01/05/2010,31/12/2099,2,16/07/2015,UT/SQ8JMZ/P
UT/CA-004,Ukraine,"Carpathian Mountains","Петрос (Petros)",2020,6627,24.4212,48.1716,24.42120,48.17160,10,3,01/05/2010,31/12/2099,2,20/06/2015,UT/SQ9MDF/P
UT/CA-005,Ukraine,"Carpathian Mountains","Поп Иван (Pop Ivan)",1937,6357,24.3272,47.9240,24.32720,47.92400,10,3,01/05/2010,31/12/2099,0,,
UT/CA-006,Ukraine,"Carpathian Mountains","Близница (Bliznitsa)",1881,6171,24.2372,48.2167,24.23720,48.21670,10,3,01/05/2010,31/12/2099,3,24/08/2023,UW8SM/P
UT/CA-007,Ukraine,"Carpathian Mountains","Сивуля (Syvulia)",1836,6023,24.1197,48.5486,24.11970,48.54860,10,3,01/05/2010,31/12/2099,0,,
UT/CA-008,Ukraine,"Carpathian Mountains","Мика-Маре (Mika-Mare)",1815,5956,24.4741,47.9622,24.47410,47.96220,10,3,01/05/2010,31/12/2099,0,,
UT/CA-009,Ukraine,"Carpathian Mountains","Игровец (Igrovets)",1804,5919,24.0993,48.5973,24.09930,48.59730,10,3,01/05/2010,31/12/2099,0,,
UT/CA-010,Ukraine,"Carpathian Mountains","Братковска (Bratkovska)",1788,5866,24.1789,48.3653,24.17890,48.36530,10,3,01/05/2010,31/12/2099,0,,
UT/CA-011,Ukraine,"Carpathian Mountains","Петрос (Petros)",1780,5842,24.3381,47.9624,24.33810,47.96240,10,3,01/05/2010,31/12/2099,0,,
UT/CA-012,Ukraine,"Carpathian Mountains","Котел (Kotel)",1770,5809,24.2032,48.2708,24.20320,48.27080,10,3,01/05/2010,31/12/2099,0,,
UT/CA-013,Ukraine,"Carpathian Mountains","Гнатася (Gnatasya)",1766,5795,24.8800,47.7454,24.88000,47.74540,10,3,01/05/2010,31/12/2099,0,,
UT/CA-014,Ukraine,"Carpathian Mountains","Чивчин (Chivchin)",1766,5794,24.7107,47.8651,24.71070,47.86510,10,3,01/05/2010,31/12/2099,0,,
UT/CA-015,Ukraine,"Carpathian Mountains","Добошанка (Doboshanka)",1754,5756,24.3740,48.4250,24.37400,48.42500,10,3,01/05/2010,31/12/2099,0,,
UT/CA-016,Ukraine,"Carpathian Mountains","Грофа (Grofa)",1748,5735,23.9321,48.6202,23.93210,48.62020,10,3,01/05/2010,31/12/2099,1,24/08/2011,UT4FJ/P
UT/CA-017,Ukraine,"Carpathian Mountains","Попадья (Popadia)",1740,5710,23.9062,48.5631,23.90620,48.56310,10,3,01/05/2010,31/12/2099,1,25/08/2011,UT4FJ/P
UT/CA-018,Ukraine,"Carpathian Mountains","Паренки (Parenky)",1736,5696,23.9115,48.5983,23.91150,48.59830,10,3,01/05/2010,31/12/2099,0,,
UT/CA-019,Ukraine,"Carpathian Mountains","Берлебашка (Berlebashka)",1733,5688,24.3157,47.9533,24.31570,47.95330,10,3,01/05/2010,31/12/2099,0,,
UT/CA-020,Ukraine,"Carpathian Mountains","Молода (Moloda)",1723,5654,23.8647,48.6549,23.86470,48.65490,10,3,01/05/2010,31/12/2099,0,,
UT/CA-021,Ukraine,"Carpathian Mountains","Черная Клева (Chernaya Kleva)",1719,5641,24.2569,48.3501,24.25690,48.35010,10,3,01/05/2010,31/12/2099,0,,
UT/CA-022,Ukraine,"Carpathian Mountains","Стримба (Strimba)",1719,5640,23.8007,48.4387,23.80070,48.43870,10,3,01/05/2010,31/12/2099,0,,
UT/CA-023,Ukraine,"Carpathian Mountains","Негровец (Negrovets)",1707,5601,23.7153,48.4984,23.71530,48.49840,10,3,01/05/2010,31/12/2099,0,,
UT/CA-024,Ukraine,"Carpathian Mountains","Поленски (Polensky)",1693,5554,24.3332,48.4524,24.33320,48.45240,10,3,01/05/2010,31/12/2099,0,,
UT/CA-025,Ukraine,"Carpathian Mountains","Буштул (Bushtul)",1691,5548,23.9248,48.4647,23.92480,48.46470,10,3,01/05/2010,31/12/2099,0,,
