SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
V5/ER-001,Namibia,Erongo,Konigstein,2573,8442,14.5776,-21.1490,14.57760,-21.14900,10,3,01/12/2018,31/12/2099,0,,
V5/ER-002,Namibia,Erongo,Numasfeis,2518,8261,14.5554,-21.1480,14.55540,-21.14800,10,3,01/12/2018,31/12/2099,0,,
V5/ER-003,Namibia,Erongo,V5/ER-003,2508,8228,14.5107,-21.1349,14.51070,-21.13490,10,3,01/12/2018,31/12/2099,0,,
V5/ER-004,Namibia,Erongo,V5/ER-004,2501,8205,14.5363,-21.1037,14.53630,-21.10370,10,3,01/12/2018,31/12/2099,0,,
V5/ER-005,Namibia,Erongo,V5/ER-005,2362,7749,14.5831,-21.1292,14.58310,-21.12920,10,3,01/12/2018,31/12/2099,0,,
V5/ER-006,Namibia,Erongo,V5/ER-006,2361,7746,14.5709,-21.1064,14.57090,-21.10640,10,3,01/12/2018,31/12/2099,0,,
V5/ER-007,Namibia,Erongo,V5/ER-007,2321,7615,14.5773,-21.1812,14.57730,-21.18120,10,3,01/12/2018,31/12/2099,0,,
V5/ER-008,Namibia,Erongo,V5/ER-008,2314,7592,15.5283,-21.7283,15.52830,-21.72830,10,3,01/12/2018,31/12/2099,0,,
V5/ER-009,Namibia,Erongo,V5/ER-009,2285,7497,14.4971,-21.0751,14.49710,-21.07510,10,3,01/12/2018,31/12/2099,0,,
V5/ER-010,Namibia,Erongo,V5/ER-010,2220,7283,15.8137,-21.6871,15.81370,-21.68710,10,3,01/12/2018,31/12/2099,0,,
V5/ER-011,Namibia,Erongo,V5/ER-011,2205,7234,15.5126,-21.6911,15.51260,-21.69110,10,3,01/12/2018,31/12/2099,0,,
V5/ER-012,Namibia,Erongo,V5/ER-012,2180,7152,14.6497,-21.1571,14.64970,-21.15710,10,3,01/12/2018,31/12/2099,0,,
V5/ER-013,Namibia,Erongo,V5/ER-013,2109,6919,16.3503,-21.0993,16.35030,-21.09930,10,3,01/12/2018,31/12/2099,0,,
V5/ER-014,Namibia,Erongo,V5/ER-014,2095,6873,15.5204,-21.6392,15.52040,-21.63920,10,3,01/12/2018,31/12/2099,0,,
V5/ER-015,Namibia,Erongo,V5/ER-015,2076,6811,15.5109,-21.6539,15.51090,-21.65390,10,3,01/12/2018,31/12/2099,0,,
V5/ER-016,Namibia,Erongo,V5/ER-016,2068,6785,15.7011,-21.7626,15.70110,-21.76260,10,3,01/12/2018,31/12/2099,0,,
V5/ER-017,Namibia,Erongo,V5/ER-017,2056,6745,15.7737,-21.7250,15.77370,-21.72500,10,3,01/12/2018,31/12/2099,0,,
V5/ER-018,Namibia,Erongo,V5/ER-018,2038,6686,16.3425,-21.4090,16.34250,-21.40900,10,3,01/12/2018,31/12/2099,0,,
V5/ER-019,Namibia,Erongo,V5/ER-019,2021,6631,16.3765,-21.3103,16.37650,-21.31030,10,3,01/12/2018,31/12/2099,0,,
V5/ER-020,Namibia,Erongo,V5/ER-020,2020,6627,14.5158,-21.1758,14.51580,-21.17580,10,3,01/12/2018,31/12/2099,0,,
V5/ER-021,Namibia,Erongo,V5/ER-021,2002,6568,14.4783,-21.1631,14.47830,-21.16310,10,3,01/12/2018,31/12/2099,0,,
