SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
VE6/AS-001,"Canada - Alberta",Assiniboine,"Old Goat Mountain",3120,10236,-115.372431,50.944314,-115.37243,50.94431,10,3,01/10/2012,31/12/2099,0,,
VE6/AS-002,"Canada - Alberta",Assiniboine,"Mount Rundle",2972,9751,-115.470257,51.124159,-115.47026,51.12416,8,3,01/10/2012,31/12/2099,1,31/08/2013,VA6MCB
VE6/AS-003,"Canada - Alberta",Assiniboine,"Mount Byng",2940,9646,-115.525832,50.828873,-115.52583,50.82887,8,3,01/10/2012,31/12/2099,0,,
VE6/AS-004,"Canada - Alberta",Assiniboine,"Goatview Peak",2804,9199,-115.445752,51.023055,-115.44576,51.02306,8,3,01/10/2012,31/12/2099,0,,
VE6/AS-005,"Canada - Alberta",Assiniboine,"Copper Mountain",2795,9170,-115.885291,51.209814,-115.88529,51.20981,6,3,01/10/2012,31/12/2099,0,,
VE6/AS-006,"Canada - Alberta",Assiniboine,"Mount Warre",2771,9091,-115.45794,50.779526,-115.45794,50.77953,6,3,01/10/2012,31/12/2099,0,,
VE6/AS-007,"Canada - Alberta",Assiniboine,"Mount Leval",2733,8967,-115.436976,50.75621,-115.43697,50.75621,6,3,01/10/2012,31/12/2099,0,,
VE6/AS-008,"Canada - Alberta",Assiniboine,"Pharaoh Peaks",2713,8901,-115.912457,51.109154,-115.91246,51.10915,6,3,01/10/2012,31/12/2099,0,,
VE6/AS-009,"Canada - Alberta",Assiniboine,"Marvel Peak",2708,8885,-115.551324,50.859968,-115.55132,50.85997,6,3,01/10/2012,31/12/2099,0,,
VE6/AS-010,"Canada - Alberta",Assiniboine,"Cave Mountain",2650,8694,-115.59765,50.9398,-115.59765,50.93980,6,3,01/10/2012,31/12/2099,0,,
VE6/AS-011,"Canada - Alberta",Assiniboine,"Citadel Peak",2625,8612,-115.717621,51.01721,-115.71762,51.01721,6,3,01/10/2012,31/12/2099,0,,
VE6/AS-012,"Canada - Alberta",Assiniboine,"Quartz Hill",2566,8419,-115.761309,51.036267,-115.76131,51.03627,6,3,01/10/2012,31/12/2099,1,09/03/2013,VA6MCB
VE6/AS-013,"Canada - Alberta",Assiniboine,"Sulphur Mountain",2438,7999,-115.555744,51.123512,-115.55574,51.12351,4,3,01/10/2012,31/12/2099,3,21/01/2023,VE6FPV
VE6/AS-014,"Canada - Alberta",Assiniboine,"Eon Mountain",3305,10843,-115.624087,50.83485,-115.62408,50.83485,10,3,01/11/2013,31/12/2099,0,,
VE6/AS-015,"Canada - Alberta",Assiniboine,"Mount Ball",3294,10807,-116.007814,51.156039,-116.00781,51.15604,10,3,01/11/2013,31/12/2099,0,,
VE6/AS-016,"Canada - Alberta",Assiniboine,"Aye Mountain",3236,10617,-115.64327,50.844728,-115.64327,50.84473,10,3,01/11/2013,31/12/2099,0,,
VE6/AS-017,"Canada - Alberta",Assiniboine,"Mount Petain",3196,10486,-115.18502,50.543708,-115.18502,50.54371,10,3,01/11/2013,31/12/2099,0,,
VE6/AS-018,"Canada - Alberta",Assiniboine,"Mount Foch",3194,10479,-115.155902,50.572799,-115.15590,50.57280,10,3,01/11/2013,31/12/2099,0,,
VE6/AS-019,"Canada - Alberta",Assiniboine,"Mount Robertson",3177,10423,-115.320997,50.726242,-115.32100,50.72624,10,3,01/11/2013,31/12/2099,0,,
VE6/AS-020,"Canada - Alberta",Assiniboine,"Storm Mountain",3158,10361,-116.004918,51.207744,-116.00492,51.20774,10,3,01/11/2013,31/12/2099,1,28/09/2025,VE6FPV
VE6/AS-021,"Canada - Alberta",Assiniboine,"Mount Birdwood",3097,10161,-115.367775,50.784681,-115.36777,50.78468,10,3,01/11/2013,31/12/2099,0,,
VE6/AS-022,"Canada - Alberta",Assiniboine,"Mount Magog",3092,10144,-115.634494,50.879387,-115.63449,50.87939,10,3,01/11/2013,31/12/2099,0,,
VE6/AS-023,"Canada - Alberta",Assiniboine,"Mount Jellicoe",3075,10089,-115.28851,50.714396,-115.28851,50.71440,10,3,01/11/2013,31/12/2099,0,,
VE6/AS-024,"Canada - Alberta",Assiniboine,"Beersheba Peak",3054,10020,-115.530639,50.961616,-115.53064,50.96162,10,3,01/11/2013,31/12/2099,0,,
VE6/AS-025,"Canada - Alberta",Assiniboine,"Mount Lyautey",3045,9990,-115.222549,50.60307,-115.22255,50.60307,8,3,01/11/2013,31/12/2099,0,,
VE6/AS-026,"Canada - Alberta",Assiniboine,"Mount Maude",3043,9984,-115.302544,50.700277,-115.30254,50.70028,8,3,01/11/2013,31/12/2099,0,,
VE6/AS-027,"Canada - Alberta",Assiniboine,"Nasswald Peak",3042,9980,-115.652153,50.998741,-115.65215,50.99874,8,3,01/11/2013,31/12/2099,0,,
VE6/AS-028,"Canada - Alberta",Assiniboine,"Mount Murray",3026,9928,-115.29263,50.749341,-115.29263,50.74934,8,3,01/11/2013,31/12/2099,0,,
VE6/AS-029,"Canada - Alberta",Assiniboine,"Mount Beatty",3004,9856,-115.290098,50.669171,-115.29010,50.66917,8,3,01/11/2013,31/12/2099,0,,
VE6/AS-030,"Canada - Alberta",Assiniboine,"Mount Northover",2999,9839,-115.240853,50.588863,-115.24085,50.58886,8,3,01/11/2013,31/12/2099,0,,
VE6/AS-031,"Canada - Alberta",Assiniboine,"Mount Brett",2984,9790,-115.821991,51.162068,-115.82199,51.16207,8,3,01/11/2013,31/12/2099,0,,
VE6/AS-032,"Canada - Alberta",Assiniboine,"Mount Fox",2973,9754,-115.118287,50.569978,-115.11829,50.56998,8,3,01/11/2013,31/12/2099,0,,
VE6/AS-033,"Canada - Alberta",Assiniboine,"Mount King Albert",2972,9751,-115.414917,50.711651,-115.41492,50.71165,8,3,01/11/2013,31/12/2099,0,,
VE6/AS-034,"Canada - Alberta",Assiniboine,"Mount Mercer",2970,9744,-115.520082,50.923489,-115.52008,50.92349,8,3,01/11/2013,31/12/2099,0,,
VE6/AS-035,"Canada - Alberta",Assiniboine,"Mount Nestor",2970,9744,-115.364342,50.928412,-115.36434,50.92841,8,3,01/11/2013,31/12/2099,1,13/09/2025,VE6FPV
VE6/AS-036,"Canada - Alberta",Assiniboine,"White Man Mountain",2967,9734,-115.481908,50.755532,-115.48191,50.75553,8,3,01/11/2013,31/12/2099,0,,
VE6/AS-037,"Canada - Alberta",Assiniboine,"Peak 57-35",2963,9721,-115.583682,50.95621,-115.58368,50.95621,8,3,01/11/2013,31/12/2099,0,,
VE6/AS-038,"Canada - Alberta",Assiniboine,"Pilot Mountain",2954,9692,-115.824952,51.187749,-115.82495,51.18775,8,3,01/11/2013,31/12/2099,0,,
VE6/AS-039,"Canada - Alberta",Assiniboine,"Terrapin Mountain",2954,9692,-115.617456,50.879833,-115.61745,50.87983,8,3,01/11/2013,31/12/2099,0,,
VE6/AS-040,"Canada - Alberta",Assiniboine,"Fatigue Mountain",2950,9678,-115.692859,51.028143,-115.69286,51.02814,8,3,01/11/2013,31/12/2099,0,,
VE6/AS-041,"Canada - Alberta",Assiniboine,Rundle1,2949,9675,-115.494246,51.147937,-115.49425,51.14794,8,3,01/11/2013,31/12/2099,1,04/09/2021,VA6MPM
VE6/AS-042,"Canada - Alberta",Assiniboine,"Mount Pocaterra",2941,9649,-115.029001,50.599148,-115.02900,50.59915,8,3,01/11/2013,31/12/2099,0,,
VE6/AS-043,"Canada - Alberta",Assiniboine,"Black Prince",2939,9643,-115.24349,50.6945,-115.24349,50.69450,8,3,01/11/2013,31/12/2099,0,,
VE6/AS-044,"Canada - Alberta",Assiniboine,"Isabelle Peak",2934,9626,-116.009531,51.126004,-116.00953,51.12600,8,3,01/11/2013,31/12/2099,0,,
VE6/AS-045,"Canada - Alberta",Assiniboine,"Mount Bourgeau",2931,9616,-115.775557,51.131956,-115.77556,51.13195,8,3,01/11/2013,31/12/2099,1,23/07/2022,VA6BGE
VE6/AS-046,"Canada - Alberta",Assiniboine,"Mount Putnik",2924,9593,-115.257075,50.643433,-115.25707,50.64343,8,3,01/11/2013,31/12/2099,0,,
VE6/AS-047,"Canada - Alberta",Assiniboine,"Scarab Peak",2918,9573,-115.933743,51.096839,-115.93375,51.09684,8,3,01/11/2013,31/12/2099,0,,
VE6/AS-048,"Canada - Alberta",Assiniboine,"Mount Worthington",2915,9564,-115.297651,50.626148,-115.29765,50.62615,8,3,01/11/2013,31/12/2099,0,,
VE6/AS-049,"Canada - Alberta",Assiniboine,"Cone Mountain",2910,9547,-115.463283,50.889986,-115.46328,50.88998,8,3,01/11/2013,31/12/2099,0,,
VE6/AS-050,"Canada - Alberta",Assiniboine,"Sundance Peak",2902,9521,-115.609496,51.084345,-115.60950,51.08435,8,3,01/11/2013,31/12/2099,0,,
VE6/AS-051,"Canada - Alberta",Assiniboine,"Haiduk Peak",2901,9518,-115.951273,51.102673,-115.95127,51.10267,8,3,01/11/2013,31/12/2099,0,,
VE6/AS-052,"Canada - Alberta",Assiniboine,"Mount Allenby",2901,9518,-115.533085,50.939501,-115.53309,50.93950,8,3,01/11/2013,31/12/2099,0,,
