SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
VK6/CG-001,"Australia - WA","Central Goldfields","Dean Range North Peak",1042,3418,128.9883,-24.9918,128.98830,-24.99180,10,3,01/09/2014,31/12/2099,0,,
VK6/CG-002,"Australia - WA","Central Goldfields","Dean Range South Peak",1038,3406,128.9678,-25.0228,128.96780,-25.02280,10,3,01/09/2014,31/12/2099,0,,
VK6/CG-003,"Australia - WA","Central Goldfields","Mt. Hinckley",1015,3330,128.9311,-26.1272,128.93111,-26.12720,10,3,01/09/2014,31/12/2099,0,,
VK6/CG-004,"Australia - WA","Central Goldfields","Mt. Taylor",997,3271,128.9998,-24.8344,128.99980,-24.83440,8,3,01/09/2014,31/12/2099,0,,
VK6/CG-005,"Australia - WA","Central Goldfields",VK6/CG-005,995,3264,128.7667,-24.8717,128.76669,-24.87170,8,3,01/09/2014,31/12/2099,0,,
VK6/CG-006,"Australia - WA","Central Goldfields",VK6/CG-006,983,3225,128.7672,-24.8719,128.76720,-24.87190,8,3,01/09/2014,30/11/2017,0,,
VK6/CG-007,"Australia - WA","Central Goldfields","Mt. Aloysius",982,3222,128.5965,-25.9991,128.59650,-25.99910,8,3,01/09/2014,31/12/2099,0,,
VK6/CG-008,"Australia - WA","Central Goldfields",VK6/CG-008,979,3212,128.5451,-24.8361,128.54510,-24.83610,8,3,01/09/2014,31/12/2099,0,,
VK6/CG-009,"Australia - WA","Central Goldfields",VK6/CG-009,975,3199,128.4952,-24.8386,128.49519,-24.83860,8,3,01/09/2014,31/12/2099,0,,
VK6/CG-010,"Australia - WA","Central Goldfields","Hinckley Range",916,3005,128.8484,-26.0946,128.84840,-26.09460,8,3,01/09/2014,31/12/2099,0,,
VK6/CG-011,"Australia - WA","Central Goldfields",Mt.Methwin,913,2995,120.6919,-25.0861,120.69190,-25.08610,8,3,01/09/2014,31/12/2099,0,,
VK6/CG-012,"Australia - WA","Central Goldfields",Mt.Essendon,910,2986,120.491,-24.9935,120.49100,-24.99350,8,3,01/09/2014,31/12/2099,0,,
VK6/CG-013,"Australia - WA","Central Goldfields","Hope Range",905,2969,128.9514,-24.9844,128.95140,-24.98440,8,3,01/09/2014,31/12/2099,0,,
VK6/CG-014,"Australia - WA","Central Goldfields",VK6/CG-014,905,2969,128.6762,-24.8871,128.67619,-24.88710,8,3,01/09/2014,31/12/2099,0,,
VK6/CG-015,"Australia - WA","Central Goldfields","Collier Range",904,2966,119.1029,-24.7461,119.10290,-24.74610,8,3,01/09/2014,31/12/2099,0,,
VK6/CG-016,"Australia - WA","Central Goldfields","The Bald One",888,2913,128.9527,-26.1866,128.95270,-26.18660,8,3,01/09/2014,31/12/2099,0,,
VK6/CG-017,"Australia - WA","Central Goldfields",Mt.Gosse,884,2900,128.9542,-25.8471,128.95419,-25.84710,8,3,01/09/2014,31/12/2099,0,,
VK6/CG-018,"Australia - WA","Central Goldfields","Mt Sargood",883,2897,128.9743,-24.9314,128.97430,-24.93140,8,3,01/09/2014,28/02/2023,0,,
VK6/CG-019,"Australia - WA","Central Goldfields","Walter James Range North",879,2884,128.6881,-24.6107,128.68810,-24.61070,8,3,01/09/2014,31/12/2099,0,,
VK6/CG-020,"Australia - WA","Central Goldfields","Bell Rock Range",874,2867,128.6625,-26.155,128.66251,-26.15500,8,3,01/09/2014,31/12/2099,0,,
VK6/CG-021,"Australia - WA","Central Goldfields",VK6/CG-021,865,2838,120.6819,-25.0928,120.68190,-25.09280,8,3,01/09/2014,31/12/2099,0,,
VK6/CG-022,"Australia - WA","Central Goldfields","Nyingana Range",864,2835,128.491,-24.6709,128.49100,-24.67090,8,3,01/09/2014,31/12/2099,0,,
VK6/CG-023,"Australia - WA","Central Goldfields","Walter James Range",861,2825,128.7419,-24.69,128.74190,-24.69000,8,3,01/09/2014,28/02/2023,0,,
VK6/CG-024,"Australia - WA","Central Goldfields",VK6/CG-024,860,2822,128.9443,-24.9047,128.94431,-24.90470,8,3,01/09/2014,31/12/2099,0,,
VK6/CG-025,"Australia - WA","Central Goldfields",VK6/CG-025,860,2822,128.9849,-24.836,128.98489,-24.83600,8,3,01/09/2014,31/12/2099,0,,
VK6/CG-026,"Australia - WA","Central Goldfields",Mt.West,858,2815,128.792,-26.2154,128.79201,-26.21540,8,3,01/09/2014,31/12/2099,0,,
VK6/CG-027,"Australia - WA","Central Goldfields",VK6/CG-027,850,2789,128.9035,-24.8559,128.90350,-24.85590,8,3,01/09/2014,31/12/2099,0,,
VK6/CG-028,"Australia - WA","Central Goldfields","MacMeikan Range",850,2789,128.9168,-24.921,128.91679,-24.92100,8,3,01/09/2014,31/12/2099,0,,
VK6/CG-029,"Australia - WA","Central Goldfields",VK6/CG-029,850,2789,128.9388,-24.8626,128.93880,-24.86260,8,3,01/09/2014,31/12/2099,0,,
VK6/CG-030,"Australia - WA","Central Goldfields",VK6/CG-030,845,2772,128.3763,-24.9609,128.37630,-24.96090,6,3,01/09/2014,31/12/2099,0,,
VK6/CG-031,"Australia - WA","Central Goldfields","Mt. Ant",842,2762,128.7513,-24.7701,128.75130,-24.77010,6,3,01/09/2014,31/12/2099,0,,
VK6/CG-032,"Australia - WA","Central Goldfields",VK6/CG-032,841,2759,120.3991,-24.9876,120.39910,-24.98760,6,3,01/09/2014,31/12/2099,0,,
VK6/CG-033,"Australia - WA","Central Goldfields",VK6/CG-033,839,2753,128.3754,-24.9016,128.37540,-24.90160,6,3,01/09/2014,31/12/2099,0,,
VK6/CG-034,"Australia - WA","Central Goldfields",VK6/CG-034,835,2740,128.9458,-24.7964,128.94580,-24.79640,6,3,01/09/2014,31/12/2099,0,,
