SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
VO1/AV-001,"Canada - Newfoundland",Avalon,"Hawke Hill",337,1105,-53.1195,47.2889,-53.11950,47.28890,2,3,01/07/2017,31/12/2099,0,,
VO1/AV-002,"Canada - Newfoundland",Avalon,"Bread And Cheese Hill",332,1089,-53.1248,47.0526,-53.12480,47.05260,2,3,01/07/2017,31/12/2099,0,,
VO1/AV-003,"Canada - Newfoundland",Avalon,Fine,321,1053,-53.6806,47.3266,-53.68060,47.32660,2,3,01/07/2017,31/12/2099,0,,
VO1/AV-004,"Canada - Newfoundland",Avalon,"Peter Easton Lookout",301,987,-53.1977,47.8351,-53.19770,47.83510,2,3,01/07/2017,31/12/2099,0,,
VO1/AV-005,"Canada - Newfoundland",Avalon,"Branch Barrens Hill",291,954,-53.8935,47.0778,-53.89350,47.07780,1,0,01/07/2017,31/12/2099,0,,
VO1/AV-006,"Canada - Newfoundland",Avalon,"Ship Harbour Hill",290,951,-53.8310,47.3749,-53.83100,47.37490,1,0,01/07/2017,31/12/2099,0,,
VO1/AV-007,"Canada - Newfoundland",Avalon,"Doe Hill",266,872,-53.8112,47.6309,-53.81120,47.63090,1,0,01/07/2017,31/12/2099,0,,
VO1/AV-008,"Canada - Newfoundland",Avalon,"Flat Hill",232,761,-53.8735,47.7009,-53.87350,47.70090,1,0,01/07/2017,31/12/2099,0,,
VO1/AV-009,"Canada - Newfoundland",Avalon,"Bellevue Hill",199,652,-53.7156,47.6455,-53.71560,47.64550,1,0,01/07/2017,31/12/2099,0,,
VO1/CE-001,"Canada - Newfoundland",Central,"Peace Pond Peak - Hodges Hill",569,1866,-55.8778,49.0642,-55.87780,49.06420,6,3,01/07/2017,31/12/2099,0,,
VO1/CE-002,"Canada - Newfoundland",Central,"Miners Lookout",567,1860,-56.7293,49.2619,-56.72930,49.26190,6,3,01/07/2017,31/12/2099,0,,
VO1/CE-003,"Canada - Newfoundland",Central,"West Rattling Brook Lookout",482,1581,-56.2524,49.6331,-56.25240,49.63310,4,3,01/07/2017,31/12/2099,0,,
VO1/CE-004,"Canada - Newfoundland",Central,"Shefield Pond Peak",473,1551,-56.5561,49.3621,-56.55610,49.36210,4,3,01/07/2017,31/12/2099,2,12/09/2024,VO1/DF3TS/P
VO1/CE-005,"Canada - Newfoundland",Central,"Mount Peyton",472,1548,-55.1012,48.9472,-55.10120,48.94720,4,3,01/07/2017,31/12/2099,0,,
VO1/CE-006,"Canada - Newfoundland",Central,VO1/CE-006,444,1456,-56.4111,49.5413,-56.41110,49.54130,4,3,01/07/2017,31/12/2099,0,,
VO1/CE-007,"Canada - Newfoundland",Central,"Rock Hill",414,1358,-56.8683,49.4505,-56.86830,49.45050,4,3,01/07/2017,31/12/2099,0,,
VO1/CE-008,"Canada - Newfoundland",Central,"Skull Hill",412,1351,-56.2470,49.0013,-56.24700,49.00130,4,3,01/07/2017,31/12/2099,0,,
VO1/CE-009,"Canada - Newfoundland",Central,"Fire Point Lookout",410,1345,-56.2770,49.7090,-56.27700,49.70900,4,3,01/07/2017,31/12/2099,0,,
VO1/CE-010,"Canada - Newfoundland",Central,"Miguel Hill",399,1309,-55.7664,48.7113,-55.76640,48.71130,2,3,01/07/2017,31/12/2099,0,,
VO1/CE-011,"Canada - Newfoundland",Central,"Backside White Hill",397,1302,-54.0560,48.1576,-54.05600,48.15760,2,3,01/07/2017,31/12/2099,0,,
VO1/CE-012,"Canada - Newfoundland",Central,"Strip Pond Peak",397,1302,-56.5785,49.6784,-56.57850,49.67840,2,3,01/07/2017,31/12/2099,0,,
VO1/CE-013,"Canada - Newfoundland",Central,VO1/CE-013,386,1266,-54.3023,47.8751,-54.30230,47.87510,2,3,01/07/2017,31/12/2099,0,,
VO1/CE-014,"Canada - Newfoundland",Central,"Gander Lake Summit West",386,1266,-55.2011,48.8967,-55.20110,48.89670,2,3,01/07/2017,31/12/2099,0,,
VO1/CE-015,"Canada - Newfoundland",Central,"Swift Current Peak",369,1210,-54.1798,47.9593,-54.17980,47.95930,2,3,01/07/2017,31/12/2099,0,,
VO1/CE-016,"Canada - Newfoundland",Central,"Mill Peak",367,1204,-54.1798,48.0022,-54.17980,48.00220,2,3,01/07/2017,31/12/2099,0,,
VO1/CE-017,"Canada - Newfoundland",Central,"Twin Lake Peak",366,1200,-55.6711,49.2333,-55.67110,49.23330,2,3,01/07/2017,31/12/2099,0,,
VO1/CE-018,"Canada - Newfoundland",Central,"Point Baie Verte Juntion",346,1135,-56.2946,49.8497,-56.29460,49.84970,2,3,01/07/2017,31/12/2099,0,,
VO1/CE-019,"Canada - Newfoundland",Central,"Coachmans Cove Pond Hill",338,1108,-56.2197,50.0236,-56.21970,50.02360,2,3,01/07/2017,31/12/2099,0,,
VO1/CE-020,"Canada - Newfoundland",Central,"Loggers Lookout",338,1108,-55.9497,49.7852,-55.94970,49.78520,2,3,01/07/2017,31/12/2099,0,,
VO1/CE-021,"Canada - Newfoundland",Central,"Centre Hill",333,1092,-53.8658,47.8909,-53.86580,47.89090,2,3,01/07/2017,31/12/2099,0,,
VO1/CE-022,"Canada - Newfoundland",Central,"George Mountain",330,1082,-54.0765,48.2981,-54.07650,48.29810,2,3,01/07/2017,31/12/2099,0,,
VO1/CE-023,"Canada - Newfoundland",Central,VO1/CE-023,326,1069,-53.9743,47.9009,-53.97430,47.90090,2,3,01/07/2017,31/12/2099,0,,
VO1/CE-024,"Canada - Newfoundland",Central,"Hall Hill",321,1053,-56.0722,49.3465,-56.07220,49.34650,2,3,01/07/2017,31/12/2099,0,,
VO1/CE-025,"Canada - Newfoundland",Central,"Kettle Hill",321,1053,-55.7941,49.3331,-55.79410,49.33310,2,3,01/07/2017,31/12/2099,0,,
VO1/CE-026,"Canada - Newfoundland",Central,"Mistaken Hill",307,1007,-56.4127,49.8616,-56.41270,49.86160,2,3,01/07/2017,31/12/2099,0,,
VO1/CE-027,"Canada - Newfoundland",Central,VO1/CE-027,306,1003,-55.5196,49.1619,-55.51960,49.16190,2,3,01/07/2017,31/12/2099,0,,
VO1/CE-028,"Canada - Newfoundland",Central,"The Scrape",306,1003,-55.9674,49.9550,-55.96740,49.95500,2,3,01/07/2017,31/12/2099,0,,
