SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
VR/HK-001,"Hong Kong","Hong Kong","Tai Mo Shan, 大帽山",959,3145,114.1245,22.4101,114.12450,22.41010,10,0,01/05/2023,31/12/2099,0,,
VR/HK-002,"Hong Kong","Hong Kong","Lantau Peak, Fung Wong Shan, 鳳凰山",936,3070,113.92004,22.24918,113.92004,22.24918,10,0,01/05/2023,31/12/2099,1,18/03/2026,VR2/EI3JMB
VR/HK-003,"Hong Kong","Hong Kong","Sunset Peak, Tai Tung Shan, 大東山",870,2854,113.95283,22.25723,113.95283,22.25723,10,0,01/05/2023,31/12/2099,0,,
VR/HK-004,"Hong Kong","Hong Kong","Nei Lak Shan, 彌勒山",752,2467,113.91055,22.26308,113.91055,22.26308,8,0,01/05/2023,31/12/2099,0,,
VR/HK-005,"Hong Kong","Hong Kong","Ma On Shan, 馬鞍山",704,2308,114.25244,22.40903,114.25244,22.40903,8,0,01/05/2023,31/12/2099,1,26/02/2026,VR2WTM
VR/HK-006,"Hong Kong","Hong Kong","Grassy Hill, 草山",648,2126,114.16588,22.41165,114.16588,22.41165,6,0,01/05/2023,31/12/2099,0,,
VR/HK-007,"Hong Kong","Hong Kong","Wong Leng, 黃嶺",641,2102,114.20786,22.48919,114.20786,22.48919,6,0,01/05/2023,31/12/2099,0,,
VR/HK-008,"Hong Kong","Hong Kong","Buffalo Hill, 水牛山",606,1988,114.23433,22.37456,114.23433,22.37456,6,0,01/05/2023,31/12/2099,0,,
VR/HK-009,"Hong Kong","Hong Kong","Kowloon Peak, Fei Ngo Shan, 飛鵝山",603,1979,114.2233,22.34064,114.22330,22.34064,6,0,01/05/2023,31/12/2099,1,02/05/2023,VR2YUA/P
VR/HK-010,"Hong Kong","Hong Kong","Lo Tin Teng, 羅天頂",585,1919,114.08576,22.4649,114.08576,22.46490,6,0,01/05/2023,31/12/2099,0,,
VR/HK-011,"Hong Kong","Hong Kong","Castle Peak, Tsing Shan, 青山",584,1917,113.95342,22.38834,113.95342,22.38834,6,0,01/05/2023,31/12/2099,0,,
VR/HK-012,"Hong Kong","Hong Kong","Tai To Yan, 大刀屻",567,1859,114.11827,22.45104,114.11827,22.45104,6,0,01/05/2023,31/12/2099,0,,
VR/HK-013,"Hong Kong","Hong Kong","Victoria Peak, 太平山(扯旗山)",555,1822,114.14539,22.27597,114.14539,22.27597,6,0,01/05/2023,31/12/2099,0,,
