SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
VY1/LL-001,"Canada - Yukon","Lake Laberge","Mount Black",2158,7080,-134.0654,61.2083,-134.06540,61.20830,8,3,01/02/2018,31/12/2099,0,,
VY1/LL-002,"Canada - Yukon","Lake Laberge",VY1/LL-002,2106,6909,-134.0046,61.2408,-134.00459,61.24080,8,3,01/02/2018,31/12/2099,0,,
VY1/LL-003,"Canada - Yukon","Lake Laberge",VY1/LL-003,2102,6896,-134.0302,61.3738,-134.03020,61.37380,8,3,01/02/2018,31/12/2099,0,,
VY1/LL-004,"Canada - Yukon","Lake Laberge",VY1/LL-004,2065,6774,-134.0496,61.3071,-134.04961,61.30710,6,3,01/02/2018,31/12/2099,0,,
VY1/LL-005,"Canada - Yukon","Lake Laberge",VY1/LL-005,2059,6755,-134.0373,61.2558,-134.03729,61.25580,6,3,01/02/2018,31/12/2099,0,,
VY1/LL-006,"Canada - Yukon","Lake Laberge",VY1/LL-006,2041,6696,-134.0296,61.3015,-134.02960,61.30150,6,3,01/02/2018,31/12/2099,0,,
VY1/LL-007,"Canada - Yukon","Lake Laberge","Rangifer Mountain",2031,6663,-134.0440,61.7919,-134.04401,61.79190,6,3,01/02/2018,31/12/2099,0,,
VY1/LL-008,"Canada - Yukon","Lake Laberge","Pilot Mountain",2021,6630,-135.5352,61.0242,-135.53520,61.02420,6,3,01/02/2018,31/12/2099,0,,
VY1/LL-009,"Canada - Yukon","Lake Laberge",VY1/LL-009,2015,6610,-133.9979,61.2531,-133.99789,61.25310,6,3,01/02/2018,31/12/2099,0,,
VY1/LL-010,"Canada - Yukon","Lake Laberge",VY1/LL-010,2004,6574,-133.9827,61.4456,-133.98270,61.44560,6,3,01/02/2018,31/12/2099,0,,
VY1/LL-011,"Canada - Yukon","Lake Laberge",VY1/LL-011,2002,6568,-133.9833,61.1773,-133.98331,61.17730,6,3,01/02/2018,31/12/2099,0,,
VY1/LL-012,"Canada - Yukon","Lake Laberge",VY1/LL-012,1988,6522,-134.0325,61.6935,-134.03250,61.69350,6,3,01/02/2018,31/12/2099,0,,
VY1/LL-013,"Canada - Yukon","Lake Laberge",VY1/LL-013,1981,6499,-134.0638,61.8046,-134.06380,61.80460,6,3,01/02/2018,31/12/2099,0,,
VY1/LL-014,"Canada - Yukon","Lake Laberge","Mount D'Abbadie",1978,6489,-134.0971,61.7102,-134.09711,61.71020,6,3,01/02/2018,31/12/2099,0,,
VY1/LL-015,"Canada - Yukon","Lake Laberge",VY1/LL-015,1971,6466,-134.0608,61.7008,-134.06081,61.70080,6,3,01/02/2018,31/12/2099,0,,
VY1/LL-016,"Canada - Yukon","Lake Laberge",VY1/LL-016,1959,6427,-134.1125,61.2131,-134.11250,61.21310,6,3,01/02/2018,31/12/2099,0,,
