SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
W0D/BB-001,"USA - Dakotas","SD-Black Hills - Badlands","Black Elk Peak",2207,7242,-103.5312,43.8660,-103.53120,43.86600,10,3,08/01/2011,31/12/2099,41,26/05/2026,K0ZT
W0D/BB-002,"USA - Dakotas","SD-Black Hills - Badlands","Odakota Mountain",2198,7210,-103.7542,43.9235,-103.75420,43.92350,10,3,08/01/2011,31/12/2099,61,26/05/2026,WJ7WJ
W0D/BB-003,"USA - Dakotas","SD-Black Hills - Badlands","Sylvan Peak",2134,7000,-103.5866,43.8438,-103.58660,43.84380,10,3,08/01/2011,31/12/2099,12,16/08/2025,KT0A
W0D/BB-004,"USA - Dakotas","SD-Black Hills - Badlands","Zimmer Ridge",2018,6620,-103.6265,43.8933,-103.62650,43.89330,8,3,08/01/2011,31/12/2099,10,23/07/2025,KT0A
W0D/BB-005,"USA - Dakotas","SD-Black Hills - Badlands","Saint Elmo Peak",1968,6458,-103.5950,43.8724,-103.59500,43.87240,8,3,08/01/2011,31/12/2099,12,23/08/2025,KT0A
W0D/BB-006,"USA - Dakotas","SD-Black Hills - Badlands",6260,1908,6260,-103.5424,43.6961,-103.54240,43.69610,8,3,08/01/2011,31/12/2099,22,27/05/2026,K0ZT
W0D/BB-007,"USA - Dakotas","SD-Black Hills - Badlands","Five Points",1896,6221,-103.5508,43.9717,-103.55080,43.97170,8,3,08/01/2011,31/12/2099,9,03/10/2025,KT0A
W0D/BB-008,"USA - Dakotas","SD-Black Hills - Badlands",6167,1880,6167,-103.5833,44.0205,-103.58330,44.02050,8,3,08/01/2011,31/12/2099,16,01/07/2025,W0HG
W0D/BB-009,"USA - Dakotas","SD-Black Hills - Badlands","Cicero Peak",1879,6166,-103.5613,43.6794,-103.56130,43.67940,8,3,08/01/2011,31/12/2099,42,27/05/2026,K0ZT
W0D/BB-010,"USA - Dakotas","SD-Black Hills - Badlands","Custer Mountain",1859,6100,-103.5360,43.7529,-103.53600,43.75290,8,3,08/01/2011,31/12/2099,22,28/05/2026,K0ZT
W0D/BB-011,"USA - Dakotas","SD-Black Hills - Badlands",6070,1850,6070,-103.5475,44.0353,-103.54750,44.03530,8,3,08/01/2011,31/12/2099,7,10/08/2025,KT0A
W0D/BB-012,"USA - Dakotas","SD-Black Hills - Badlands","Coolidge, Mount",1836,6023,-103.4816,43.7449,-103.48160,43.74490,8,3,08/01/2011,31/12/2099,75,22/05/2026,WJ7WJ
W0D/BB-013,"USA - Dakotas","SD-Black Hills - Badlands",5948,1813,5948,-103.5263,43.7248,-103.52630,43.72480,6,3,08/01/2011,31/12/2099,8,13/11/2025,W0HG
W0D/BB-014,"USA - Dakotas","SD-Black Hills - Badlands",5900,1798,5900,-103.4930,43.7772,-103.49300,43.77720,6,3,08/01/2011,31/12/2099,13,18/03/2026,KT0A
W0D/BB-015,"USA - Dakotas","SD-Black Hills - Badlands",5889,1795,5889,-103.4768,43.9404,-103.47680,43.94040,6,3,08/01/2011,31/12/2099,9,08/09/2025,KT0A
W0D/BB-016,"USA - Dakotas","SD-Black Hills - Badlands","Woodpecker Ridge",1737,5700,-103.4347,43.8272,-103.43470,43.82720,6,3,08/01/2011,31/12/2099,3,04/08/2025,W0HG
