SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
W0N/PH-001,"USA - Nebraska",Panhandle,5076,1548,5076,-103.8027,42.2317,-103.80270,42.23170,4,3,01/02/2014,31/12/2099,1,11/09/2018,W1DMH/0
W0N/PH-002,"USA - Nebraska",Panhandle,"Hogback Mountain",1546,5070,-103.7357,41.6649,-103.73570,41.66490,4,3,01/02/2014,31/12/2099,2,02/01/2026,WBØJNR
W0N/PH-003,"USA - Nebraska",Panhandle,4897,1493,4897,-103.8274,41.8397,-103.82740,41.83970,2,3,01/02/2014,31/12/2099,0,,
W0N/PH-004,"USA - Nebraska",Panhandle,4749,1448,4749,-103.7709,41.8300,-103.77090,41.83000,2,3,01/02/2014,31/12/2099,0,,
W0N/PH-005,"USA - Nebraska",Panhandle,"Scotts Bluff",1417,4649,-103.6987,41.8380,-103.69870,41.83800,2,3,01/02/2014,31/12/2099,56,06/04/2026,AE7AP
W0N/PH-006,"USA - Nebraska",Panhandle,Roundtop,1375,4510,-103.4945,41.7183,-103.49450,41.71830,2,3,01/02/2014,31/12/2099,0,,
W0N/PH-007,"USA - Nebraska",Panhandle,"Coyote Rock",1367,4483,-103.4875,41.7254,-103.48750,41.72540,1,0,01/02/2014,31/12/2099,0,,
W0N/PH-008,"USA - Nebraska",Panhandle,"Castle Rock",1365,4478,-103.4711,41.7373,-103.47110,41.73730,1,0,01/02/2014,31/12/2099,0,,
W0N/PH-009,"USA - Nebraska",Panhandle,"Crow Butte",1345,4410,-103.3306,42.6681,-103.33060,42.66810,1,0,01/02/2014,31/12/2099,0,,
W0N/PH-010,"USA - Nebraska",Panhandle,4378,1335,4378,-103.2275,41.6140,-103.22750,41.61400,1,0,01/02/2014,31/12/2099,0,,
W0N/PH-011,"USA - Nebraska",Panhandle,"Morton Hill",1314,4310,-102.2334,42.2666,-102.23340,42.26660,1,0,01/02/2014,31/12/2099,0,,
W0N/PH-012,"USA - Nebraska",Panhandle,4230,1290,4230,-102.3749,42.1062,-102.37490,42.10620,1,0,01/02/2014,31/12/2099,0,,
W0N/SH-001,"USA - Nebraska",Sandhills,4150,1265,4150,-101.8636,41.8164,-101.86360,41.81640,1,0,01/02/2014,31/12/2099,0,,
W0N/SH-002,"USA - Nebraska",Sandhills,4150,1265,4150,-101.9306,41.8502,-101.93060,41.85020,1,0,01/02/2014,31/12/2099,0,,
W0N/SH-003,"USA - Nebraska",Sandhills,4084,1245,4084,-101.6495,41.9376,-101.64950,41.93760,1,0,01/02/2014,31/12/2099,0,,
