SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
W4G/CE-001,"USA - Georgia",Central,"Kennesaw Mountain",551,1808,-84.5794,33.9763,-84.57940,33.97630,2,0,01/10/2012,31/12/2099,158,07/05/2026,KE6SRO
W4G/CE-002,"USA - Georgia",Central,"Sweat Mountain",515,1690,-84.4562,34.067,-84.45620,34.06700,2,0,01/10/2012,31/12/2099,9,16/05/2026,KR4HFD
W4G/CE-003,"USA - Georgia",Central,"Stone Mountain",513,1683,-84.1458,33.8062,-84.14580,33.80620,2,0,01/10/2012,31/12/2099,87,29/03/2026,K4FWK
W4G/CE-004,"USA - Georgia",Central,"Dowdell Knob",425,1395,-84.7458,32.8407,-84.74580,32.84070,1,0,01/10/2012,31/12/2099,56,23/01/2026,WE4AUB
W4G/HC-001,"USA - Georgia","Historic High Country","Cowpen Mountain",1265,4151,-84.5741,34.8898,-84.57410,34.88980,10,3,01/10/2012,31/12/2099,85,09/05/2026,AB6D
W4G/HC-002,"USA - Georgia","Historic High Country","Big Bald Mountain",1242,4075,-84.3208,34.7516,-84.32080,34.75160,10,3,01/10/2012,31/12/2099,42,28/11/2025,WE4AUB
W4G/HC-003,"USA - Georgia","Historic High Country","Bald Mountain",1221,4005,-84.6283,34.8645,-84.62830,34.86450,10,3,01/10/2012,31/12/2099,113,09/05/2026,AB6D
W4G/HC-004,"USA - Georgia","Historic High Country","Stover Mountain",1164,3820,-84.3556,34.7148,-84.35560,34.71480,8,3,01/10/2012,31/12/2099,8,12/10/2024,N4NFM
W4G/HC-005,"USA - Georgia","Historic High Country","Springer Mountain",1153,3782,-84.1937,34.6268,-84.19370,34.62680,8,3,01/10/2012,31/12/2099,162,02/05/2026,W4/OE5EEP
W4G/HC-006,"USA - Georgia","Historic High Country","Flat Top Mountain",1140,3740,-84.5043,34.8574,-84.50430,34.85740,8,3,01/10/2012,31/12/2099,75,21/03/2026,N4BEL
W4G/HC-007,"USA - Georgia","Historic High Country","Grassy Mountain",1125,3692,-84.67,34.8619,-84.67000,34.86190,8,3,01/10/2012,31/12/2099,95,09/05/2026,AB6D
W4G/HC-008,"USA - Georgia","Historic High Country","Rocky Mountain",1055,3460,-84.3219,34.7951,-84.32190,34.79510,8,3,01/10/2012,31/12/2099,51,01/01/2026,NI4K
W4G/HC-009,"USA - Georgia","Historic High Country","Dyer Mountain",1042,3420,-84.5152,34.891,-84.51520,34.89100,8,3,01/10/2012,31/12/2099,56,09/05/2026,AB6D
W4G/HC-010,"USA - Georgia","Historic High Country","Burnt Mountain",1003,3290,-84.3615,34.5347,-84.36150,34.53470,8,3,01/10/2012,31/12/2099,2,21/05/2022,W2SWA
W4G/HC-011,"USA - Georgia","Historic High Country","Tipton Mountain",969,3180,-84.1994,34.8099,-84.19940,34.80990,6,3,01/10/2012,31/12/2099,40,17/05/2026,WG4V
W4G/HC-012,"USA - Georgia","Historic High Country","Wilson Mountain",908,2980,-84.2585,34.7073,-84.25850,34.70730,6,3,01/10/2012,31/12/2099,22,24/03/2024,WG4V
W4G/HC-013,"USA - Georgia","Historic High Country","Tatum Mountain",896,2940,-84.6383,34.773,-84.63830,34.77300,6,0,01/10/2012,31/12/2099,10,21/06/2025,WE4AUB
W4G/HC-014,"USA - Georgia","Historic High Country",2842,866,2842,-84.6568,34.7292,-84.65680,34.72920,6,0,01/10/2012,31/12/2099,14,21/06/2025,WE4AUB
W4G/HC-015,"USA - Georgia","Historic High Country","Tooni Mountain",835,2740,-84.1683,34.753,-84.16830,34.75300,6,0,01/10/2012,31/12/2099,32,17/05/2026,WG4V
W4G/HC-016,"USA - Georgia","Historic High Country","Watson Mountain",823,2700,-84.2472,34.9782,-84.24720,34.97820,6,0,01/10/2012,31/12/2099,4,25/02/2022,AE1MS
W4G/HC-017,"USA - Georgia","Historic High Country","Bushy Head Mountain",818,2685,-84.4085,34.8475,-84.40850,34.84750,6,0,01/10/2012,31/12/2099,4,07/12/2024,K8SNH
W4G/HC-018,"USA - Georgia","Historic High Country","Prince Mountain",788,2584,-84.4121,34.8654,-84.41210,34.86540,6,0,01/10/2012,31/12/2099,3,04/10/2024,AE1JS
W4G/HC-019,"USA - Georgia","Historic High Country","Sharptop Mountain",787,2583,-84.3766,34.5045,-84.37660,34.50450,6,0,01/10/2012,31/12/2099,12,02/08/2025,KQ4PGV
W4G/HC-020,"USA - Georgia","Historic High Country","Douglas Mountain",786,2580,-84.5106,34.7785,-84.51060,34.77850,6,0,01/10/2012,31/12/2099,4,04/10/2024,AE1JS
W4G/HC-021,"USA - Georgia","Historic High Country","Piney Mountain",738,2420,-84.2712,34.9575,-84.27120,34.95750,4,0,01/10/2012,31/12/2099,12,25/02/2022,AE1MS
W4G/HC-022,"USA - Georgia","Historic High Country","High Point",729,2391,-85.3924,34.8638,-85.39240,34.86380,4,0,01/10/2012,31/12/2099,10,30/10/2025,KD8EQA
W4G/HC-023,"USA - Georgia","Historic High Country","Sharp Mountain",717,2352,-84.5073,34.439,-84.50730,34.43900,4,0,01/10/2012,31/12/2099,3,05/11/2023,KE4SJM
W4G/HC-024,"USA - Georgia","Historic High Country","High Point",715,2345,-85.3845,34.6986,-85.38450,34.69860,4,0,01/10/2012,31/12/2099,9,20/12/2025,N4DCW
W4G/HC-025,"USA - Georgia","Historic High Country","Pine Log Mountain",710,2331,-84.6371,34.3218,-84.63710,34.32180,4,0,01/10/2012,31/12/2099,7,03/05/2026,KK4YDY
W4G/HC-026,"USA - Georgia","Historic High Country","Talona Mountain",640,2100,-84.4914,34.6305,-84.49140,34.63050,4,0,01/10/2012,31/12/2099,78,25/05/2026,KR4HFD
W4G/HC-027,"USA - Georgia","Historic High Country",2032,619,2032,-84.6909,34.9606,-84.69090,34.96060,4,0,01/10/2012,31/12/2099,1,28/12/2022,KO4PWQ
W4G/HC-028,"USA - Georgia","Historic High Country","Potts Mountain",619,2030,-84.2632,34.4368,-84.26320,34.43680,4,0,01/10/2012,31/12/2099,0,,
W4G/HC-029,"USA - Georgia","Historic High Country","Johns Mountain",574,1883,-85.0983,34.6231,-85.09830,34.62310,2,0,01/10/2012,31/12/2099,15,19/06/2024,KQ4IOC
W4G/HC-030,"USA - Georgia","Historic High Country","Mill Creek Mountain",563,1847,-85.0508,34.6503,-85.05080,34.65030,2,0,01/10/2012,31/12/2099,8,26/04/2024,K4HET
