SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
W4K/EC-001,"USA - Kentucky","East Coal Field Mountains","Black Mountain",1262,4139,-82.8938,36.9142,-82.89380,36.91420,10,0,01/06/2013,31/12/2099,154,16/05/2026,WE4AUB
W4K/EC-002,"USA - Kentucky","East Coal Field Mountains","Little Black Mountain",1116,3660,-83.0768,36.8507,-83.07680,36.85070,10,0,01/06/2013,31/12/2099,0,,
W4K/EC-003,"USA - Kentucky","East Coal Field Mountains",3660,1116,3660,-83.0371,36.8633,-83.03710,36.86330,10,0,01/06/2013,31/12/2099,0,,
W4K/EC-004,"USA - Kentucky","East Coal Field Mountains","Dominion Benchmark",1116,3660,-83.1076,36.8279,-83.10760,36.82790,10,0,01/06/2013,31/12/2099,0,,
W4K/EC-005,"USA - Kentucky","East Coal Field Mountains","Little Black Lookout",1042,3420,-83.1487,36.8226,-83.14870,36.82260,10,0,01/06/2013,31/12/2099,0,,
W4K/EC-006,"USA - Kentucky","East Coal Field Mountains","Chunklick Benchmark",1039,3410,-83.3834,36.7345,-83.38340,36.73450,10,0,01/06/2013,31/12/2099,0,,
W4K/EC-007,"USA - Kentucky","East Coal Field Mountains",3380A,1030,3380,-83.1609,36.8959,-83.16090,36.89590,10,0,01/06/2013,31/12/2099,0,,
W4K/EC-008,"USA - Kentucky","East Coal Field Mountains",3380B,1030,3380,-83.217,36.8208,-83.21700,36.82080,10,0,01/06/2013,31/12/2099,0,,
W4K/EC-009,"USA - Kentucky","East Coal Field Mountains",3380C,1030,3380,-83.2569,36.8366,-83.25690,36.83660,10,0,01/06/2013,31/12/2099,0,,
W4K/EC-010,"USA - Kentucky","East Coal Field Mountains",3355,1023,3355,-83.2216,36.8832,-83.22160,36.88320,10,0,01/06/2013,31/12/2099,0,,
W4K/EC-011,"USA - Kentucky","East Coal Field Mountains","Fox Knob",1018,3340,-83.3766,36.8002,-83.37660,36.80020,10,0,01/06/2013,31/12/2099,59,29/03/2026,K4FR
W4K/EC-012,"USA - Kentucky","East Coal Field Mountains",3340A,1018,3340,-83.1233,36.9211,-83.12330,36.92110,10,0,01/06/2013,31/12/2099,0,,
W4K/EC-013,"USA - Kentucky","East Coal Field Mountains",3340B,1018,3340,-83.111,36.9273,-83.11100,36.92730,10,0,01/06/2013,31/12/2099,0,,
W4K/EC-014,"USA - Kentucky","East Coal Field Mountains","Pine Mountain",1006,3300,-82.7318,37.1126,-82.73180,37.11260,10,0,01/06/2013,31/12/2099,10,11/10/2025,K9IR
W4K/EC-015,"USA - Kentucky","East Coal Field Mountains","Grays Ridge",981,3220,-83.3011,36.7746,-83.30110,36.77460,10,0,01/06/2013,31/12/2099,0,,
W4K/EC-016,"USA - Kentucky","East Coal Field Mountains",3070,936,3070,-83.802,36.6616,-83.80200,36.66160,8,0,01/06/2013,31/12/2099,0,,
W4K/EC-017,"USA - Kentucky","East Coal Field Mountains","Double Spur",930,3050,-83.3209,36.7481,-83.32090,36.74810,8,0,01/06/2013,31/12/2099,0,,
W4K/EC-018,"USA - Kentucky","East Coal Field Mountains",3010,917,3010,-83.4844,36.709,-83.48440,36.70900,8,0,01/06/2013,31/08/2021,0,,
W4K/EC-019,"USA - Kentucky","East Coal Field Mountains",2961,903,2961,-83.5234,36.7422,-83.52340,36.74220,8,0,01/06/2013,31/12/2099,0,,
W4K/EC-020,"USA - Kentucky","East Coal Field Mountains",2940,896,2940,-83.1602,36.95,-83.16020,36.95000,8,0,01/06/2013,31/12/2099,53,11/04/2026,W4BTH
W4K/EC-021,"USA - Kentucky","East Coal Field Mountains",Flatwoods,872,2860,-82.5246,37.285,-82.52460,37.28500,8,0,01/06/2013,31/12/2099,33,02/05/2026,W4BTH
W4K/EC-022,"USA - Kentucky","East Coal Field Mountains",2710,826,2710,-83.7831,36.6894,-83.78310,36.68940,8,0,01/06/2013,31/12/2099,2,14/09/2025,N4DCW
W4K/EC-023,"USA - Kentucky","East Coal Field Mountains",2660,811,2660,-83.1474,36.9779,-83.14740,36.97790,8,0,01/06/2013,31/12/2099,0,,
W4K/EC-024,"USA - Kentucky","East Coal Field Mountains","Peters Knob",799,2620,-83.4497,36.8915,-83.44970,36.89150,8,0,01/06/2013,31/12/2099,1,23/04/2026,KJ4TCW
W4K/EC-025,"USA - Kentucky","East Coal Field Mountains",2556,779,2556,-83.3165,36.9188,-83.31650,36.91880,8,0,01/06/2013,31/12/2099,0,,
W4K/EC-026,"USA - Kentucky","East Coal Field Mountains",2540,774,2540,-83.2112,36.9534,-83.21120,36.95340,8,0,01/06/2013,31/12/2099,0,,
W4K/EC-027,"USA - Kentucky","East Coal Field Mountains","Dicks Knob",762,2500,-82.2275,37.5013,-82.22750,37.50130,8,0,01/06/2013,31/12/2099,0,,
W4K/EC-028,"USA - Kentucky","East Coal Field Mountains",2500,762,2500,-82.5849,37.2344,-82.58490,37.23440,8,0,01/06/2013,31/12/2099,0,,
W4K/EC-029,"USA - Kentucky","East Coal Field Mountains","Hylton Knob",761,2498,-82.1634,37.4216,-82.16340,37.42160,8,0,01/06/2013,31/12/2099,0,,
W4K/EC-030,"USA - Kentucky","East Coal Field Mountains",2452,747,2452,-83.7144,36.7041,-83.71440,36.70410,8,0,01/06/2013,31/12/2099,5,29/03/2026,KD8EQA
