SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
W5O/BS-001,"USA - Oklahoma","Brushy Mountains","Doublehead Mountain",498,1635,-94.6236,35.7572,-94.62360,35.75720,4,0,01/07/2010,31/12/2099,2,24/02/2013,W5ODS
W5O/BS-002,"USA - Oklahoma","Brushy Mountains","Beaver Mountain",496,1630,-94.8121,35.6694,-94.81210,35.66940,4,0,01/07/2010,31/12/2099,2,24/02/2013,W5ODS
W5O/BS-003,"USA - Oklahoma","Brushy Mountains","Davis Mountain",490,1610,-94.6044,35.8012,-94.60440,35.80120,4,0,01/07/2010,31/12/2099,3,05/04/2019,W5ODS
W5O/BS-004,"USA - Oklahoma","Brushy Mountains","Long Ridge",481,1581,-94.6738,35.6269,-94.67380,35.62690,4,0,01/07/2010,31/12/2099,5,01/04/2022,W6BFT
W5O/BS-005,"USA - Oklahoma","Brushy Mountains","Dutch Benchmark",506,1661,-94.5132,35.8766,-94.51320,35.87660,4,0,01/12/2012,31/12/2099,8,08/07/2021,W5ODS
W5O/BS-006,"USA - Oklahoma","Brushy Mountains","Soap Mountain",472,1551,-94.6058,35.7533,-94.60580,35.75330,4,0,01/12/2012,31/12/2099,2,02/02/2013,W5ODS
W5O/BS-007,"USA - Oklahoma","Brushy Mountains","Beevale Flat",467,1533,-94.7340,35.7103,-94.73400,35.71030,2,0,01/12/2012,31/12/2099,1,26/05/2024,W5WMQ
W5O/BS-008,"USA - Oklahoma","Brushy Mountains","Dahlonegah Mountain",466,1530,-94.7058,35.7190,-94.70580,35.71900,2,0,01/12/2012,31/12/2099,1,26/07/2014,W5ODS
W5O/BS-009,"USA - Oklahoma","Brushy Mountains","Taylor Mountain",462,1517,-94.6136,35.7782,-94.61360,35.77820,2,0,01/12/2012,31/12/2099,0,,
W5O/BS-010,"USA - Oklahoma","Brushy Mountains","Gittin Down Mountain",459,1506,-94.7402,35.7652,-94.74020,35.76520,2,0,01/12/2012,31/12/2099,0,,
W5O/BS-011,"USA - Oklahoma","Brushy Mountains",1494,455,1494,-94.7075,35.8823,-94.70750,35.88230,2,0,01/12/2012,31/12/2099,0,,
W5O/BS-012,"USA - Oklahoma","Brushy Mountains","Sanders Mountain",448,1470,-94.7755,35.7518,-94.77550,35.75180,2,0,01/12/2012,31/12/2099,0,,
W5O/BS-013,"USA - Oklahoma","Brushy Mountains","Red Springs Mountain",447,1469,-94.8550,35.6607,-94.85500,35.66070,2,0,01/12/2012,31/12/2099,1,29/03/2015,W5ODS
W5O/BS-014,"USA - Oklahoma","Brushy Mountains",1443,439,1443,-94.6632,35.7360,-94.66320,35.73600,2,0,01/12/2012,31/12/2099,0,,
W5O/BS-015,"USA - Oklahoma","Brushy Mountains","Coon Mountain",435,1426,-94.7210,35.8204,-94.72100,35.82040,2,0,01/12/2012,31/12/2099,0,,
W5O/BS-016,"USA - Oklahoma","Brushy Mountains","Pack Mountain",423,1390,-94.9165,35.6397,-94.91650,35.63970,2,0,01/12/2012,31/12/2099,4,20/08/2024,AD0TN
W5O/BS-017,"USA - Oklahoma","Brushy Mountains",1370,417,1370,-94.6579,35.7020,-94.65790,35.70200,2,0,01/12/2012,31/12/2099,2,19/04/2018,W0CCA
W5O/BS-018,"USA - Oklahoma","Brushy Mountains","Low Gap Mountain",405,1330,-94.5991,35.6159,-94.59910,35.61590,1,0,01/12/2012,31/12/2099,0,,
W5O/KI-001,"USA - Oklahoma","Kiamichi Mountains","Kiamichi Mountain",747,2451,-94.8122,34.6264,-94.81220,34.62640,10,0,01/07/2010,31/12/2099,16,03/11/2025,K5SJC
W5O/KI-002,"USA - Oklahoma","Kiamichi Mountains","Boktuklo Mountains (HP)",606,1990,-94.8309,34.5104,-94.83090,34.51040,6,0,01/07/2010,31/12/2099,1,08/02/2020,KG5AUU
W5O/KI-003,"USA - Oklahoma","Kiamichi Mountains",1978,602,1978,-94.5827,34.5484,-94.58270,34.54840,6,0,01/07/2010,31/12/2099,0,,
W5O/KI-004,"USA - Oklahoma","Kiamichi Mountains","Flagpole Lookout",562,1844,-95.4151,34.6022,-95.41510,34.60220,4,0,01/07/2010,31/12/2099,14,04/05/2026,NM5S
W5O/KI-005,"USA - Oklahoma","Kiamichi Mountains","Wolf Mountain",503,1651,-95.4296,34.6930,-95.42960,34.69300,4,0,01/07/2010,31/12/2099,0,,
W5O/KI-006,"USA - Oklahoma","Kiamichi Mountains","Middle Mountain",496,1630,-95.4947,34.6627,-95.49470,34.66270,4,0,01/07/2010,31/12/2099,0,,
W5O/KI-007,"USA - Oklahoma","Kiamichi Mountains","East Signal Peak",448,1470,-95.0372,34.3318,-95.03720,34.33180,2,0,01/07/2010,31/12/2099,0,,
W5O/KI-008,"USA - Oklahoma","Kiamichi Mountains",1470,448,1470,-95.6214,34.6625,-95.62140,34.66250,2,0,01/07/2010,31/12/2099,0,,
W5O/KI-009,"USA - Oklahoma","Kiamichi Mountains","Potato Hills",441,1450,-95.1753,34.7045,-95.17530,34.70450,2,0,01/07/2010,31/12/2099,0,,
W5O/KI-010,"USA - Oklahoma","Kiamichi Mountains",1409,429,1409,-95.1753,34.6771,-95.17530,34.67710,2,0,01/07/2010,31/12/2099,0,,
W5O/KI-011,"USA - Oklahoma","Kiamichi Mountains",1390,423,1390,-95.1782,34.6563,-95.17820,34.65630,2,0,01/07/2010,31/12/2099,0,,
W5O/KI-012,"USA - Oklahoma","Kiamichi Mountains",1353,412,1353,-95.2812,34.4566,-95.28120,34.45660,2,0,01/07/2010,31/12/2099,3,04/05/2026,NM5S
W5O/KI-013,"USA - Oklahoma","Kiamichi Mountains","Blue Bouncer Mountain",710,2330,-94.5734,34.5726,-94.57340,34.57260,8,0,01/12/2012,31/12/2099,8,27/12/2025,KD5ZZK
W5O/KI-014,"USA - Oklahoma","Kiamichi Mountains","High Top",582,1910,-94.7637,34.5723,-94.76370,34.57230,6,0,01/12/2012,31/12/2099,0,,
W5O/KI-015,"USA - Oklahoma","Kiamichi Mountains","Gobblers Knob",576,1892,-94.8902,34.5626,-94.89020,34.56260,6,0,01/12/2012,31/12/2099,0,,
W5O/KI-016,"USA - Oklahoma","Kiamichi Mountains",1846,562,1846,-95.1308,34.5421,-95.13080,34.54210,4,0,01/12/2012,31/12/2099,0,,
W5O/KI-017,"USA - Oklahoma","Kiamichi Mountains",1750,533,1750,-95.2869,34.5878,-95.28690,34.58780,4,0,01/12/2012,31/12/2099,2,17/06/2014,KD5ZZK
W5O/KI-018,"USA - Oklahoma","Kiamichi Mountains","Flashman Lookout",533,1750,-95.0097,34.4796,-95.00970,34.47960,4,0,01/12/2012,31/12/2099,0,,
W5O/KI-019,"USA - Oklahoma","Kiamichi Mountains",1742,530,1742,-94.6103,34.5469,-94.61030,34.54690,4,0,01/12/2012,31/12/2099,0,,
W5O/KI-020,"USA - Oklahoma","Kiamichi Mountains",1670,509,1670,-95.4822,34.5807,-95.48220,34.58070,4,0,01/12/2012,31/12/2099,0,,
W5O/KI-021,"USA - Oklahoma","Kiamichi Mountains",1505,458,1505,-95.2608,34.5567,-95.26080,34.55670,2,0,01/12/2012,31/12/2099,0,,
W5O/KI-022,"USA - Oklahoma","Kiamichi Mountains","High Peak",441,1450,-94.885,34.4275,-94.88500,34.42750,2,0,01/12/2012,31/12/2099,0,,
W5O/KI-023,"USA - Oklahoma","Kiamichi Mountains",1436,437,1436,-95.3358,34.5018,-95.33580,34.50180,2,0,01/12/2012,31/12/2099,0,,
W5O/KI-024,"USA - Oklahoma","Kiamichi Mountains",1426,434,1426,-95.5127,34.6981,-95.51270,34.69810,2,0,01/12/2012,31/12/2099,0,,
W5O/KI-025,"USA - Oklahoma","Kiamichi Mountains",1418,432,1418,-95.3593,34.539,-95.35930,34.53900,2,0,01/12/2012,31/12/2099,9,04/05/2026,NM5S
W5O/KI-026,"USA - Oklahoma","Kiamichi Mountains",1386,422,1386,-95.4344,34.5288,-95.43440,34.52880,2,0,01/12/2012,31/12/2099,0,,
W5O/KI-027,"USA - Oklahoma","Kiamichi Mountains",1370,417,1370,-95.2449,34.6686,-95.24490,34.66860,2,0,01/12/2012,31/12/2099,0,,
W5O/KI-028,"USA - Oklahoma","Kiamichi Mountains",1330,405,1330,-95.2259,34.6766,-95.22590,34.67660,1,0,01/12/2012,31/12/2099,0,,
W5O/KI-029,"USA - Oklahoma","Kiamichi Mountains",1310,399,1310,-95.2829,34.6672,-95.28290,34.66720,1,0,01/12/2012,31/12/2099,0,,
W5O/KI-030,"USA - Oklahoma","Kiamichi Mountains","Blackjack Mountain",381,1250,-95.2503,34.3898,-95.25030,34.38980,1,0,01/12/2012,31/12/2099,0,,
W5O/KI-031,"USA - Oklahoma","Kiamichi Mountains",1160,353,1160,-95.4383,34.4265,-95.43830,34.42650,1,0,01/12/2012,31/12/2099,0,,
W5O/KI-032,"USA - Oklahoma","Kiamichi Mountains",1110,338,1110,-95.4913,34.3895,-95.49130,34.38950,1,0,01/12/2012,31/12/2099,0,,
W5O/KI-033,"USA - Oklahoma","Kiamichi Mountains","Caney Mountain",320,1053,-95.1839,34.2907,-95.18390,34.29070,1,0,01/12/2012,31/12/2099,0,,
W5O/OU-001,"USA - Oklahoma","Ouachita National Forest","Lynn Mountain",759,2490,-94.5627,34.5935,-94.56270,34.59350,10,0,01/07/2010,31/12/2099,34,27/12/2025,KD5ZZK
W5O/OU-002,"USA - Oklahoma","Ouachita National Forest","Winding Stair Mountain",747,2451,-94.6772,34.7094,-94.67720,34.70940,10,0,01/07/2010,31/12/2099,128,18/04/2026,KG5AUU
W5O/OU-003,"USA - Oklahoma","Ouachita National Forest","Polecat Peak",736,2415,-94.4621,34.5903,-94.46210,34.59030,8,0,01/07/2010,31/12/2099,25,27/12/2025,KD5ZZK
W5O/OU-004,"USA - Oklahoma","Ouachita National Forest","Oklahoma High Top",726,2382,-94.4916,34.9246,-94.49160,34.92460,8,0,01/07/2010,31/12/2099,9,03/01/2021,KD5ZZK
W5O/OU-005,"USA - Oklahoma","Ouachita National Forest","Sycamore Lookout",725,2379,-94.8976,34.7756,-94.89760,34.77560,8,0,01/07/2010,31/12/2099,147,08/04/2026,AE7AP
W5O/OU-006,"USA - Oklahoma","Ouachita National Forest",2290,698,2290,-94.7912,34.7487,-94.79120,34.74870,8,0,01/07/2010,31/12/2099,139,08/04/2026,AE7AP
W5O/OU-007,"USA - Oklahoma","Ouachita National Forest","Simmons Mountain",654,2146,-94.6672,34.6682,-94.66720,34.66820,6,0,01/07/2010,31/12/2099,1,25/05/2013,W5SMD
W5O/OU-008,"USA - Oklahoma","Ouachita National Forest","Buffalo Mountain",651,2136,-95.1776,34.754,-95.17760,34.75400,6,0,01/07/2010,31/12/2099,33,08/04/2026,W5ODS
W5O/OU-009,"USA - Oklahoma","Ouachita National Forest","Blue Mountain",607,1991,-94.7731,34.8216,-94.77310,34.82160,6,0,01/07/2010,31/12/2099,6,20/10/2014,KD5ZZK
W5O/OU-010,"USA - Oklahoma","Ouachita National Forest","High Top",588,1928,-95.2044,34.7851,-95.20440,34.78510,6,0,01/07/2010,31/12/2099,2,29/03/2014,W5ODS
W5O/OU-011,"USA - Oklahoma","Ouachita National Forest","Blue Mountain",460,1509,-95.3764,34.8442,-95.37640,34.84420,2,0,01/07/2010,31/12/2099,0,,
W5O/OU-012,"USA - Oklahoma","Ouachita National Forest","Blue Mountain",443,1453,-95.5713,34.7942,-95.57130,34.79420,2,0,01/07/2010,31/12/2099,0,,
W5O/OU-013,"USA - Oklahoma","Ouachita National Forest","Pigeon Benchmark",744,2441,-94.5559,34.6144,-94.55590,34.61440,8,0,01/12/2012,31/12/2099,34,08/04/2026,AE7AP
W5O/OU-014,"USA - Oklahoma","Ouachita National Forest","Rough Mountain",662,2172,-94.676,34.697,-94.67600,34.69700,6,0,01/12/2012,31/12/2099,31,28/03/2026,W5RST
W5O/OU-015,"USA - Oklahoma","Ouachita National Forest",2148,655,2149,-94.452,34.932,-94.45200,34.93200,6,0,01/12/2012,31/12/2099,11,25/02/2026,K5SJC
W5O/OU-016,"USA - Oklahoma","Ouachita National Forest","Pine Mountain",653,2142,-94.5026,34.6638,-94.50260,34.66380,6,0,01/12/2012,31/12/2099,0,,
W5O/OU-017,"USA - Oklahoma","Ouachita National Forest","Coon Mountain",576,1890,-94.6332,34.6989,-94.63320,34.69890,6,0,01/12/2012,31/12/2099,16,13/01/2026,K5SJC
W5O/OU-018,"USA - Oklahoma","Ouachita National Forest","Honess Mountain",570,1870,-94.5989,34.7004,-94.59890,34.70040,6,0,01/12/2012,31/12/2099,18,20/07/2024,N4VV/P
W5O/OU-019,"USA - Oklahoma","Ouachita National Forest",1644,501,1644,-95.3087,34.744,-95.30870,34.74400,4,0,01/12/2012,31/12/2099,0,,
W5O/OU-020,"USA - Oklahoma","Ouachita National Forest","Carver Mountain",491,1611,-94.7156,34.6794,-94.71560,34.67940,4,0,01/12/2012,31/12/2099,0,,
W5O/OU-021,"USA - Oklahoma","Ouachita National Forest","Lenox Ridge",488,1601,-94.7663,34.7227,-94.76630,34.72270,4,0,01/12/2012,31/12/2099,55,08/04/2026,N4TU
W5O/OU-022,"USA - Oklahoma","Ouachita National Forest","Little High Top",482,1581,-95.2437,34.762,-95.24370,34.76200,4,0,01/12/2012,31/12/2099,0,,
W5O/OU-023,"USA - Oklahoma","Ouachita National Forest","Round Top",473,1552,-95.0125,34.8209,-95.01250,34.82090,4,0,01/12/2012,31/12/2099,0,,
W5O/OU-024,"USA - Oklahoma","Ouachita National Forest","Bald Mountain",443,1453,-95.7274,34.6113,-95.72740,34.61130,2,0,01/12/2012,31/12/2099,0,,
W5O/OU-025,"USA - Oklahoma","Ouachita National Forest","Granny Graham Mountain",428,1404,-95.0952,34.8137,-95.09520,34.81370,2,0,01/12/2012,31/12/2099,0,,
W5O/OU-026,"USA - Oklahoma","Ouachita National Forest","Bobcat Ridge",413,1355,-95.2092,34.8404,-95.20920,34.84040,2,0,01/12/2012,31/12/2099,0,,
W5O/OU-027,"USA - Oklahoma","Ouachita National Forest","New State Mountain",405,1329,-95.6278,34.7609,-95.62780,34.76090,1,0,01/12/2012,31/12/2099,0,,
W5O/OU-028,"USA - Oklahoma","Ouachita National Forest",1291,393,1289,-95.7105,34.7075,-95.71050,34.70750,1,0,01/12/2012,31/12/2099,0,,
W5O/OU-029,"USA - Oklahoma","Ouachita National Forest","Round Mountain",393,1289,-94.9516,34.8574,-94.95160,34.85740,1,0,01/12/2012,31/12/2099,0,,
W5O/OU-030,"USA - Oklahoma","Ouachita National Forest","Pine Mountain",388,1273,-95.918,34.6319,-95.91800,34.63190,1,0,01/12/2012,31/12/2099,1,23/03/2026,KC3GOP
W5O/OU-031,"USA - Oklahoma","Ouachita National Forest","Harvey Mountain",381,1250,-94.8619,34.7134,-94.86190,34.71340,1,0,01/12/2012,31/12/2099,0,,
W5O/OU-032,"USA - Oklahoma","Ouachita National Forest",1130,344,1129,-95.773,34.5053,-95.77300,34.50530,1,0,01/12/2012,31/12/2099,0,,
W5O/OU-033,"USA - Oklahoma","Ouachita National Forest","Round Mountain",324,1063,-94.5822,34.9318,-94.58220,34.93180,1,0,01/12/2012,31/12/2099,2,27/09/2014,AE5KA
W5O/OU-034,"USA - Oklahoma","Ouachita National Forest","Chimney Hill",410,1345,-96.757,34.6818,-96.75700,34.68180,1,0,01/12/2012,31/12/2099,18,03/05/2026,NM5S
W5O/QA-001,"USA - Oklahoma","Quartz Mountains SP","King Mountain",734,2411,-99.2937,34.8709,-99.29370,34.87090,8,0,01/07/2010,31/12/2099,8,13/07/2024,KE8HVW
W5O/QA-002,"USA - Oklahoma","Quartz Mountains SP","Soldiers Peak",728,2391,-99.2384,34.8462,-99.23840,34.84620,8,0,01/07/2010,31/12/2099,1,03/08/2024,KE8HVW
W5O/QA-003,"USA - Oklahoma","Quartz Mountains SP","Walsh Mountain",701,2303,-99.4105,34.9765,-99.41050,34.97650,8,0,01/07/2010,31/12/2099,3,13/10/2021,NM5S
W5O/QA-004,"USA - Oklahoma","Quartz Mountains SP","Tepee Mountain",688,2259,-99.2048,34.8778,-99.20480,34.87780,8,0,01/07/2010,31/12/2099,0,,
W5O/QA-005,"USA - Oklahoma","Quartz Mountains SP","Flat Top Mountain",672,2205,-99.2572,34.8502,-99.25720,34.85020,6,0,01/07/2010,31/12/2099,0,,
