SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
W5T/BG-001,"USA - Texas","Bullis Gap Mountains","River Benchmark",1200,3938,-102.8357,29.6336,-102.83570,29.63360,2,3,01/07/2010,31/12/2099,0,,
W5T/BG-002,"USA - Texas","Bullis Gap Mountains","Dove Mountain",1156,3792,-102.8469,29.7542,-102.84690,29.75420,2,3,01/07/2010,31/12/2099,0,,
W5T/BG-003,"USA - Texas","Bullis Gap Mountains","Stillwell Mountain",1114,3654,-102.9494,29.6323,-102.94940,29.63230,2,3,01/07/2010,31/12/2099,0,,
W5T/BG-004,"USA - Texas","Bullis Gap Mountains","Black Mountain",1110,3642,-102.8553,29.7286,-102.85530,29.72860,2,3,01/07/2010,31/12/2099,0,,
W5T/BG-005,"USA - Texas","Bullis Gap Mountains",3489,1063,3489,-102.9648,29.6118,-102.96480,29.61180,1,3,01/07/2010,31/12/2099,0,,
W5T/BG-006,"USA - Texas","Bullis Gap Mountains",3340,1018,3340,-102.73,29.6798,-102.73000,29.67980,1,3,01/07/2010,31/12/2099,0,,
W5T/BG-007,"USA - Texas","Bullis Gap Mountains",3260,994,3260,-102.7633,29.6876,-102.76330,29.68760,1,3,01/07/2010,31/12/2099,0,,
W5T/BG-008,"USA - Texas","Bullis Gap Mountains",3260,994,3260,-102.8121,29.5883,-102.81210,29.58830,1,3,01/07/2010,31/12/2099,0,,
W5T/BG-009,"USA - Texas","Bullis Gap Mountains",3245,989,3245,-102.8192,29.5942,-102.81920,29.59420,1,3,01/07/2010,31/12/2099,0,,
W5T/BG-010,"USA - Texas","Bullis Gap Mountains",3030,924,3030,-102.8031,29.5731,-102.80310,29.57310,1,3,01/07/2010,31/12/2099,0,,
W5T/BG-011,"USA - Texas","Bullis Gap Mountains",3002,915,3002,-102.8497,29.6156,-102.84970,29.61560,1,3,01/07/2010,31/12/2099,0,,
W5T/BG-012,"USA - Texas","Bullis Gap Mountains","Loma de las Palmas",896,2940,-102.5469,29.753,-102.54690,29.75300,1,3,01/07/2010,31/12/2099,0,,
W5T/BG-013,"USA - Texas","Bullis Gap Mountains",2699,823,2699,-102.8868,29.5789,-102.88680,29.57890,1,3,01/07/2010,31/12/2099,0,,
W5T/BG-014,"USA - Texas","Bullis Gap Mountains",3348,1020,3348,-102.7301,29.8229,-102.73010,29.82290,1,3,01/02/2022,31/12/2099,0,,
W5T/BO-001,"USA - Texas","Bofecillos Mountains","Fresno Peak",1567,5140,-103.8374,29.4272,-103.83740,29.42720,6,3,01/07/2010,31/12/2099,0,,
W5T/BO-002,"USA - Texas","Bofecillos Mountains","Oso Mountain",1565,5135,-104.017,29.4495,-104.01700,29.44950,6,3,01/07/2010,31/12/2099,2,23/03/2024,WA6HBR
W5T/BO-003,"USA - Texas","Bofecillos Mountains","Blue Range HP",1542,5060,-103.7531,29.4444,-103.75310,29.44440,4,3,01/07/2010,31/12/2099,0,,
W5T/BO-004,"USA - Texas","Bofecillos Mountains","La Mota Mountain",1537,5044,-103.9824,29.5277,-103.98240,29.52770,4,3,01/07/2010,31/12/2099,2,13/11/2022,KF5DPX
W5T/BO-005,"USA - Texas","Bofecillos Mountains",5017,1529,5017,-103.774,29.4487,-103.77400,29.44870,4,3,01/07/2010,31/12/2099,2,12/01/2024,KG5DRT
W5T/BO-006,"USA - Texas","Bofecillos Mountains","Bofecillos Peak",1525,5002,-104.0922,29.4711,-104.09220,29.47110,4,3,01/07/2010,31/12/2099,0,,
W5T/BO-007,"USA - Texas","Bofecillos Mountains",4982,1519,4982,-104.0712,29.4985,-104.07120,29.49850,4,3,01/07/2010,31/12/2099,0,,
W5T/BO-008,"USA - Texas","Bofecillos Mountains","Panther Benchmark",1518,4980,-104.0086,29.3877,-104.00860,29.38770,4,3,01/07/2010,31/12/2099,1,27/11/2019,KF5YSH
W5T/BO-009,"USA - Texas","Bofecillos Mountains",4962,1512,4962,-104.0505,29.4475,-104.05050,29.44750,4,3,01/07/2010,31/12/2099,2,07/03/2024,KI5RXT
W5T/BO-010,"USA - Texas","Bofecillos Mountains",4900,1494,4900,-103.9389,29.3806,-103.93890,29.38060,4,3,01/07/2010,31/12/2099,1,12/03/2018,KF5YSH
W5T/BO-011,"USA - Texas","Bofecillos Mountains",4824,1470,4824,-104.0394,29.5152,-104.03940,29.51520,4,3,01/07/2010,31/12/2099,0,,
W5T/BO-012,"USA - Texas","Bofecillos Mountains",4705,1434,4705,-104.0966,29.4554,-104.09660,29.45540,4,3,01/07/2010,31/12/2099,0,,
W5T/BO-013,"USA - Texas","Bofecillos Mountains",4660,1420,4660,-104.0896,29.4145,-104.08960,29.41450,4,3,01/07/2010,31/12/2099,0,,
W5T/BO-014,"USA - Texas","Bofecillos Mountains",4530,1381,4530,-104.1008,29.4467,-104.10080,29.44670,4,3,01/07/2010,31/12/2099,0,,
W5T/BO-015,"USA - Texas","Bofecillos Mountains","Madril Benchmark",1372,4500,-103.9007,29.3385,-103.90070,29.33850,4,3,01/07/2010,31/12/2099,0,,
W5T/BO-016,"USA - Texas","Bofecillos Mountains",4012,1223,4012,-103.8378,29.3953,-103.83780,29.39530,2,3,01/07/2010,31/12/2099,0,,
W5T/BO-017,"USA - Texas","Bofecillos Mountains",3989,1216,3989,-103.8547,29.4016,-103.85470,29.40160,2,3,01/07/2010,31/12/2099,1,13/03/2017,KF5YSH
W5T/BO-018,"USA - Texas","Bofecillos Mountains","Santana Mesa",1196,3925,-103.936,29.3018,-103.93600,29.30180,2,3,01/07/2010,31/12/2099,0,,
W5T/BO-019,"USA - Texas","Bofecillos Mountains","Lajitas Mesa",1119,3672,-103.7888,29.2933,-103.78880,29.29330,2,3,01/07/2010,31/12/2099,1,26/12/2017,N9XG
W5T/BO-020,"USA - Texas","Bofecillos Mountains",3465,1056,3465,-103.9958,29.3096,-103.99580,29.30960,1,3,01/07/2010,31/12/2099,1,03/04/2024,KG5DRT
W5T/CE-001,"USA - Texas","Cienega Mountains","Whirlwind Mesa",1704,5590,-103.7725,30.0017,-103.77250,30.00170,6,3,01/07/2010,31/12/2099,0,,
W5T/CE-002,"USA - Texas","Cienega Mountains","Housetop Mountain",1625,5333,-103.8431,29.9852,-103.84310,29.98520,6,3,01/07/2010,31/12/2099,0,,
W5T/CE-003,"USA - Texas","Cienega Mountains","Hat Mountain",1611,5286,-103.8478,29.9755,-103.84780,29.97550,6,3,01/07/2010,31/12/2099,0,,
W5T/CE-004,"USA - Texas","Cienega Mountains","Cienega Mountains HP",1592,5223,-104.1614,29.768,-104.16140,29.76800,6,3,01/07/2010,31/12/2099,0,,
W5T/CE-005,"USA - Texas","Cienega Mountains","Tascotal Mesa",1581,5188,-103.8605,29.6048,-103.86050,29.60480,6,3,01/07/2010,31/12/2099,0,,
W5T/CE-006,"USA - Texas","Cienega Mountains","Cartwright Mesa",1579,5180,-103.8634,29.9123,-103.86340,29.91230,6,3,01/07/2010,31/12/2099,0,,
W5T/CE-007,"USA - Texas","Cienega Mountains",5140,1567,5140,-103.8874,29.6463,-103.88740,29.64630,6,3,01/07/2010,31/12/2099,0,,
W5T/CE-008,"USA - Texas","Cienega Mountains","East Horseshoe Mountains",1565,5135,-103.8954,29.6771,-103.89540,29.67710,6,3,01/07/2010,31/12/2099,0,,
W5T/CE-009,"USA - Texas","Cienega Mountains","San Jacinto Mountain",1549,5082,-103.955,29.754,-103.95500,29.75400,4,3,01/07/2010,31/12/2099,0,,
W5T/CE-010,"USA - Texas","Cienega Mountains","McKinney Mountain",1530,5020,-103.7899,29.8335,-103.78990,29.83350,4,3,01/07/2010,31/12/2099,0,,
W5T/CE-011,"USA - Texas","Cienega Mountains","Turney Peak",1494,4900,-103.7809,29.8556,-103.78090,29.85560,4,3,01/07/2010,31/12/2099,0,,
W5T/CE-012,"USA - Texas","Cienega Mountains","West Horseshoe Mountains",1477,4846,-103.9164,29.6722,-103.91640,29.67220,4,3,01/07/2010,31/12/2099,0,,
W5T/CE-013,"USA - Texas","Cienega Mountains","Bandera Mesa",1474,4836,-103.7732,29.6249,-103.77320,29.62490,4,3,01/07/2010,31/12/2099,0,,
W5T/CE-014,"USA - Texas","Cienega Mountains","Cerro Boludo",1447,4749,-103.9527,29.7971,-103.95270,29.79710,4,3,01/07/2010,31/12/2099,0,,
W5T/CE-015,"USA - Texas","Cienega Mountains","Needle Peak",1300,4265,-103.8363,29.7199,-103.83630,29.71990,2,3,01/07/2010,31/12/2099,0,,
W5T/CE-016,"USA - Texas","Cienega Mountains","La Viuda",1250,4101,-103.9832,29.7184,-103.98320,29.71840,2,3,01/07/2010,31/12/2099,0,,
