SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
W6/CC-001,"USA - California","Coastal Ranges","Mount Eddy",2751,9025,-122.4792,41.3197,-122.47920,41.31970,8,0,01/07/2009,31/12/2099,9,10/11/2025,AG7GP
W6/CC-002,"USA - California","Coastal Ranges","Mount Pinos",2692,8831,-119.1455,34.8128,-119.14550,34.81280,8,0,01/07/2009,31/12/2099,228,19/03/2026,KN6CQX
W6/CC-003,"USA - California","Coastal Ranges","Frazier Mountain",2442,8013,-118.9692,34.7749,-118.96920,34.77490,8,0,01/07/2009,31/12/2099,190,24/05/2026,NA6MG
W6/CC-004,"USA - California","Coastal Ranges","North Yolla Bolly",2397,7864,-122.9737,40.1961,-122.97370,40.19610,8,0,01/07/2009,31/12/2099,2,02/10/2018,W1EJ
W6/CC-005,"USA - California","Coastal Ranges","Reyes Peak",2290,7514,-119.2815,34.6308,-119.28150,34.63080,8,0,01/07/2009,31/12/2099,46,18/05/2026,N6JFD/P
W6/CC-006,"USA - California","Coastal Ranges","Black Butte",2270,7448,-122.8725,39.7268,-122.87250,39.72680,6,0,01/07/2009,31/12/2099,11,05/10/2023,W1EJ
W6/CC-007,"USA - California","Coastal Ranges","Black Marble Mountain",2268,7442,-123.2042,41.5778,-123.20420,41.57780,6,0,01/07/2009,31/12/2099,0,,
W6/CC-008,"USA - California","Coastal Ranges","Alamo Mountain",2249,7380,-118.9595,34.6667,-118.95950,34.66670,6,0,01/07/2009,31/12/2099,13,03/11/2024,AJ6KZ
W6/CC-009,"USA - California","Coastal Ranges","Bully Choop Mountain",2126,6974,-122.7671,40.5552,-122.76710,40.55520,6,0,01/07/2009,31/12/2099,2,28/06/2025,KN2Q
W6/CC-010,"USA - California","Coastal Ranges","Anthony Peak",2120,6954,-122.9645,39.8463,-122.96450,39.84630,6,0,01/07/2009,31/12/2099,20,31/08/2025,KD6FIL
W6/CC-011,"USA - California","Coastal Ranges","Hull Mountain",2095,6873,-122.9368,39.5219,-122.93680,39.52190,6,0,01/07/2009,31/12/2099,19,01/11/2025,K6EXB
W6/CC-012,"USA - California","Coastal Ranges","Big Pine Mountain",2081,6828,-119.6543,34.6973,-119.65430,34.69730,6,0,01/07/2009,31/12/2099,1,17/12/2024,KK6WT
W6/CC-013,"USA - California","Coastal Ranges","Ball Rock",2031,6663,-122.7383,39.9666,-122.73830,39.96660,6,0,01/07/2009,31/12/2099,2,02/08/2020,N6DNM
W6/CC-014,"USA - California","Coastal Ranges","Cuyamaca Peak",1985,6512,-116.6066,32.9467,-116.60660,32.94670,6,0,01/07/2009,31/12/2099,132,26/05/2026,AJ6CL
W6/CC-015,"USA - California","Coastal Ranges","Hayfork Bally",1912,6273,-123.2192,40.6588,-123.21920,40.65880,6,0,01/07/2009,31/12/2099,2,30/06/2024,AK6HM
W6/CC-016,"USA - California","Coastal Ranges",Kneecap,1811,5940,-122.8044,39.5722,-122.80440,39.57220,6,0,01/07/2009,31/12/2099,3,17/07/2020,WC6J
W6/CC-017,"USA - California","Coastal Ranges","Black Lassic",1803,5916,-123.5411,40.3401,-123.54110,40.34010,6,0,01/07/2009,31/12/2099,4,17/08/2019,W1EJ
W6/CC-018,"USA - California","Coastal Ranges","Cuyama Peak",1792,5878,-119.4752,34.7541,-119.47520,34.75410,6,0,01/07/2009,31/12/2099,5,25/09/2025,K6CPR
W6/CC-019,"USA - California","Coastal Ranges","Tedoc Mountain",1614,5295,-122.8962,40.2477,-122.89620,40.24770,4,0,01/07/2009,31/12/2099,0,,
W6/CC-020,"USA - California","Coastal Ranges","Pinyon Peak",1604,5264,-121.3812,36.1686,-121.38120,36.16860,4,0,01/07/2009,31/12/2099,0,,
W6/CC-021,"USA - California","Coastal Ranges","San Benito Mountain",1597,5241,-120.6446,36.3697,-120.64460,36.36970,4,0,01/07/2009,31/12/2099,5,29/11/2020,AA6XA
W6/CC-022,"USA - California","Coastal Ranges","Santa Rita Peak",1574,5164,-120.6019,36.3468,-120.60190,36.34680,4,0,01/07/2009,31/12/2099,6,29/11/2020,AA6XA
W6/CC-023,"USA - California","Coastal Ranges","Cone Peak",1571,5155,-121.4963,36.0519,-121.49630,36.05190,4,0,01/07/2009,31/12/2099,5,16/01/2022,KI6SYD
W6/CC-024,"USA - California","Coastal Ranges","Badger Mountain",1530,5019,-122.6380,41.7999,-122.63800,41.79990,4,0,01/07/2009,31/12/2099,15,17/03/2026,WJ7V
W6/CC-025,"USA - California","Coastal Ranges","Guatay Mountain",1489,4885,-116.5744,32.8437,-116.57440,32.84370,4,0,01/07/2009,31/12/2099,38,01/02/2025,N6KM
W6/CC-026,"USA - California","Coastal Ranges","Corte Madera Mountain",1419,4657,-116.5911,32.7576,-116.59110,32.75760,4,0,01/07/2009,31/12/2099,46,03/03/2026,W6TED
W6/CC-027,"USA - California","Coastal Ranges","Ukonom Mountain",1396,4581,-123.4759,41.5841,-123.47590,41.58410,4,0,01/07/2009,31/12/2099,0,,
W6/CC-028,"USA - California","Coastal Ranges","Figueroa Mountain",1380,4528,-119.9850,34.7434,-119.98500,34.74340,4,0,01/07/2009,31/12/2099,25,27/10/2024,AJ6CL
W6/CC-029,"USA - California","Coastal Ranges","Laguna Mountain",1375,4512,-120.8094,36.3391,-120.80940,36.33910,4,0,01/07/2009,31/12/2099,3,17/05/2020,AA6XA
W6/CC-030,"USA - California","Coastal Ranges","Nordhoff Peak",1367,4485,-119.2422,34.4984,-119.24220,34.49840,4,0,01/07/2009,31/12/2099,10,31/10/2025,AJ6CL
W6/CC-031,"USA - California","Coastal Ranges","Iron Peak",1367,4485,-123.4813,39.8085,-123.48130,39.80850,4,0,01/07/2009,31/12/2099,0,,
W6/CC-032,"USA - California","Coastal Ranges","Palo Escrito Peak",1362,4467,-121.4924,36.4050,-121.49240,36.40500,4,0,01/07/2009,01/05/2016,0,,
W6/CC-033,"USA - California","Coastal Ranges","Bohemotash Mountain",1359,4460,-122.4740,40.7847,-122.47400,40.78470,4,0,01/07/2009,31/12/2099,5,14/10/2023,KE6MT
W6/CC-034,"USA - California","Coastal Ranges","Plummer Peak",1345,4412,-123.2000,40.4929,-123.20000,40.49290,4,0,01/07/2009,31/12/2099,1,15/08/2018,W6PZA
W6/CC-035,"USA - California","Coastal Ranges","Mount Konocti",1310,4299,-122.7658,38.9746,-122.76580,38.97460,4,0,01/07/2009,31/12/2099,31,06/02/2026,N6RUN
W6/CC-036,"USA - California","Coastal Ranges","Santa Ynez Peak",1310,4298,-119.9785,34.5269,-119.97850,34.52690,4,0,01/07/2009,31/12/2099,27,14/03/2026,KG6MZS
W6/CC-037,"USA - California","Coastal Ranges","Ell Peak",1311,4300,-121.4349,36.3646,-121.43490,36.36460,4,0,01/07/2009,31/12/2099,0,,
W6/CC-038,"USA - California","Coastal Ranges","Cahto Peak",1290,4233,-123.5795,39.6866,-123.57950,39.68660,4,0,01/07/2009,31/12/2099,7,25/11/2025,W1EJ
W6/CC-039,"USA - California","Coastal Ranges","Viejas Mountain",1276,4187,-116.7261,32.8612,-116.72610,32.86120,4,0,01/07/2009,31/12/2099,84,10/03/2026,KE6SRO
W6/CC-040,"USA - California","Coastal Ranges","Kettenpom Peak",1246,4089,-123.4698,40.1454,-123.46980,40.14540,4,0,01/07/2009,31/12/2099,0,,
W6/CC-041,"USA - California","Coastal Ranges","King Peak",1246,4088,-124.1243,40.1567,-124.12430,40.15670,4,0,01/07/2009,31/12/2099,6,16/08/2019,W1EJ
W6/CC-042,"USA - California","Coastal Ranges","Flag Peak",1209,3966,-120.5311,36.1782,-120.53110,36.17820,2,0,01/07/2009,31/12/2099,1,03/02/2026,KK6WT
W6/CC-043,"USA - California","Coastal Ranges","Pratt Mountain",1186,3892,-123.6929,40.1200,-123.69290,40.12000,2,0,01/07/2009,31/12/2099,1,05/04/2025,KO6GFR
W6/CC-044,"USA - California","Coastal Ranges","Tecate Peak",1184,3885,-116.6889,32.5795,-116.68890,32.57950,2,0,01/07/2009,31/12/2099,7,02/06/2023,KX6I
W6/CC-045,"USA - California","Coastal Ranges","Mount Diablo",1173,3849,-121.9142,37.8817,-121.91420,37.88170,2,0,01/07/2009,31/12/2099,260,05/05/2026,N6SVA
W6/CC-046,"USA - California","Coastal Ranges","Loma Prieta",1154,3786,-121.8441,37.1110,-121.84410,37.11100,2,0,01/07/2009,31/12/2099,10,14/07/2023,KG6YJ
W6/CC-047,"USA - California","Coastal Ranges","Boggs Mountain",1140,3740,-122.6822,38.8152,-122.68220,38.81520,2,0,01/07/2009,31/12/2099,9,15/01/2026,W1EJ
W6/CC-048,"USA - California","Coastal Ranges","Arbuckle Mountain",1132,3713,-122.8670,40.4000,-122.86700,40.40000,2,0,01/07/2009,31/12/2099,0,,
W6/CC-049,"USA - California","Coastal Ranges","Cold Spring Mountain",1093,3587,-122.4891,39.0977,-122.48910,39.09770,2,0,01/07/2009,31/12/2099,14,11/05/2023,AA0BV
W6/CC-050,"USA - California","Coastal Ranges","Shelton Butte",1088,3568,-123.6326,41.2382,-123.63260,41.23820,2,0,01/07/2009,31/12/2099,0,,
W6/CC-051,"USA - California","Coastal Ranges","North Peak",1084,3557,-121.9003,37.8930,-121.90030,37.89300,2,0,01/07/2009,31/12/2099,100,16/03/2026,KT6Y
W6/CC-052,"USA - California","Coastal Ranges","Mount Umunhum",1063,3486,-121.8986,37.1605,-121.89860,37.16050,2,0,01/07/2009,31/12/2099,174,08/05/2026,KN6CQX
W6/CC-053,"USA - California","Coastal Ranges","Mariposa Peak",1051,3448,-121.2117,36.9572,-121.21170,36.95720,2,0,01/07/2009,31/12/2099,0,,
W6/CC-054,"USA - California","Coastal Ranges","Mount Pierce",971,3185,-124.1205,40.4172,-124.12050,40.41720,2,0,01/07/2009,31/12/2099,0,,
W6/CC-055,"USA - California","Coastal Ranges","Fremont Peak",966,3170,-121.5040,36.7573,-121.50400,36.75730,2,0,01/07/2009,31/12/2099,58,16/03/2026,K6KM
W6/CC-056,"USA - California","Coastal Ranges","Sandstone Peak",948,3111,-118.9320,34.1204,-118.93200,34.12040,2,0,01/07/2009,31/12/2099,82,24/04/2026,AG6N
W6/CC-057,"USA - California","Coastal Ranges","Castro Peak",861,2824,-118.7857,34.0857,-118.78570,34.08570,2,0,01/07/2009,31/12/2099,5,09/05/2025,KK6WT
W6/CC-058,"USA - California","Coastal Ranges","Rodgers Peak",850,2790,-124.0287,41.1615,-124.02870,41.16150,2,0,01/07/2009,31/12/2099,0,,
W6/CC-059,"USA - California","Coastal Ranges","Pacheco Peak",844,2770,-121.2877,37.0079,-121.28770,37.00790,2,0,01/07/2009,31/12/2099,0,,
W6/CC-060,"USA - California","Coastal Ranges","Bald Mountain",832,2729,-122.5094,38.4574,-122.50940,38.45740,2,0,01/07/2009,31/12/2099,36,09/03/2026,KC6X
W6/CC-061,"USA - California","Coastal Ranges","Mount Mars",815,2674,-121.3407,35.8126,-121.34070,35.81260,2,0,01/07/2009,31/12/2099,1,29/02/2020,N6WT
W6/CC-062,"USA - California","Coastal Ranges","Santa Rosalia Mountain",801,2629,-121.8559,37.0724,-121.85590,37.07240,2,0,01/07/2009,31/12/2099,63,13/02/2026,AC6M
W6/CC-063,"USA - California","Coastal Ranges","Mount Tamalpais",786,2580,-122.5970,37.9240,-122.59700,37.92400,2,0,01/07/2009,31/12/2099,154,24/05/2026,K6TOR
W6/CC-064,"USA - California","Coastal Ranges","San Miguel Mountain",782,2565,-116.9363,32.6964,-116.93630,32.69640,2,0,01/07/2009,31/12/2099,10,14/11/2024,KK7TYO
W6/CC-065,"USA - California","Coastal Ranges","Rincon Mountain",659,2161,-119.4212,34.3723,-119.42120,34.37230,1,0,01/07/2009,31/12/2099,0,,
W6/CC-066,"USA - California","Coastal Ranges","Mount Orizaba",648,2125,-118.4197,33.3753,-118.41970,33.37530,1,0,01/07/2009,31/12/2099,10,14/02/2026,KK7SDH
W6/CC-067,"USA - California","Coastal Ranges","Oyster Point",642,2106,-121.8777,37.8305,-121.87770,37.83050,1,0,01/07/2009,31/07/2012,0,,
W6/CC-068,"USA - California","Coastal Ranges","Silver Peak",550,1804,-118.5687,33.4599,-118.56870,33.45990,1,0,01/07/2009,31/12/2099,8,02/11/2023,WO6JO
W6/CC-069,"USA - California","Coastal Ranges","San Onofre Mountain",526,1725,-117.4951,33.3641,-117.49510,33.36410,1,0,01/07/2009,31/12/2099,3,01/08/2020,W6BJB
W6/CC-070,"USA - California","Coastal Ranges","Barnabe Mountain",447,1466,-122.7165,38.0277,-122.71650,38.02770,1,0,01/07/2009,31/12/2099,19,14/03/2026,KC8YEK
W6/CC-071,"USA - California","Coastal Ranges","Point Reyes Hill",407,1336,-122.8686,38.0797,-122.86860,38.07970,1,0,01/07/2009,31/12/2099,74,24/05/2026,KO6MFO
W6/CC-072,"USA - California","Coastal Ranges","San Bruno Mountain",401,1314,-122.4357,37.6874,-122.43570,37.68740,1,0,01/07/2009,31/12/2099,210,26/04/2026,KE6X
W6/CC-073,"USA - California","Coastal Ranges","South Orland Buttes",316,1038,-122.3328,39.7527,-122.33280,39.75270,1,0,01/07/2009,31/12/2099,0,,
