SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
W7A/AE-001,"USA - Arizona","AZ-Eastern Arizona","Humphreys Peak",3851,12633,-111.6779,35.3464,-111.67790,35.34640,10,3,01/08/2010,31/12/2099,33,03/05/2026,K1SON
W7A/AE-002,"USA - Arizona","AZ-Eastern Arizona","Agassiz Peak",3767,12356,-111.6776,35.3259,-111.67760,35.32590,10,3,01/08/2010,31/12/2099,0,,
W7A/AE-003,"USA - Arizona","AZ-Eastern Arizona","Doyle Peak",3494,11460,-111.6459,35.3302,-111.64590,35.33020,10,3,01/08/2010,31/12/2099,4,12/09/2024,K1SON
W7A/AE-004,"USA - Arizona","AZ-Eastern Arizona","Mount Baldy",3482,11420,-109.5649,33.9110,-109.56490,33.91100,10,3,01/08/2010,31/12/2099,13,24/09/2025,AA7OY
W7A/AE-005,"USA - Arizona","AZ-Eastern Arizona","Mount Ord",3462,11357,-109.6049,33.9376,-109.60490,33.93760,10,3,01/08/2010,31/12/2099,0,,
W7A/AE-006,"USA - Arizona","AZ-Eastern Arizona","Escudilla Mountain",3326,10912,-109.1251,33.9553,-109.12510,33.95530,10,3,01/08/2010,31/12/2099,21,27/04/2026,KT7N
W7A/AE-007,"USA - Arizona","AZ-Eastern Arizona","Mount Graham",3268,10720,-109.8715,32.7017,-109.87150,32.70170,10,3,01/08/2010,31/12/2099,0,,
W7A/AE-008,"USA - Arizona","AZ-Eastern Arizona","Kendrick Peak",3176,10418,-111.8511,35.4080,-111.85110,35.40800,10,3,01/08/2010,31/12/2099,20,11/07/2025,K1SON
W7A/AE-009,"USA - Arizona","AZ-Eastern Arizona","Greens Peak",3089,10133,-109.5745,34.1118,-109.57450,34.11180,10,3,01/08/2010,31/12/2099,149,02/04/2026,W8JH
W7A/AE-010,"USA - Arizona","AZ-Eastern Arizona","Webb Peak",3058,10030,-109.9228,32.7116,-109.92280,32.71160,10,3,01/08/2010,31/12/2099,44,11/11/2025,KF7LIL
W7A/AE-011,"USA - Arizona","AZ-Eastern Arizona","Heliograph Peak",3055,10022,-109.8492,32.6501,-109.84920,32.65010,10,3,01/08/2010,31/12/2099,60,28/02/2026,K9PM/P
W7A/AE-012,"USA - Arizona","AZ-Eastern Arizona","Chiricahua Peak",2975,9759,-109.2910,31.8457,-109.29100,31.84570,10,3,01/08/2010,31/12/2099,15,30/06/2024,W7OTD
