SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
W7I/BC-001,"USA - Idaho","ID - Boise County","Mount Cramer",3266,10716,-114.9826,44.0112,-114.98260,44.01120,8,3,01/10/2010,31/12/2099,1,30/07/2025,WN2G
W7I/BC-002,"USA - Idaho","ID - Boise County","Elk Peak",3225,10582,-115.0372,44.0244,-115.03720,44.02440,8,3,01/10/2010,31/12/2099,0,,
W7I/BC-003,"USA - Idaho","ID - Boise County","Braxon Peak",3156,10353,-114.9969,44.0934,-114.99690,44.09340,8,3,01/10/2010,31/12/2099,0,,
W7I/BC-004,"USA - Idaho","ID - Boise County",10330,3149,10330,-115.0502,44.1301,-115.05020,44.13010,8,3,01/10/2010,31/12/2099,0,,
W7I/BC-005,"USA - Idaho","ID - Boise County","Baron Peak",3139,10297,-115.0462,44.1237,-115.04620,44.12370,8,3,01/10/2010,31/12/2099,0,,
W7I/BC-006,"USA - Idaho","ID - Boise County","Packrat Peak",3127,10260,-115.0434,44.0586,-115.04340,44.05860,8,3,01/10/2010,31/12/2099,0,,
W7I/BC-007,"USA - Idaho","ID - Boise County","Warbonnet Peak",3115,10220,-115.0538,44.079,-115.05380,44.07900,8,3,01/10/2010,31/12/2099,0,,
W7I/BC-008,"USA - Idaho","ID - Boise County","Mount Regan",3106,10190,-115.0615,44.1597,-115.06150,44.15970,8,3,01/10/2010,31/12/2099,1,24/07/2022,KG7KKE
W7I/BC-009,"USA - Idaho","ID - Boise County","Monte Verita",3091,10140,-115.043,44.0708,-115.04300,44.07080,8,3,01/10/2010,31/12/2099,0,,
W7I/BC-010,"USA - Idaho","ID - Boise County",10060,3066,10060,-115.0177,44.0127,-115.01770,44.01270,8,3,01/10/2010,31/12/2099,0,,
W7I/BC-011,"USA - Idaho","ID - Boise County","Glens Peak",3064,10053,-115.0116,43.9499,-115.01160,43.94990,8,3,01/10/2010,31/12/2099,0,,
W7I/BC-012,"USA - Idaho","ID - Boise County","Tohobit Peak",3062,10046,-115.0675,44.0916,-115.06750,44.09160,8,3,01/10/2010,31/12/2099,0,,
W7I/BC-013,"USA - Idaho","ID - Boise County",9980,3042,9980,-115.0024,44.0842,-115.00240,44.08420,8,3,01/10/2010,31/12/2099,0,,
W7I/BC-014,"USA - Idaho","ID - Boise County","La Fiamma",3042,9980,-115.0524,44.0556,-115.05240,44.05560,8,3,01/10/2010,31/12/2099,0,,
W7I/BC-015,"USA - Idaho","ID - Boise County","Plummer Peak",3041,9978,-115.0763,43.9459,-115.07630,43.94590,8,3,01/10/2010,31/12/2099,0,,
W7I/BC-016,"USA - Idaho","ID - Boise County","North Raker",3039,9970,-115.1056,43.9955,-115.10560,43.99550,8,3,01/10/2010,31/12/2099,0,,
