SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
W7U/BE-001,"USA - Utah","Beaver County","Circleville Mountain",3454,11331,-112.4022,38.1966,-112.40220,38.19660,10,3,01/05/2013,31/12/2099,1,01/09/2014,NR7T
W7U/BE-002,"USA - Utah","Beaver County","City Creek Peak",3402,11161,-112.3389,38.3116,-112.33890,38.31160,10,3,01/05/2013,31/12/2099,1,21/07/2018,AC0PR
W7U/BE-003,"USA - Utah","Beaver County","Birch Creek Mountain",3271,10733,-112.4544,38.2190,-112.45440,38.21900,10,3,01/05/2013,31/12/2099,0,,
W7U/BE-004,"USA - Utah","Beaver County",10010,3051,10010,-112.5101,38.4894,-112.51010,38.48940,8,3,01/05/2013,31/12/2099,0,,
W7U/BE-005,"USA - Utah","Beaver County",9930,3027,9930,-112.5222,38.5192,-112.52220,38.51920,8,3,01/05/2013,31/12/2099,0,,
W7U/BE-006,"USA - Utah","Beaver County","Little Shelly",3018,9900,-112.4962,38.4409,-112.49620,38.44090,8,3,01/05/2013,31/12/2099,0,,
W7U/BE-007,"USA - Utah","Beaver County","Indian Peak",2984,9790,-113.8754,38.2670,-113.87540,38.26700,8,3,01/05/2013,31/12/2099,0,,
W7U/BE-008,"USA - Utah","Beaver County","Mineral Mountains HP",2921,9582,-112.8157,38.3842,-112.81570,38.38420,8,3,01/05/2013,31/12/2099,0,,
W7U/BE-009,"USA - Utah","Beaver County",9576,2919,9576,-113.8584,38.1796,-113.85840,38.17960,8,3,01/05/2013,31/12/2099,0,,
W7U/BE-010,"USA - Utah","Beaver County","Mountain Home Range HP",2890,9480,-113.9579,38.4899,-113.95790,38.48990,8,3,01/05/2013,31/12/2099,0,,
W7U/BE-011,"USA - Utah","Beaver County","Pole Mountain",2875,9433,-112.5330,38.4011,-112.53300,38.40110,8,3,01/05/2013,31/12/2099,0,,
W7U/BE-012,"USA - Utah","Beaver County","Wah Wah Mountains HP",2863,9393,-113.5866,38.3541,-113.58660,38.35410,8,3,01/05/2013,31/12/2099,0,,
W7U/BE-013,"USA - Utah","Beaver County",9180,2798,9180,-112.8212,38.3572,-112.82120,38.35720,8,3,01/05/2013,31/12/2099,0,,
W7U/BE-014,"USA - Utah","Beaver County",9135,2784,9135,-113.6293,38.3048,-113.62930,38.30480,8,3,01/05/2013,31/12/2099,0,,
W7U/BE-015,"USA - Utah","Beaver County","Bearskin Mountain",2773,9099,-112.7811,38.4550,-112.78110,38.45500,8,3,01/05/2013,31/12/2099,0,,
W7U/BE-016,"USA - Utah","Beaver County",9074,2766,9074,-113.8665,38.2244,-113.86650,38.22440,8,3,01/05/2013,31/12/2099,0,,
W7U/BE-017,"USA - Utah","Beaver County","North Wah Wah Mountains HP",2737,8980,-113.5481,38.5476,-113.54810,38.54760,6,3,01/05/2013,31/12/2099,0,,
W7U/BE-018,"USA - Utah","Beaver County",8829,2691,8829,-112.8747,38.3198,-112.87470,38.31980,6,3,01/05/2013,31/12/2099,0,,
W7U/BE-019,"USA - Utah","Beaver County",8820,2688,8820,-113.5653,38.4150,-113.56530,38.41500,6,3,01/05/2013,31/12/2099,0,,
W7U/BE-020,"USA - Utah","Beaver County",8745,2665,8745,-113.5545,38.4662,-113.55450,38.46620,6,3,01/05/2013,31/12/2099,0,,
W7U/BE-021,"USA - Utah","Beaver County",8660,2640,8660,-113.9840,38.5727,-113.98400,38.57270,6,3,01/05/2013,31/12/2099,0,,
W7U/BE-022,"USA - Utah","Beaver County",8561,2609,8561,-113.6221,38.3509,-113.62210,38.35090,6,3,01/05/2013,31/12/2099,0,,
W7U/BE-023,"USA - Utah","Beaver County","Blawn Mountain",2571,8434,-113.5829,38.2636,-113.58290,38.26360,6,3,01/05/2013,31/12/2099,0,,
W7U/BE-024,"USA - Utah","Beaver County",8229,2508,8229,-113.8475,38.3013,-113.84750,38.30130,6,3,01/05/2013,31/12/2099,0,,
W7U/BE-025,"USA - Utah","Beaver County",8228,2508,8228,-113.8891,38.2096,-113.88910,38.20960,6,3,01/05/2013,31/12/2099,0,,
W7U/BE-026,"USA - Utah","Beaver County",8214,2504,8214,-113.8965,38.1785,-113.89650,38.17850,6,3,01/05/2013,31/12/2099,0,,
W7U/BE-027,"USA - Utah","Beaver County",8195,2498,8195,-113.9202,38.2935,-113.92020,38.29350,6,3,01/05/2013,31/12/2099,0,,
W7U/BE-028,"USA - Utah","Beaver County",8142,2482,8142,-113.9603,38.3443,-113.96030,38.34430,6,3,01/05/2013,31/12/2099,0,,
W7U/BE-029,"USA - Utah","Beaver County",8140,2481,8140,-112.8438,38.3858,-112.84380,38.38580,6,3,01/05/2013,31/12/2099,0,,
W7U/BE-030,"USA - Utah","Beaver County","Indian Grave Peak",2479,8132,-113.2916,38.4701,-113.29160,38.47010,6,3,01/05/2013,31/12/2099,0,,
W7U/BE-031,"USA - Utah","Beaver County",8015,2443,8015,-113.8411,38.2736,-113.84110,38.27360,6,3,01/05/2013,31/12/2099,0,,
W7U/BE-032,"USA - Utah","Beaver County","Bradshaw Mountain",2442,8011,-112.9092,38.2978,-112.90920,38.29780,6,3,01/05/2013,31/12/2099,0,,
W7U/BE-033,"USA - Utah","Beaver County","Mahogany Knoll",2431,7976,-112.8211,38.1485,-112.82110,38.14850,6,3,01/05/2013,31/12/2099,1,29/05/2018,AC0PR
W7U/BE-034,"USA - Utah","Beaver County",7972,2430,7972,-113.8669,38.3202,-113.86690,38.32020,6,3,01/05/2013,31/12/2099,0,,
W7U/BE-035,"USA - Utah","Beaver County","Tetons, The",2424,7953,-113.5597,38.2132,-113.55970,38.21320,6,3,01/05/2013,31/12/2099,0,,
W7U/BE-036,"USA - Utah","Beaver County",7940,2420,7940,-112.7917,38.5236,-112.79170,38.52360,6,3,01/05/2013,31/12/2099,0,,
W7U/BE-037,"USA - Utah","Beaver County",7869,2398,7869,-113.8665,38.4388,-113.86650,38.43880,6,3,01/05/2013,31/12/2099,0,,
W7U/BE-038,"USA - Utah","Beaver County","Bald Ridges North",2395,7858,-112.7169,38.4556,-112.71690,38.45560,6,3,01/05/2013,31/12/2099,0,,
W7U/BE-039,"USA - Utah","Beaver County",7794,2376,7794,-113.5258,38.2355,-113.52580,38.23550,6,3,01/05/2013,31/12/2099,0,,
W7U/BE-040,"USA - Utah","Beaver County","Needles, The",2362,7749,-113.8734,38.4854,-113.87340,38.48540,6,3,01/05/2013,31/12/2099,0,,
W7U/BE-041,"USA - Utah","Beaver County","Antelope Benchmark",2353,7719,-112.8133,38.5668,-112.81330,38.56680,6,3,01/05/2013,31/12/2099,0,,
W7U/BE-042,"USA - Utah","Beaver County",7706,2349,7706,-113.5250,38.1521,-113.52500,38.15210,6,3,01/05/2013,31/12/2099,0,,
W7U/BE-043,"USA - Utah","Beaver County",7676,2340,7676,-113.5142,38.2807,-113.51420,38.28070,6,3,01/05/2013,31/12/2099,0,,
W7U/BE-044,"USA - Utah","Beaver County",7602,2317,7602,-113.5102,38.2647,-113.51020,38.26470,6,3,01/05/2013,31/12/2099,0,,
W7U/BE-045,"USA - Utah","Beaver County","Blue Mountain",2315,7594,-113.3919,38.1758,-113.39190,38.17580,6,3,01/05/2013,31/12/2099,0,,
W7U/BE-046,"USA - Utah","Beaver County","Black Mountain",2310,7580,-112.5772,38.2660,-112.57720,38.26600,6,3,01/05/2013,31/12/2099,1,29/05/2018,AC0PR
W7U/BE-047,"USA - Utah","Beaver County",7580,2310,7580,-113.4554,38.2763,-113.45540,38.27630,6,3,01/05/2013,31/12/2099,0,,
W7U/BE-048,"USA - Utah","Beaver County","Toad, The",2299,7542,-113.8697,38.5211,-113.86970,38.52110,6,3,01/05/2013,31/12/2099,0,,
W7U/BE-049,"USA - Utah","Beaver County",7540,2298,7540,-113.8816,38.4196,-113.88160,38.41960,6,3,01/05/2013,31/12/2099,0,,
W7U/BE-050,"USA - Utah","Beaver County",7460,2274,7460,-113.5080,38.5411,-113.50800,38.54110,4,3,01/05/2013,31/12/2099,0,,
W7U/BE-051,"USA - Utah","Beaver County",7340,2237,7340,-113.5878,38.5328,-113.58780,38.53280,4,3,01/05/2013,31/12/2099,0,,
W7U/BE-052,"USA - Utah","Beaver County","Adams Benchmark",2235,7334,-112.8516,38.2446,-112.85160,38.24460,4,3,01/05/2013,31/12/2099,0,,
W7U/BE-053,"USA - Utah","Beaver County",7290,2222,7290,-112.5924,38.1657,-112.59240,38.16570,4,3,01/05/2013,31/12/2099,0,,
W7U/BE-054,"USA - Utah","Beaver County","Sawtooth Peak",2217,7273,-113.8422,38.3764,-113.84220,38.37640,4,3,01/05/2013,31/12/2099,0,,
W7U/BE-055,"USA - Utah","Beaver County",7262,2213,7262,-113.3900,38.1583,-113.39000,38.15830,4,3,01/05/2013,31/12/2099,0,,
W7U/BE-056,"USA - Utah","Beaver County","Black Mountain East",2202,7226,-112.8635,38.1876,-112.86350,38.18760,4,3,01/05/2013,31/12/2099,1,04/01/2018,AC0PR
W7U/BE-057,"USA - Utah","Beaver County",7220,2201,7220,-113.6000,38.4140,-113.60000,38.41400,4,3,01/05/2013,31/12/2099,0,,
W7U/BE-058,"USA - Utah","Beaver County","Squaw Peak",2198,7212,-113.2764,38.4205,-113.27640,38.42050,4,3,01/05/2013,31/12/2099,0,,
W7U/BE-059,"USA - Utah","Beaver County","Mine Benchmark",2189,7182,-113.4329,38.2271,-113.43290,38.22710,4,3,01/05/2013,31/12/2099,0,,
W7U/BE-060,"USA - Utah","Beaver County","Cinder Crater",2148,7048,-112.6402,38.5682,-112.64020,38.56820,4,3,01/05/2013,31/12/2099,2,23/08/2020,KF7HP
W7U/BE-061,"USA - Utah","Beaver County","Topache Peak",2102,6896,-113.1533,38.3347,-113.15330,38.33470,4,3,01/05/2013,31/12/2099,0,,
W7U/BE-062,"USA - Utah","Beaver County","Lime Mountain",2102,6895,-113.1186,38.5383,-113.11860,38.53830,4,3,01/05/2013,31/12/2099,0,,
W7U/BE-063,"USA - Utah","Beaver County",6842,2085,6842,-113.1379,38.3697,-113.13790,38.36970,4,3,01/05/2013,31/12/2099,0,,
W7U/BE-064,"USA - Utah","Beaver County","Antelope Peak",2081,6829,-113.3280,38.3449,-113.32800,38.34490,4,3,01/05/2013,31/12/2099,0,,
W7U/BE-065,"USA - Utah","Beaver County","Long Lick Mountain",2075,6809,-113.2450,38.3103,-113.24500,38.31030,4,3,01/05/2013,31/12/2099,0,,
W7U/BE-066,"USA - Utah","Beaver County",6783,2067,6783,-113.4992,38.3528,-113.49920,38.35280,4,3,01/05/2013,31/12/2099,0,,
W7U/BE-067,"USA - Utah","Beaver County","White Mountain",2067,6781,-113.3064,38.3016,-113.30640,38.30160,4,3,01/05/2013,31/12/2099,0,,
W7U/BE-068,"USA - Utah","Beaver County",6575,2004,6575,-113.5074,38.3808,-113.50740,38.38080,4,3,01/05/2013,31/12/2099,0,,
W7U/BE-069,"USA - Utah","Beaver County","Rocky Range HP",1853,6081,-113.0771,38.4685,-113.07710,38.46850,2,0,01/05/2013,31/12/2099,0,,
W7U/BO-001,"USA - Utah","Box Elder County","Bull Mountain",3030,9940,-113.3658,41.9105,-113.36580,41.91050,8,3,01/05/2013,31/12/2099,5,25/08/2023,KI7EMX
