SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
W7W/CH-001,"USA - Washington",WA-Chelan,"Bonanza Peak",2899,9511,-120.8664,48.2382,-120.86640,48.23820,10,3,01/12/2010,31/12/2099,1,16/07/2022,KJ7RTO
W7W/CH-002,"USA - Washington",WA-Chelan,"Mount Stuart",2870,9415,-120.9022,47.4751,-120.90220,47.47510,10,3,01/12/2010,31/12/2099,7,09/08/2025,K7STB
W7W/CH-003,"USA - Washington",WA-Chelan,"Mount Fernow",2819,9249,-120.8075,48.1626,-120.80750,48.16260,10,3,01/12/2010,31/12/2099,1,03/09/2022,KJ7RTO
W7W/CH-004,"USA - Washington",WA-Chelan,"Goode Mountain",2810,9220,-120.9113,48.4830,-120.91130,48.48300,10,3,01/12/2010,31/12/2099,0,,
W7W/CH-005,"USA - Washington",WA-Chelan,"Mount Maude",2761,9060,-120.8037,48.1376,-120.80370,48.13760,10,3,01/12/2010,31/12/2099,2,03/08/2022,KJ7RTO
W7W/CH-006,"USA - Washington",WA-Chelan,"Copper Peak",2732,8964,-120.8035,48.1749,-120.80350,48.17490,10,3,01/12/2010,31/12/2099,0,,
W7W/CH-007,"USA - Washington",WA-Chelan,"Dragontail Peak",2701,8860,-120.8330,47.4790,-120.83300,47.47900,10,3,01/12/2010,31/12/2099,5,22/06/2022,KJ7RTO
W7W/CH-008,"USA - Washington",WA-Chelan,"Colchuck Peak",2653,8705,-120.8464,47.4783,-120.84640,47.47830,10,3,01/12/2010,31/12/2099,2,17/06/2022,WX7EMT
W7W/CH-009,"USA - Washington",WA-Chelan,"Star Peak",2649,8690,-120.4284,48.2507,-120.42840,48.25070,10,3,01/12/2010,31/12/2099,1,25/09/2021,KJ7RTO
W7W/CH-010,"USA - Washington",WA-Chelan,"Cannon Mountain",2633,8638,-120.8024,47.5026,-120.80240,47.50260,10,3,01/12/2010,31/12/2099,3,01/06/2024,KI7QIV
W7W/CH-011,"USA - Washington",WA-Chelan,"Sherpa Pk",2623,8606,-120.8886,47.4717,-120.88860,47.47170,10,3,01/12/2010,30/11/2016,0,,
W7W/CH-012,"USA - Washington",WA-Chelan,"Clark Mountain",2622,8602,-120.9686,48.0500,-120.96860,48.05000,10,3,01/12/2010,31/12/2099,0,,
W7W/CH-013,"USA - Washington",WA-Chelan,"Cardinal Peak",2618,8590,-120.6125,48.1031,-120.61250,48.10310,10,3,01/12/2010,31/12/2099,1,18/07/2019,KJ7DDK
