SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
W7Y/EW-001,"USA - Wyoming","East Wyoming","Medicine Bow Peak",3662,12013,-106.3176,41.3603,-106.31760,41.36030,10,3,01/11/2010,31/12/2099,16,15/08/2025,WV0X
W7Y/EW-002,"USA - Wyoming","East Wyoming","Browns Peak",3573,11722,-106.2837,41.3737,-106.28370,41.37370,8,3,01/11/2010,31/12/2099,8,20/10/2024,KF7UFF
W7Y/EW-003,"USA - Wyoming","East Wyoming","Laramie Peak",3127,10260,-105.4427,42.2681,-105.44270,42.26810,8,3,01/11/2010,31/12/2099,1,19/08/2017,KX0R
W7Y/EW-004,"USA - Wyoming","East Wyoming","Lake Mountain",2973,9753,-106.1393,41.1406,-106.13930,41.14060,6,3,01/11/2010,31/12/2099,8,05/10/2024,KF7DFU
W7Y/EW-005,"USA - Wyoming","East Wyoming","Muddy Mountain",2968,9738,-106.1692,41.1725,-106.16920,41.17250,6,3,01/11/2010,31/12/2099,8,06/09/2024,KD0YOB
W7Y/EW-006,"USA - Wyoming","East Wyoming","Jelm Mountain",2943,9656,-105.9764,41.0972,-105.97640,41.09720,6,3,01/11/2010,31/12/2099,58,01/08/2025,K7GUD
W7Y/EW-007,"USA - Wyoming","East Wyoming","Sheep Mountain",2932,9620,-106.0075,41.2036,-106.00750,41.20360,6,3,01/11/2010,31/05/2022,3,17/10/2021,KD0YOB
W7Y/EW-008,"USA - Wyoming","East Wyoming","Warbonnett Peak",2869,9414,-105.7939,42.4348,-105.79390,42.43480,6,3,01/11/2010,31/12/2099,0,,
W7Y/EW-009,"USA - Wyoming","East Wyoming","Buffalo Peak",2861,9387,-105.8536,42.5094,-105.85360,42.50940,6,3,01/11/2010,31/12/2099,0,,
W7Y/EW-010,"USA - Wyoming","East Wyoming","Cherry Mountain",2841,9322,-105.9069,42.5068,-105.90690,42.50680,6,3,01/11/2010,31/12/2099,0,,
W7Y/EW-011,"USA - Wyoming","East Wyoming","Squaw Mountain",2839,9313,-105.8442,42.4935,-105.84420,42.49350,6,3,01/11/2010,31/12/2099,0,,
W7Y/EW-012,"USA - Wyoming","East Wyoming","Twin Peaks",2835,9300,-105.8657,42.4761,-105.86570,42.47610,6,3,01/11/2010,31/12/2099,0,,
W7Y/EW-013,"USA - Wyoming","East Wyoming","Eagle Peak",2794,9167,-105.5185,42.2664,-105.51850,42.26640,6,3,01/11/2010,31/12/2099,0,,
W7Y/EW-014,"USA - Wyoming","East Wyoming","Windy Peak",2774,9100,-105.5733,42.2971,-105.57330,42.29710,6,3,01/11/2010,31/12/2099,0,,
W7Y/EW-015,"USA - Wyoming","East Wyoming","Buck Peak",2762,9061,-105.9,42.541,-105.90000,42.54100,6,3,01/11/2010,31/12/2099,0,,
W7Y/EW-016,"USA - Wyoming","East Wyoming","Gunnysack Benchmark",2762,9061,-105.9775,42.5563,-105.97750,42.55630,6,3,01/11/2010,31/12/2099,0,,
W7Y/EW-017,"USA - Wyoming","East Wyoming","Leg Benchmark",2760,9055,-105.3955,41.2331,-105.39550,41.23310,6,3,01/11/2010,31/12/2099,52,16/02/2026,WY7EE
W7Y/EW-018,"USA - Wyoming","East Wyoming","Jack Squirrel Peak",2726,8942,-105.5337,42.2399,-105.53370,42.23990,6,3,01/11/2010,31/12/2099,0,,
W7Y/EW-019,"USA - Wyoming","East Wyoming","South Mountain",2691,8828,-105.4775,42.2422,-105.47750,42.24220,6,3,01/11/2010,31/12/2099,1,22/08/2017,KX0R
W7Y/EW-020,"USA - Wyoming","East Wyoming","Ring Mountain",2688,8818,-105.9708,41.0539,-105.97080,41.05390,6,3,01/11/2010,31/12/2099,33,09/05/2025,WV0X
W7Y/EW-021,"USA - Wyoming","East Wyoming","Fortymile Peak",2673,8769,-105.7359,42.3281,-105.73590,42.32810,6,3,01/11/2010,31/12/2099,0,,
W7Y/EW-022,"USA - Wyoming","East Wyoming","Cow Creek Mountain",2672,8765,-105.5658,42.2157,-105.56580,42.21570,6,3,01/11/2010,31/12/2099,0,,
W7Y/EW-023,"USA - Wyoming","East Wyoming","Reno Hill",2671,8762,-106.0622,42.5786,-106.06220,42.57860,6,3,01/11/2010,31/12/2099,0,,
W7Y/EW-024,"USA - Wyoming","East Wyoming","Bar M Mountain",2664,8740,-105.6234,42.2862,-105.62340,42.28620,6,3,01/11/2010,31/12/2099,0,,
W7Y/EW-025,"USA - Wyoming","East Wyoming","South Sawtooth Mountain",2659,8723,-105.5874,42.3822,-105.58740,42.38220,6,3,01/11/2010,31/12/2099,0,,
W7Y/EW-026,"USA - Wyoming","East Wyoming","Flattop Mountain",2661,8730,-105.6628,42.3323,-105.66280,42.33230,6,3,01/11/2010,31/12/2099,0,,
W7Y/EW-027,"USA - Wyoming","East Wyoming","Beaver Mountain",2652,8700,-105.5611,42.2858,-105.56110,42.28580,6,3,01/11/2010,31/12/2099,0,,
W7Y/EW-028,"USA - Wyoming","East Wyoming","Quartzite 2 Benchmark",2646,8680,-105.4602,41.4255,-105.46020,41.42550,6,3,01/11/2010,31/12/2099,0,,
