SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
W8M/LP-001,"USA - Michigan","Michigan Lower Peninsula","Grove Hill",521,1708,-85.3447,44.1377,-85.34470,44.13770,6,3,01/08/2013,31/12/2099,43,08/03/2026,W8GM
W8M/LP-002,"USA - Michigan","Michigan Lower Peninsula","Briar Hill",520,1706,-85.6794,44.3661,-85.67940,44.36610,6,3,01/08/2013,31/12/2099,26,08/03/2026,W8GM
W8M/LP-003,"USA - Michigan","Michigan Lower Peninsula","Indian Springs Lookout",481,1579,-84.3953,44.2997,-84.39530,44.29970,4,0,01/08/2013,31/12/2099,20,05/07/2025,WG3K
W8M/LP-004,"USA - Michigan","Michigan Lower Peninsula","Hudson Lookout",476,1561,-84.7519,45.1713,-84.75190,45.17130,4,0,01/08/2013,31/12/2099,11,05/08/2025,N4TU
W8M/LP-005,"USA - Michigan","Michigan Lower Peninsula","Portage Lake Lookout",471,1545,-84.7979,44.5777,-84.79790,44.57770,4,0,01/08/2013,31/12/2099,17,05/08/2025,N4TU
W8M/LP-006,"USA - Michigan","Michigan Lower Peninsula","Emmet County HP",407,1336,-84.9498,45.4736,-84.94980,45.47360,2,0,01/08/2013,31/12/2099,2,23/05/2019,KN4SNL
W8M/LP-007,"USA - Michigan","Michigan Lower Peninsula","Nubs Knob",407,1336,-84.9012,45.4669,-84.90120,45.46690,2,0,01/08/2013,31/12/2099,7,11/09/2022,W8APS
W8M/LP-008,"USA - Michigan","Michigan Lower Peninsula",1304,397,1304,-84.8776,45.3253,-84.87760,45.32530,2,0,01/08/2013,31/12/2099,5,05/08/2025,N4TU
W8M/LP-009,"USA - Michigan","Michigan Lower Peninsula","Mount Christie",392,1285,-83.3255,42.8849,-83.32550,42.88490,2,0,01/08/2013,31/12/2099,14,16/10/2025,W9OOO
W8M/LP-010,"USA - Michigan","Michigan Lower Peninsula","Hillsdale County HP",392,1285,-84.6202,41.8872,-84.62020,41.88720,2,0,01/08/2013,31/12/2099,3,14/05/2026,W9OOO
