SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
XE3/CM-001,"Mexico South",Campeche,XE3/CM-001,498,1633,-89.4701,17.9066,-89.47010,17.90660,1,0,01/08/2018,31/12/2099,0,,
XE3/CM-002,"Mexico South",Campeche,XE3/CM-002,258,846,-90.4392,18.8756,-90.43920,18.87560,1,0,01/08/2018,31/12/2099,0,,
XE3/CP-001,"Mexico South",Chiapas,XE3/CP-001,4070,13353,-92.1085,15.1332,-92.10850,15.13320,10,3,01/08/2018,31/12/2099,0,,
XE3/CP-002,"Mexico South",Chiapas,XE3/CP-002,3097,10160,-92.3247,15.4476,-92.32470,15.44760,10,3,01/08/2018,31/12/2099,0,,
XE3/CP-003,"Mexico South",Chiapas,XE3/CP-003,3061,10042,-92.2655,15.4466,-92.26550,15.44660,10,3,01/08/2018,31/12/2099,0,,
XE3/CP-004,"Mexico South",Chiapas,XE3/CP-004,3046,9993,-92.2394,15.4311,-92.23940,15.43110,10,3,01/08/2018,31/12/2099,0,,
XE3/CP-005,"Mexico South",Chiapas,XE3/CP-005,2955,9694,-92.3547,15.4612,-92.35470,15.46120,10,3,01/08/2018,31/12/2099,0,,
XE3/CP-006,"Mexico South",Chiapas,XE3/CP-006,2944,9658,-92.4343,15.4402,-92.43430,15.44020,10,3,01/08/2018,31/12/2099,0,,
XE3/CP-007,"Mexico South",Chiapas,XE3/CP-007,2909,9543,-92.5807,16.8187,-92.58070,16.81870,10,3,01/08/2018,31/12/2099,0,,
XE3/CP-008,"Mexico South",Chiapas,XE3/CP-008,2898,9507,-92.5892,16.8356,-92.58920,16.83560,10,3,01/08/2018,31/12/2099,0,,
XE3/CP-009,"Mexico South",Chiapas,XE3/CP-009,2787,9143,-92.5705,16.6427,-92.57050,16.64270,10,3,01/08/2018,31/12/2099,0,,
XE3/CP-010,"Mexico South",Chiapas,XE3/CP-010,2785,9137,-92.7007,15.6008,-92.70070,15.60080,10,3,01/08/2018,31/12/2099,0,,
XE3/CP-011,"Mexico South",Chiapas,XE3/CP-011,2763,9064,-92.6188,15.5028,-92.61880,15.50280,10,3,01/08/2018,31/12/2099,0,,
XE3/CP-012,"Mexico South",Chiapas,XE3/CP-012,2759,9051,-92.6947,16.7429,-92.69470,16.74290,10,3,01/08/2018,31/12/2099,0,,
XE3/CP-013,"Mexico South",Chiapas,XE3/CP-013,2756,9041,-92.3599,15.4973,-92.35990,15.49730,10,3,01/08/2018,31/12/2099,0,,
XE3/CP-014,"Mexico South",Chiapas,XE3/CP-014,2694,8838,-92.563,15.4967,-92.56300,15.49670,10,3,01/08/2018,31/12/2099,0,,
XE3/CP-015,"Mexico South",Chiapas,XE3/CP-015,2686,8812,-92.6383,16.7989,-92.63830,16.79890,10,3,01/08/2018,31/12/2099,0,,
XE3/CP-016,"Mexico South",Chiapas,XE3/CP-016,2683,8802,-92.2586,16.5294,-92.25860,16.52940,10,3,01/08/2018,31/12/2099,0,,
XE3/CP-017,"Mexico South",Chiapas,XE3/CP-017,2665,8743,-92.7669,16.8315,-92.76690,16.83150,10,3,01/08/2018,31/12/2099,0,,
XE3/CP-018,"Mexico South",Chiapas,XE3/CP-018,2664,8740,-92.2402,15.1796,-92.24020,15.17960,10,3,01/08/2018,31/12/2099,0,,
XE3/CP-019,"Mexico South",Chiapas,XE3/CP-019,2655,8710,-92.4804,16.6186,-92.48040,16.61860,10,3,01/08/2018,31/12/2099,0,,
XE3/CP-020,"Mexico South",Chiapas,XE3/CP-020,2630,8628,-92.3327,15.3892,-92.33270,15.38920,10,3,01/08/2018,31/12/2099,0,,
XE3/CP-021,"Mexico South",Chiapas,XE3/CP-021,2624,8608,-92.3559,16.5564,-92.35590,16.55640,10,3,01/08/2018,31/12/2099,0,,
XE3/CP-022,"Mexico South",Chiapas,XE3/CP-022,2616,8582,-92.5289,15.4852,-92.52890,15.48520,10,3,01/08/2018,31/12/2099,0,,
XE3/CP-023,"Mexico South",Chiapas,XE3/CP-023,2613,8572,-92.5007,16.715,-92.50070,16.71500,10,3,01/08/2018,31/12/2099,0,,
XE3/CP-024,"Mexico South",Chiapas,XE3/CP-024,2611,8566,-92.4695,16.7836,-92.46950,16.78360,10,3,01/08/2018,31/12/2099,0,,
XE3/CP-025,"Mexico South",Chiapas,XE3/CP-025,2595,8513,-92.3059,15.2407,-92.30590,15.24070,10,3,01/08/2018,31/12/2099,0,,
XE3/CP-026,"Mexico South",Chiapas,XE3/CP-026,2594,8510,-92.2355,15.3016,-92.23550,15.30160,10,3,01/08/2018,31/12/2099,0,,
XE3/CP-027,"Mexico South",Chiapas,XE3/CP-027,2587,8487,-92.7582,16.7317,-92.75820,16.73170,10,3,01/08/2018,31/12/2099,0,,
XE3/CP-028,"Mexico South",Chiapas,XE3/CP-028,2563,8408,-92.4802,15.4716,-92.48020,15.47160,10,3,01/08/2018,31/12/2099,0,,
XE3/CP-029,"Mexico South",Chiapas,XE3/CP-029,2536,8320,-92.3811,15.5291,-92.38110,15.52910,10,3,01/08/2018,31/12/2099,0,,
XE3/CP-030,"Mexico South",Chiapas,XE3/CP-030,2521,8270,-92.1415,16.4784,-92.14150,16.47840,10,3,01/08/2018,31/12/2099,0,,
XE3/CP-031,"Mexico South",Chiapas,XE3/CP-031,2501,8205,-92.3197,16.4905,-92.31970,16.49050,10,3,01/08/2018,31/12/2099,0,,
XE3/CP-032,"Mexico South",Chiapas,XE3/CP-032,2500,8202,-93.0017,15.7126,-93.00170,15.71260,10,3,01/08/2018,31/12/2099,0,,
