SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
YBB/BA-001,"Indonesia - Bali",Bali,"Gunung Agung",3031,9944,115.4984,-8.3403,115.49840,-8.34030,10,0,01/08/2024,31/12/2099,0,,
YBB/BA-002,"Indonesia - Bali",Bali,"Gunung Batukaru",2276,7467,115.0885,-8.3349,115.08850,-8.33490,10,0,01/08/2024,31/12/2099,1,05/10/2025,YE9EEY/P
YBB/BA-003,"Indonesia - Bali",Bali,"Gunung Abang",2151,7057,115.4296,-8.2804,115.42960,-8.28040,8,0,01/08/2024,31/12/2099,0,,
YBB/BA-004,"Indonesia - Bali",Bali,"Gunung Pengelengan",2102,6896,115.1838,-8.2454,115.18380,-8.24540,8,0,01/08/2024,31/12/2099,0,,
YBB/BA-005,"Indonesia - Bali",Bali,"Gunung Sanghyang (South Peak)",2093,6867,115.1031,-8.3111,115.10310,-8.31110,8,0,01/08/2024,31/12/2099,0,,
YBB/BA-006,"Indonesia - Bali",Bali,"Gunung Pohen",2063,6768,115.1379,-8.2972,115.13790,-8.29720,8,0,01/08/2024,31/12/2099,0,,
YBB/BA-007,"Indonesia - Bali",Bali,"Gunung Tapak",1909,6263,115.1386,-8.2703,115.13860,-8.27030,8,0,01/08/2024,31/12/2099,0,,
YBB/BA-008,"Indonesia - Bali",Bali,"Gunung Lesung",1865,6119,115.1061,-8.2800,115.10610,-8.28000,8,0,01/08/2024,31/12/2099,0,,
YBB/BA-009,"Indonesia - Bali",Bali,"Gunung Adeng",1826,5991,115.1400,-8.3185,115.14000,-8.31850,8,0,01/08/2024,31/12/2099,0,,
YBB/BA-010,"Indonesia - Bali",Bali,"Gunung Penulisan",1738,5702,115.3275,-8.2081,115.32750,-8.20810,6,0,01/08/2024,31/12/2099,0,,
YBB/BA-011,"Indonesia - Bali",Bali,"Gunung Jineng",1721,5646,115.4617,-8.3239,115.46170,-8.32390,6,0,01/08/2024,31/12/2099,0,,
YBB/BA-012,"Indonesia - Bali",Bali,"Gunung Batur",1717,5633,115.3757,-8.2388,115.37570,-8.23880,6,0,01/08/2024,31/12/2099,0,,
YBB/BA-013,"Indonesia - Bali",Bali,YBB/BA-013,1358,4455,114.6526,-8.2257,114.65260,-8.22570,6,0,01/08/2024,31/12/2099,0,,
YBB/BA-014,"Indonesia - Bali",Bali,"Gunung Patas",1346,4416,114.8161,-8.2608,114.81610,-8.26080,6,0,01/08/2024,31/12/2099,0,,
YBB/BA-015,"Indonesia - Bali",Bali,"Gunung Mesehe",1344,4409,114.7719,-8.2676,114.77190,-8.26760,6,0,01/08/2024,31/12/2099,0,,
YBB/BA-016,"Indonesia - Bali",Bali,YBB/BA-016,1320,4331,114.6455,-8.2473,114.64550,-8.24730,6,0,01/08/2024,31/12/2099,0,,
YBB/BA-017,"Indonesia - Bali",Bali,YBB/BA-017,1310,4298,114.6882,-8.2455,114.68820,-8.24550,6,0,01/08/2024,31/12/2099,0,,
YBB/BA-018,"Indonesia - Bali",Bali,YBB/BA-018,1220,4003,114.7369,-8.2260,114.73690,-8.22600,4,0,01/08/2024,31/12/2099,0,,
YBB/BA-019,"Indonesia - Bali",Bali,"Gunung Silanjana",1194,3917,115.1646,-8.1931,115.16460,-8.19310,4,0,01/08/2024,31/12/2099,0,,
YBB/BA-020,"Indonesia - Bali",Bali,YBB/BA-020,1180,3871,114.6496,-8.1885,114.64960,-8.18850,4,0,01/08/2024,31/12/2099,0,,
YBB/BA-021,"Indonesia - Bali",Bali,"Gunung Seraya",1159,3802,115.6604,-8.3964,115.66040,-8.39640,4,0,01/08/2024,31/12/2099,0,,
YBB/BA-022,"Indonesia - Bali",Bali,"Gunung Tengayang",1110,3642,115.2115,-8.1876,115.21150,-8.18760,4,0,01/08/2024,31/12/2099,0,,
YBB/BA-023,"Indonesia - Bali",Bali,"Gunung Bisbis",1060,3478,115.6482,-8.3953,115.64820,-8.39530,4,0,01/08/2024,31/12/2099,0,,
YBB/BA-024,"Indonesia - Bali",Bali,"Munduk Jajang",1045,3428,114.9011,-8.2833,114.90110,-8.28330,4,0,01/08/2024,31/12/2099,0,,
YBB/BA-025,"Indonesia - Bali",Bali,"Gunung Sangiang",993,3258,114.6019,-8.2152,114.60190,-8.21520,4,0,01/08/2024,31/12/2099,0,,
YBB/BA-026,"Indonesia - Bali",Bali,"Gunung Bagas",820,2690,115.6418,-8.3722,115.64180,-8.37220,2,0,01/08/2024,31/12/2099,0,,
YBB/BA-027,"Indonesia - Bali",Bali,"Bukit Dewaangga",800,2625,115.4670,-8.4667,115.46700,-8.46670,2,0,01/08/2024,31/12/2099,0,,
YBB/BA-028,"Indonesia - Bali",Bali,"Munduk Languan",707,2320,114.8252,-8.3334,114.82520,-8.33340,2,0,01/08/2024,31/12/2099,0,,
YBB/BA-029,"Indonesia - Bali",Bali,"Gunung Kelatakan",698,2290,114.5046,-8.2099,114.50460,-8.20990,2,0,01/08/2024,31/12/2099,0,,
YBB/BA-030,"Indonesia - Bali",Bali,"Bukit Abah",660,2165,115.4651,-8.4982,115.46510,-8.49820,2,0,01/08/2024,31/12/2099,0,,
YBB/BA-031,"Indonesia - Bali",Bali,"Gunung Penginuman",600,1969,114.4895,-8.2028,114.48950,-8.20280,2,0,01/08/2024,31/12/2099,0,,
YBB/BA-032,"Indonesia - Bali",Bali,YBB/BA-032,570,1870,114.4907,-8.2166,114.49070,-8.21660,2,0,01/08/2024,31/12/2099,0,,
YBB/BA-033,"Indonesia - Bali",Bali,"Nusa Penida",524,1719,115.5264,-8.7311,115.52640,-8.73110,2,0,01/08/2024,31/12/2099,0,,
YBB/BA-034,"Indonesia - Bali",Bali,"Munduk Talibeng",520,1706,115.4375,-8.5061,115.43750,-8.50610,2,0,01/08/2024,31/12/2099,0,,
YBB/BA-035,"Indonesia - Bali",Bali,"Gunung Prapat Agung",375,1230,114.4736,-8.1325,114.47360,-8.13250,1,0,01/08/2024,31/12/2099,0,,
YBB/BA-036,"Indonesia - Bali",Bali,"Gunung Bangkiangjaran",320,1050,114.5529,-8.1978,114.55290,-8.19780,1,0,01/08/2024,31/12/2099,0,,
YBB/BA-037,"Indonesia - Bali",Bali,YBB/BA-037,290,951,115.5888,-8.5055,115.58880,-8.50550,1,0,01/08/2024,31/12/2099,0,,
YBB/BA-038,"Indonesia - Bali",Bali,YBB/BA-038,216,709,115.1297,-8.8355,115.12970,-8.83550,1,0,01/08/2024,31/12/2099,0,,
