SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
YBE/BB-001,"Indonesia - Eastern Islands of Sumatera","Bangka Belitung","Gunung Maras",669,2195,105.8489,-1.8646,105.84890,-1.86460,6,0,01/07/2021,31/12/2199,1,27/10/2022,YC2TTG/4
YBE/BB-002,"Indonesia - Eastern Islands of Sumatera","Bangka Belitung",YBE/BB-002,660,2165,105.8393,-1.8585,105.83930,-1.85850,6,0,01/07/2021,31/12/2199,1,27/10/2022,YC2TTG/4
YBE/BB-003,"Indonesia - Eastern Islands of Sumatera","Bangka Belitung","Gunung Pading",650,2133,106.5584,-2.6106,106.55840,-2.61060,6,0,01/07/2021,31/12/2199,0,,
YBE/BB-004,"Indonesia - Eastern Islands of Sumatera","Bangka Belitung","Gunung Tajam Kaki",501,1644,107.8730,-2.7862,107.87300,-2.78620,4,0,01/07/2021,31/12/2199,0,,
YBE/BB-005,"Indonesia - Eastern Islands of Sumatera","Bangka Belitung",YBE/BB-005,472,1549,107.8592,-2.7754,107.85920,-2.77540,2,0,01/07/2021,31/12/2199,0,,
YBE/BB-006,"Indonesia - Eastern Islands of Sumatera","Bangka Belitung","Puncak Menumbing",436,1430,105.1821,-2.0164,105.18210,-2.01640,2,0,01/07/2021,31/12/2199,1,29/10/2022,YC2TTG/4
YBE/BB-007,"Indonesia - Eastern Islands of Sumatera","Bangka Belitung",YBE/BB-007,436,1430,105.9385,-2.5964,105.93850,-2.59640,2,0,01/07/2021,31/12/2199,0,,
YBE/BB-008,"Indonesia - Eastern Islands of Sumatera","Bangka Belitung",YBE/BB-008,425,1394,106.5220,-2.6242,106.52200,-2.62420,2,0,01/07/2021,31/12/2199,0,,
YBE/BB-009,"Indonesia - Eastern Islands of Sumatera","Bangka Belitung",YBE/BB-009,392,1286,106.4607,-2.6117,106.46070,-2.61170,1,0,01/07/2021,31/12/2199,0,,
YBE/BB-010,"Indonesia - Eastern Islands of Sumatera","Bangka Belitung","Gunung Mangkol",390,1280,106.0986,-2.2394,106.09860,-2.23940,1,0,01/07/2021,31/12/2199,0,,
