SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
YBJ/BT-001,"Indonesia - Java",Banten,"Gunung Karang",1772,5814,106.0494,-6.2687,106.04940,-6.26870,8,0,01/07/2020,31/12/2099,18,17/08/2022,YC1RTA
YBJ/BT-002,"Indonesia - Java",Banten,"Gunung Pulosari",1346,4416,105.9782,-6.3417,105.97820,-6.34170,6,0,01/07/2020,31/12/2099,2,20/06/2021,YB1RD
YBJ/BT-003,"Indonesia - Java",Banten,"Gunung Endut",1265,4150,106.3621,-6.6198,106.36210,-6.61980,4,0,01/07/2020,31/12/2099,0,,
YBJ/BT-004,"Indonesia - Java",Banten,"Gunung Jeungjing",1125,3691,105.9448,-6.2879,105.94480,-6.28790,4,0,01/07/2020,31/12/2099,0,,
YBJ/BT-005,"Indonesia - Java",Banten,"Gunung Aseupan",1118,3668,105.9297,-6.2959,105.92970,-6.29590,4,0,01/07/2020,31/12/2099,1,20/11/2021,YC1RTA
YBJ/BT-006,"Indonesia - Java",Banten,"Gunung Nyungcung",1113,3652,106.3012,-6.7313,106.30120,-6.73130,4,0,01/07/2020,31/12/2099,0,,
YBJ/BT-007,"Indonesia - Java",Banten,"Gunung Parakasak",995,3264,105.9824,-6.2492,105.98240,-6.24920,4,0,01/07/2020,31/12/2099,4,24/07/2022,YD1SDU
YBJ/BT-008,"Indonesia - Java",Banten,"Gunung Poreang",975,3199,106.2567,-6.6993,106.25670,-6.69930,4,0,01/07/2020,31/12/2099,1,18/12/2022,YB1RD
YBJ/BT-009,"Indonesia - Java",Banten,"Gunung Kadupunah",951,3120,106.3055,-6.7746,106.30550,-6.77460,4,0,01/07/2020,31/12/2099,0,,
YBJ/BT-010,"Indonesia - Java",Banten,"Gunung Bongkok",925,3035,106.3041,-6.6464,106.30410,-6.64640,4,0,01/07/2020,31/12/2099,0,,
YBJ/BT-011,"Indonesia - Java",Banten,"Gunung Malang",864,2835,106.2004,-6.7220,106.20040,-6.72200,4,0,01/07/2020,31/12/2099,0,,
