SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
YBS/AC-001,"Indonesia - Sumatera",Aceh,"Tanpa Nama",3466,11371,97.2186,3.7977,97.21860,3.79770,10,0,01/08/2024,31/12/2099,0,,
YBS/AC-002,"Indonesia - Sumatera",Aceh,"Gunung Loser",3404,11168,97.1741,3.7566,97.17410,3.75660,10,0,01/08/2024,31/12/2099,0,,
YBS/AC-003,"Indonesia - Sumatera",Aceh,YBS/AC-003,3375,11073,97.4731,3.5402,97.47310,3.54020,10,0,01/08/2024,31/12/2099,0,,
YBS/AC-004,"Indonesia - Sumatera",Aceh,"Bur Karang Putih",3360,11024,97.2549,3.7893,97.25490,3.78930,10,0,01/08/2024,31/12/2099,0,,
YBS/AC-005,"Indonesia - Sumatera",Aceh,YBS/AC-005,3300,10827,97.4789,3.7472,97.47890,3.74720,10,0,01/08/2024,31/12/2099,0,,
YBS/AC-006,"Indonesia - Sumatera",Aceh,YBS/AC-006,3130,10269,97.4183,3.6072,97.41830,3.60720,10,0,01/08/2024,31/12/2099,0,,
YBS/AC-007,"Indonesia - Sumatera",Aceh,YBS/AC-007,3130,10269,97.4335,3.6362,97.43350,3.63620,10,0,01/08/2024,31/12/2099,0,,
YBS/AC-008,"Indonesia - Sumatera",Aceh,YBS/AC-008,3110,10203,97.3818,3.6153,97.38180,3.61530,10,0,01/08/2024,31/12/2099,0,,
YBS/AC-009,"Indonesia - Sumatera",Aceh,YBS/AC-009,3100,10171,97.5377,3.5399,97.53770,3.53990,10,0,01/08/2024,31/12/2099,0,,
YBS/AC-010,"Indonesia - Sumatera",Aceh,YBS/AC-010,3060,10039,97.2075,3.7438,97.20750,3.74380,10,0,01/08/2024,31/12/2099,0,,
YBS/AC-011,"Indonesia - Sumatera",Aceh,"Gunung Kurik",3060,10039,97.4206,4.2517,97.42060,4.25170,10,0,01/08/2024,31/12/2099,0,,
YBS/AC-012,"Indonesia - Sumatera",Aceh,YBS/AC-012,3050,10007,97.4311,4.2281,97.43110,4.22810,10,0,01/08/2024,31/12/2099,0,,
YBS/AC-013,"Indonesia - Sumatera",Aceh,YBS/AC-013,3030,9941,97.2073,3.6907,97.20730,3.69070,10,0,01/08/2024,31/12/2099,0,,
YBS/AC-014,"Indonesia - Sumatera",Aceh,YBS/AC-014,3010,9875,97.4900,3.6808,97.49000,3.68080,10,0,01/08/2024,31/12/2099,0,,
YBS/AC-015,"Indonesia - Sumatera",Aceh,"Gunung Bandahara",3000,9843,97.7817,3.7488,97.78170,3.74880,10,0,01/08/2024,31/12/2099,0,,
YBS/AC-016,"Indonesia - Sumatera",Aceh,YBS/AC-016,2990,9810,97.5211,3.5722,97.52110,3.57220,10,0,01/08/2024,31/12/2099,0,,
YBS/AC-017,"Indonesia - Sumatera",Aceh,YBS/AC-017,2990,9810,97.1408,3.8261,97.14080,3.82610,10,0,01/08/2024,31/12/2099,0,,
YBS/AC-018,"Indonesia - Sumatera",Aceh,"Guning Abong Abong",2950,9678,96.7949,4.2415,96.79490,4.24150,10,0,01/08/2024,31/12/2099,0,,
YBS/AC-019,"Indonesia - Sumatera",Aceh,YBS/AC-019,2920,9580,97.5553,3.5683,97.55530,3.56830,10,0,01/08/2024,31/12/2099,0,,
YBS/AC-020,"Indonesia - Sumatera",Aceh,"Gunung Pucuk Angkasan",2900,9514,97.2161,3.9358,97.21610,3.93580,10,0,01/08/2024,31/12/2099,0,,
YBS/AC-021,"Indonesia - Sumatera",Aceh,YBS/AC-021,2900,9514,97.4236,3.7114,97.42360,3.71140,10,0,01/08/2024,31/12/2099,0,,
YBS/AC-022,"Indonesia - Sumatera",Aceh,"Gunung Geureudong",2870,9416,96.8164,4.8106,96.81640,4.81060,10,0,01/08/2024,31/12/2099,0,,
YBS/AC-023,"Indonesia - Sumatera",Aceh,YBS/AC-023,2850,9350,97.3222,3.7781,97.32220,3.77810,10,0,01/08/2024,31/12/2099,0,,
YBS/AC-024,"Indonesia - Sumatera",Aceh,YBS/AC-024,2830,9285,97.8525,3.6294,97.85250,3.62940,10,0,01/08/2024,31/12/2099,0,,
YBS/AC-025,"Indonesia - Sumatera",Aceh,"Bur Pantan Dedalu",2830,9285,97.3557,3.7889,97.35570,3.78890,10,0,01/08/2024,31/12/2099,0,,
YBS/AC-026,"Indonesia - Sumatera",Aceh,YBS/AC-026,2830,9285,97.4056,3.4875,97.40560,3.48750,10,0,01/08/2024,31/12/2099,0,,
YBS/AC-027,"Indonesia - Sumatera",Aceh,"Gunung Singgah Mata",2810,9219,96.9190,4.3056,96.91900,4.30560,10,0,01/08/2024,31/12/2099,0,,
YBS/AC-028,"Indonesia - Sumatera",Aceh,YBS/AC-028,2810,9219,97.3811,3.7594,97.38110,3.75940,10,0,01/08/2024,31/12/2099,0,,
YBS/AC-029,"Indonesia - Sumatera",Aceh,"Burni Pucuk Jagong",2800,9186,96.8922,4.2769,96.89220,4.27690,10,0,01/08/2024,31/12/2099,0,,
YBS/AC-030,"Indonesia - Sumatera",Aceh,"Bur Tetinggi",2800,9186,97.2719,3.9219,97.27190,3.92190,10,0,01/08/2024,31/12/2099,0,,
YBS/AC-031,"Indonesia - Sumatera",Aceh,"Gunung Kemiki",2780,9121,96.3289,4.9146,96.32890,4.91460,10,0,01/08/2024,31/12/2099,0,,
