SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
YO/EC-001,Romania,"Eastern Carpathians","Pietrosu Rodnei",2303,7556,24.6341,47.5971,24.63410,47.59710,10,3,01/04/2010,31/12/2099,10,31/05/2026,YO8WD/P
YO/EC-002,Romania,"Eastern Carpathians","Pietrosu Călimani",2100,6890,25.1858,47.1250,25.18580,47.12500,10,3,01/04/2010,31/12/2099,36,24/05/2026,YO8WD/P
YO/EC-003,Romania,"Eastern Carpathians",Retițiș,2021,6631,25.2189,46.8514,25.21890,46.85140,10,3,01/04/2010,30/09/2013,0,,
YO/EC-004,Romania,"Eastern Carpathians",Toroiaga,1930,6332,24.7166,47.7335,24.71660,47.73350,8,3,01/04/2010,31/12/2099,4,01/08/2024,YO6PIB/P
YO/EC-005,Romania,"Eastern Carpathians",Toaca,1901,6237,25.9499,46.9775,25.94990,46.97750,8,3,01/04/2010,31/12/2099,46,25/01/2026,YO8WD/P
YO/EC-006,Romania,"Eastern Carpathians","Baiul Mare",1895,6217,25.6220,45.3837,25.62200,45.38370,8,3,01/04/2010,31/12/2099,9,18/10/2020,YO9IPF/P
YO/EC-007,Romania,"Eastern Carpathians",Giumalău,1856,6089,25.4840,47.4343,25.48400,47.43430,8,3,01/04/2010,31/12/2099,69,15/02/2026,YO8WD/P
YO/EC-008,Romania,"Eastern Carpathians","Piatra Mare",1844,6050,25.6387,45.5507,25.63870,45.55070,8,3,01/04/2010,31/12/2099,15,21/01/2024,YO6PIB/P
YO/EC-009,Romania,"Eastern Carpathians",Țibleș,1840,6037,24.2588,47.5204,24.25880,47.52040,8,3,01/04/2010,30/09/2013,0,,
YO/EC-010,Romania,"Eastern Carpathians","Harghita Mădăraș",1801,5909,25.5819,46.4530,25.58190,46.45300,8,3,01/04/2010,31/12/2099,30,15/03/2025,YO6PIB/P
YO/EC-011,Romania,"Eastern Carpathians",Postăvaru,1799,5902,25.5678,45.5689,25.56780,45.56890,8,3,01/04/2010,31/12/2099,68,30/11/2025,YR1600VT
YO/EC-012,Romania,"Eastern Carpathians","Hășmașul Mare",1792,5879,25.8044,46.7041,25.80440,46.70410,8,3,01/04/2010,31/12/2099,21,27/09/2025,YO8SDE/P
YO/EC-013,Romania,"Eastern Carpathians","Saca Mare",1777,5830,25.2280,46.6838,25.22800,46.68380,8,3,01/04/2010,31/12/2099,10,08/01/2023,YO6BLS/P
YO/EC-014,Romania,"Eastern Carpathians",Fertău,1589,5213,25.5832,46.5159,25.58320,46.51590,8,3,01/04/2010,31/12/2099,4,19/07/2023,YO6IBO/P
YO/EC-015,Romania,"Eastern Carpathians",Penteleu,1772,5814,25.8983,45.4963,25.89830,45.49630,8,3,01/04/2010,30/09/2013,0,,
YO/EC-016,Romania,"Eastern Carpathians",Grindușu,1664,5459,26.1595,46.6412,26.15950,46.64120,8,3,01/04/2010,31/12/2099,0,,
YO/EC-017,Romania,"Eastern Carpathians",Rarău,1650,5413,25.5720,47.4559,25.57200,47.45590,8,3,01/04/2010,31/12/2099,150,05/04/2026,YO8SST
YO/EC-018,Romania,"Eastern Carpathians",Diecilor,1301,4268,25.3393,47.3177,25.33930,47.31770,8,3,01/04/2010,31/12/2099,60,15/03/2026,YO8WD/P
YO/EC-019,Romania,"Eastern Carpathians",Căsarul,1591,5220,24.9080,47.2002,24.90800,47.20020,8,3,01/04/2010,31/12/2099,3,08/03/2026,YO5IR
YO/EC-020,Romania,"Eastern Carpathians","Harghita Ciceu",1759,5771,25.6178,46.4083,25.61780,46.40830,8,3,01/04/2010,31/12/2099,15,17/01/2026,YO6YSA/P
YO/EC-021,Romania,"Eastern Carpathians",Vithovoș,1609,5279,25.7320,46.8595,25.73200,46.85950,8,3,01/04/2010,31/12/2099,6,23/02/2025,YO8SDE/P
YO/EC-022,Romania,"Eastern Carpathians",Crucii,1516,4974,25.2857,46.7972,25.28570,46.79720,8,3,01/04/2010,31/12/2099,2,07/06/2020,YO6PIB/P
