SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
YU/CS-001,Serbia,"Centralna Srbija","Pančićev vrh",2017,6617,20.82346,43.26932,20.82346,43.26932,10,3,01/08/2014,31/12/2099,4,15/10/2022,YU1CA/P
YU/CS-002,Serbia,"Centralna Srbija","Rogavska čuka",1785,5856,20.80499,43.47877,20.80499,43.47877,10,3,01/08/2014,31/12/2099,4,20/11/2021,YU1CA/P
YU/CS-003,Serbia,"Centralna Srbija",Kukavica,1726,5662,20.74331,43.32936,20.74331,43.32936,10,3,01/08/2014,31/12/2099,11,19/09/2023,YU/NJ0Q/P
YU/CS-004,Serbia,"Centralna Srbija","Crni vrh",1542,5059,20.77891,43.52278,20.77891,43.52278,8,3,01/08/2014,31/12/2099,1,08/09/2023,YU1WC/P
YU/CS-005,Serbia,"Centralna Srbija","Velika Đulica",1491,4891,21.44318,43.39157,21.44318,43.39157,8,3,01/08/2014,31/12/2099,0,,
YU/CS-006,Serbia,"Centralna Srbija",Palež,1478,4849,20.90473,43.34932,20.90473,43.34932,8,3,01/08/2014,31/12/2099,1,14/10/2022,YU1CA/P
YU/CS-007,Serbia,"Centralna Srbija",Kamarište,1375,4511,20.6113,43.60918,20.61130,43.60918,8,3,01/08/2014,31/12/2099,10,14/08/2025,YU1CA/P
YU/CS-008,Serbia,"Centralna Srbija",Ogledna,1359,4458,20.93404,43.30566,20.93404,43.30566,8,3,01/08/2014,31/12/2099,1,14/10/2022,YU1CA/P
YU/CS-009,Serbia,"Centralna Srbija",Kavgalija,1355,4445,20.67996,43.52566,20.67996,43.52566,8,3,01/08/2014,31/12/2099,5,02/05/2025,YU1WC/P
YU/CS-010,Serbia,"Centralna Srbija",Nerađe,1350,4429,20.90427,43.43462,20.90427,43.43462,8,3,01/08/2014,31/12/2099,2,15/10/2022,YU1CA/P
YU/CS-011,Serbia,"Centralna Srbija",Jastrebac,1313,4307,20.8899,43.2934,20.88990,43.29340,6,3,01/08/2014,31/12/2099,3,19/09/2023,YU1CA/P
YU/CS-012,Serbia,"Centralna Srbija","Banjska stena",1288,4225,20.77903,43.40995,20.77903,43.40995,6,3,01/08/2014,31/12/2099,1,15/10/2022,YU1CA/P
YU/CS-013,Serbia,"Centralna Srbija",Ljukten,1216,3989,20.84578,43.53667,20.84578,43.53667,6,3,01/08/2014,31/12/2099,4,08/02/2025,YT2ET
YU/CS-014,Serbia,"Centralna Srbija","Crna čuka",1196,3923,21.12269,43.24722,21.12269,43.24722,6,3,01/08/2014,31/12/2099,0,,
YU/CS-015,Serbia,"Centralna Srbija",Požar,1164,3815,21.13071,43.27798,21.13071,43.27798,6,3,01/08/2014,31/12/2099,0,,
YU/CS-016,Serbia,"Centralna Srbija","Veliki Šturac (Cvijićev vrh)",1132,3713,20.54027,44.1314,20.54027,44.13140,6,3,01/08/2014,31/12/2099,26,16/09/2025,YU1CA/P
YU/CS-017,Serbia,"Centralna Srbija",Garvanuša,1130,3707,21.36669,43.39931,21.36669,43.39931,6,3,01/08/2014,31/12/2099,0,,
YU/CS-018,Serbia,"Centralna Srbija",Viljac,1077,3533,20.92459,43.51938,20.92459,43.51938,4,0,01/08/2014,31/12/2099,1,09/09/2023,YU1WC/P
YU/CS-019,Serbia,"Centralna Srbija",Bandera,1051,3448,20.66379,43.48225,20.66379,43.48225,4,0,01/08/2014,31/12/2099,1,02/05/2025,YU1WC/P
YU/CS-020,Serbia,"Centralna Srbija",Čukar,984,3228,20.67022,43.5746,20.67022,43.57460,4,0,01/08/2014,31/12/2099,10,14/08/2025,YU1CA/P
YU/CS-021,Serbia,"Centralna Srbija",Kupinjak,946,3103,21.62817,43.39404,21.62817,43.39404,4,0,01/08/2014,31/12/2099,0,,
YU/CS-022,Serbia,"Centralna Srbija",Samar,922,3024,20.95011,43.75091,20.95011,43.75091,4,0,01/08/2014,31/12/2099,6,19/04/2026,YU1VM
YU/CS-023,Serbia,"Centralna Srbija",Vis,920,3018,20.53989,44.09199,20.53989,44.09199,4,0,01/08/2014,31/12/2099,7,12/09/2024,YU1WC/P
YU/CS-024,Serbia,"Centralna Srbija","Jasenovita glava",906,2972,20.93305,43.79281,20.93305,43.79281,4,0,01/08/2014,31/12/2099,3,09/10/2022,YU1CA/P
YU/CS-025,Serbia,"Centralna Srbija","Crni vrh",902,2959,20.55258,44.00485,20.55258,44.00485,4,0,01/08/2014,31/12/2099,3,12/11/2022,YU1CA/P
YU/CS-026,Serbia,"Centralna Srbija","Crni vrh",897,2942,20.90485,43.86101,20.90485,43.86101,2,0,01/08/2014,31/12/2099,4,30/11/2023,YU1CA/P
YU/CS-027,Serbia,"Centralna Srbija","Veliki Vujan",856,2808,20.46556,43.97435,20.46556,43.97435,2,0,01/08/2014,31/12/2099,2,07/05/2020,YU1CA/P
YU/CS-028,Serbia,"Centralna Srbija",Bukovik,851,2791,20.52034,43.95373,20.52034,43.95373,2,0,01/08/2014,31/12/2099,3,20/05/2023,YU1WC/P
YU/CS-029,Serbia,"Centralna Srbija","Ramaćki visovi",813,2667,20.66613,44.10771,20.66613,44.10771,2,0,01/08/2014,31/12/2099,3,31/08/2025,YU1CA/P
YU/CS-030,Serbia,"Centralna Srbija","Konjuška čuka",803,2634,21.19493,43.20735,21.19493,43.20735,2,0,01/08/2014,31/12/2099,0,,
YU/CS-031,Serbia,"Centralna Srbija",Ostrica,802,2631,20.5315,43.93421,20.53150,43.93421,2,0,01/08/2014,31/12/2099,1,20/05/2023,YU1WC/P
YU/CS-032,Serbia,"Centralna Srbija","Veliki Vetren",775,2542,21.2646,43.81216,21.26460,43.81216,2,0,01/08/2014,31/12/2099,3,16/07/2022,YU2TT
YU/CS-033,Serbia,"Centralna Srbija",Ostrvica,758,2486,20.46038,44.16905,20.46038,44.16905,2,0,01/08/2014,31/12/2099,11,13/11/2023,YU1CA/P
YU/CS-034,Serbia,"Centralna Srbija","Veliki vrh",749,2457,20.67848,43.84356,20.67848,43.84356,1,0,01/08/2014,31/12/2099,1,16/11/2024,YU1WC/P
YU/CS-035,Serbia,"Centralna Srbija","Velike livade",740,2427,20.71354,43.80841,20.71354,43.80841,1,0,01/08/2014,31/12/2099,1,18/04/2025,YU1WC/P
YU/CS-036,Serbia,"Centralna Srbija",Treska,736,2414,20.51697,44.00361,20.51697,44.00361,1,0,01/08/2014,31/12/2099,1,12/11/2022,YU1CA/P
YU/CS-037,Serbia,"Centralna Srbija","Crni vrh",707,2319,21.1104,44.01008,21.11040,44.01008,1,0,01/08/2014,31/12/2099,3,23/02/2020,YU1CA/P
YU/CS-038,Serbia,"Centralna Srbija",Bukulja,696,2283,20.52881,44.29862,20.52881,44.29862,1,0,01/08/2014,31/12/2099,6,01/05/2025,YU7SMK/P
YU/CS-039,Serbia,"Centralna Srbija",Venčac,658,2158,20.59315,44.26272,20.59315,44.26272,1,0,01/08/2014,31/12/2099,7,08/03/2025,YU1CA/P
YU/CS-040,Serbia,"Centralna Srbija",Kosmaj,626,2053,20.56387,44.4659,20.56387,44.46590,1,0,01/08/2014,31/12/2099,5,06/03/2025,YU1CA/P
YU/CS-041,Serbia,"Centralna Srbija",Jelenac,620,2034,20.6965,44.12506,20.69650,44.12506,1,0,01/08/2014,31/12/2099,2,31/12/2021,YU1CA/P
YU/CS-042,Serbia,"Centralna Srbija","Veliki Blagotin",533,1748,21.10038,43.73665,21.10038,43.73665,1,0,01/08/2014,31/12/2099,0,,
YU/CS-043,Serbia,"Centralna Srbija",Avala,506,1660,20.51599,44.68901,20.51599,44.68901,1,0,01/08/2014,31/12/2099,71,31/05/2026,YU1RVB/P
YU/CS-044,Serbia,"Centralna Srbija",Šiljegarnik,493,1617,21.44481,43.62032,21.44481,43.62032,1,0,01/08/2014,31/12/2099,0,,
YU/CS-045,Serbia,"Centralna Srbija",Preseka,454,1489,20.57002,44.32833,20.57002,44.32833,1,0,01/08/2014,31/12/2099,4,04/05/2024,YU1CA/P
YU/CS-046,Serbia,"Centralna Srbija",Varovnica,406,1332,20.70429,44.51322,20.70429,44.51322,1,0,01/08/2014,31/12/2099,24,15/03/2026,YU1WC/P
