SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
Z3/EM-001,"North Macedonia","East Macedonia",Ruen,2252,7388,22.516,42.158,22.51600,42.15800,10,3,01/05/2009,31/12/2099,6,15/09/2018,LZ1ENE/P
Z3/EM-002,"North Macedonia","East Macedonia","Carev Vrv",2084,6837,22.453,42.126,22.45300,42.12600,10,3,01/05/2009,31/12/2099,2,10/05/2012,Z35BY
Z3/EM-003,"North Macedonia","East Macedonia",Samar,1869,6132,22.916,41.341,22.91600,41.34100,8,3,01/05/2009,31/12/2099,2,22/03/2013,Z35BY
Z3/EM-004,"North Macedonia","East Macedonia",Lisec,1754,5754,22.507,41.781,22.50700,41.78100,8,3,01/05/2009,31/12/2099,1,10/12/2011,Z35BY
Z3/EM-005,"North Macedonia","East Macedonia",Ograzhden,1746,5728,22.875,41.541,22.87500,41.54100,8,3,01/05/2009,31/12/2099,1,02/04/2023,Z3/LZ1ENE/P
Z3/EM-006,"North Macedonia","East Macedonia",Ramno,1653,5423,21.446,42.192,21.44600,42.19200,8,3,01/05/2009,31/12/2099,12,27/05/2025,Z3/YU1CA/P
Z3/EM-007,"North Macedonia","East Macedonia",Chavka,1536,5039,22.735,41.904,22.73500,41.90400,8,3,01/05/2009,31/12/2099,1,11/05/2025,Z35BY
Z3/EM-008,"North Macedonia","East Macedonia","Shumanova Chuka",1433,4701,22.915,41.624,22.91500,41.62400,6,3,01/05/2009,31/12/2099,0,,
Z3/EM-009,"North Macedonia","East Macedonia","Crn Vrv",996,3267,22.325,41.706,22.32500,41.70600,4,0,01/05/2009,31/12/2099,1,10/12/2012,Z35BY
Z3/EM-010,"North Macedonia","East Macedonia",Elenica,971,3185,22.538,41.461,22.53800,41.46100,4,0,01/05/2009,31/12/2099,1,30/06/2012,Z35BY
