SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
ZL3/CB-001,"New Zealand - South Island",Canterbury,"Aoraki / Mount Cook (High Peak)",3718,12198,170.1418,-43.5951,170.14180,-43.59510,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-002,"New Zealand - South Island",Canterbury,"Malte Brun",3184,10446,170.304,-43.5631,170.30400,-43.56310,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-003,"New Zealand - South Island",Canterbury,"Mount Hamilton",3023,9917,170.3293,-43.5546,170.32930,-43.55460,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-004,"New Zealand - South Island",Canterbury,"Mount Chudleigh",2967,9734,170.279,-43.5871,170.27901,-43.58710,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-005,"New Zealand - South Island",Canterbury,"Haeckel Peak",2965,9727,170.3454,-43.5401,170.34540,-43.54010,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-006,"New Zealand - South Island",Canterbury,"Mount Darwin",2951,9681,170.3398,-43.5271,170.33980,-43.52710,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-007,"New Zealand - South Island",Canterbury,"Aiguilles Rouges",2949,9675,170.2918,-43.5776,170.29179,-43.57760,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-008,"New Zealand - South Island",Canterbury,"Mount D'Archiac",2868,9409,170.5818,-43.4649,170.58180,-43.46490,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-009,"New Zealand - South Island",Canterbury,"Hochstetter Dome",2812,9225,170.3492,-43.5024,170.34920,-43.50240,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-010,"New Zealand - South Island",Canterbury,"Mount Hutton",2828,9278,170.3909,-43.6035,170.39090,-43.60350,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-011,"New Zealand - South Island",Canterbury,"Mount Ronald Adair",2817,9242,170.4006,-43.5922,170.40060,-43.59220,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-012,"New Zealand - South Island",Canterbury,"Mount Sibbald",2810,9219,170.5545,-43.5512,170.55450,-43.55120,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-013,"New Zealand - South Island",Canterbury,"Mount Arrowsmith",2795,9169,170.9783,-43.357,170.97830,-43.35700,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-014,"New Zealand - South Island",Canterbury,"The Nuns Veil",2742,8996,170.2474,-43.6934,170.24741,-43.69340,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-015,"New Zealand - South Island",Canterbury,"Jagged Peak",2714,8904,171.0088,-43.334,171.00880,-43.33400,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-016,"New Zealand - South Island",Canterbury,"Mount Johnson",2695,8841,170.2619,-43.6037,170.26190,-43.60370,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-017,"New Zealand - South Island",Canterbury,"Couloir Peak",2646,8681,170.9899,-43.3411,170.98990,-43.34110,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-018,"New Zealand - South Island",Canterbury,"Red Peak",2641,8664,170.9897,-43.3142,170.98970,-43.31420,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-019,"New Zealand - South Island",Canterbury,"The Abbot",2632,8635,170.2933,-43.6659,170.29330,-43.66590,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-020,"New Zealand - South Island",Canterbury,"North Peak",2638,8654,171.0032,-43.3123,171.00320,-43.31230,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-021,"New Zealand - South Island",Canterbury,"Mount Sealy",2629,8625,170.0457,-43.7652,170.04570,-43.76520,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-022,"New Zealand - South Island",Canterbury,"Mount Lucia",2615,8579,170.3546,-43.6457,170.35460,-43.64570,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-023,"New Zealand - South Island",Canterbury,Manakau,2607,8553,173.6173,-42.225,173.61729,-42.22500,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-024,"New Zealand - South Island",Canterbury,"Mount Conrad",2598,8523,170.4192,-43.5613,170.41920,-43.56130,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-025,"New Zealand - South Island",Canterbury,"Mount Glenmary",2594,8510,169.8782,-43.9754,169.87820,-43.97540,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-026,"New Zealand - South Island",Canterbury,"Te ao Whekere",2594,8510,173.6945,-42.1857,173.69450,-42.18570,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-027,"New Zealand - South Island",Canterbury,"Mount Forbes",2584,8477,170.5876,-43.4953,170.58760,-43.49530,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-028,"New Zealand - South Island",Canterbury,"The Warrior",2579,8461,170.8443,-43.3453,170.84430,-43.34530,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-029,"New Zealand - South Island",Canterbury,ZL3/CB-029,2575,8448,173.6306,-42.02,173.63060,-42.02000,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-030,"New Zealand - South Island",Canterbury,"Mount Acland",2563,8408,170.4438,-43.5182,170.44380,-43.51820,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-031,"New Zealand - South Island",Canterbury,"Mount Wolseley",2557,8389,170.523,-43.4295,170.52299,-43.42950,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-032,"New Zealand - South Island",Canterbury,"Mauka Atua",2554,8379,170.0247,-43.8796,170.02470,-43.87960,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-033,"New Zealand - South Island",Canterbury,"Mount William Grant",2552,8372,170.3215,-43.7046,170.32150,-43.70460,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-034,"New Zealand - South Island",Canterbury,"Glentanner Peak",2546,8353,170.0229,-43.9081,170.02290,-43.90810,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-035,"New Zealand - South Island",Canterbury,"The Thumbs",2549,8362,170.7268,-43.5932,170.72681,-43.59320,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-036,"New Zealand - South Island",Canterbury,"High Peak",2539,8330,170.7242,-43.5692,170.72420,-43.56920,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-037,"New Zealand - South Island",Canterbury,"Mount Darby",2529,8297,170.0156,-43.7636,170.01559,-43.76360,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-038,"New Zealand - South Island",Canterbury,"Anzac Peaks",2527,8290,170.1704,-43.6048,170.17039,-43.60480,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-039,"New Zealand - South Island",Canterbury,"Mount Jukes",2525,8284,170.331,-43.6623,170.33099,-43.66230,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-040,"New Zealand - South Island",Canterbury,"Gamack Range",2521,8270,170.3264,-43.6946,170.32640,-43.69460,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-041,"New Zealand - South Island",Canterbury,Alma,2509,8231,170.7275,-43.555,170.72749,-43.55500,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-042,"New Zealand - South Island",Canterbury,"Mount Richmond",2515,8251,170.4363,-43.5413,170.43629,-43.54130,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-043,"New Zealand - South Island",Canterbury,"Dun Fiunary",2496,8188,170.0212,-43.9455,170.02119,-43.94550,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-044,"New Zealand - South Island",Canterbury,"Mount Glencairn",2495,8185,169.8775,-43.959,169.87750,-43.95900,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-045,"New Zealand - South Island",Canterbury,"Mount Dark",2492,8175,170.0458,-43.883,170.04581,-43.88300,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-046,"New Zealand - South Island",Canterbury,"Amazon Peak",2490,8169,170.8423,-43.3541,170.84230,-43.35410,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-047,"New Zealand - South Island",Canterbury,"Lauper Peak",2488,8162,170.948,-43.2271,170.94800,-43.22710,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-048,"New Zealand - South Island",Canterbury,"Mount Frances",2479,8133,170.5108,-43.4294,170.51080,-43.42940,10,3,01/05/2016,30/09/2025,0,,
ZL3/CB-049,"New Zealand - South Island",Canterbury,ZL3/CB-049,2456,8057,170.3577,-43.7472,170.35770,-43.74720,10,3,01/05/2016,31/12/2099,0,,
ZL3/CB-050,"New Zealand - South Island",Canterbury,"Mount Ramsay",2462,8077,170.8819,-43.271,170.88190,-43.27100,10,3,01/05/2016,31/12/2099,0,,
