SOTA Summits List (Date=05/06/2026)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
ZS/EC-001,"South Africa","Eastern Cape","Ben Macdhui",3001,9846,27.9354,-30.6479,27.93540,-30.64790,10,3,01/01/2003,31/12/2099,10,20/12/2019,ZS5APT
ZS/EC-002,"South Africa","Eastern Cape",Kompasberg,2502,8212,24.5398,-31.7593,24.53980,-31.75930,10,3,01/01/2003,31/12/2099,4,29/11/2023,ZS6LZ
ZS/EC-003,"South Africa","Eastern Cape",Hangklip,2086,6844,26.8341,-31.7707,26.83410,-31.77070,10,0,01/01/2003,31/12/2099,6,10/05/2016,ZS2DH
ZS/EC-009,"South Africa","Eastern Cape",Perdeberg,1651,5417,23.9550,-32.2817,23.95500,-32.28170,6,0,01/01/2003,31/12/2099,4,07/05/2017,ZS5APT
ZS/EC-011,"South Africa","Eastern Cape",Bloukop,1623,5325,25.5254,-32.6959,25.52540,-32.69590,6,0,01/01/2003,31/12/2099,2,08/08/2015,ZS2HC
ZS/EC-012,"South Africa","Eastern Cape","Tor Doone",1565,5135,26.9383,-32.5817,26.93830,-32.58170,4,0,01/01/2003,31/08/2017,9,18/06/2017,ZS2HC
ZS/EC-017,"South Africa","Eastern Cape",ZS/EC-017,3019,9905,28.1560,-30.4670,28.15600,-30.46700,10,3,01/09/2017,31/12/2099,0,,
ZS/EC-018,"South Africa","Eastern Cape",Lunyingweni,941,3087,29.1540,-30.9779,29.15400,-30.97790,2,0,01/09/2017,31/12/2099,0,,
ZS/EC-019,"South Africa","Eastern Cape",ZS/EC-019,2920,9580,28.1126,-30.6115,28.11260,-30.61150,10,3,01/09/2017,31/12/2099,0,,
ZS/EC-020,"South Africa","Eastern Cape",Dooiemanskrans,2881,9452,28.1085,-30.6780,28.10850,-30.67800,10,3,01/09/2017,31/12/2099,0,,
ZS/EC-021,"South Africa","Eastern Cape",ZS/EC-021,2867,9406,28.2675,-30.3764,28.26750,-30.37640,10,3,01/09/2017,31/12/2099,0,,
ZS/EC-022,"South Africa","Eastern Cape",Komokha,2857,9373,28.3998,-30.1436,28.39980,-30.14360,10,3,01/09/2017,31/12/2099,0,,
ZS/EC-023,"South Africa","Eastern Cape","Thaba Kholo",2815,9236,28.3653,-30.1686,28.36530,-30.16860,10,3,01/09/2017,31/12/2099,0,,
ZS/EC-024,"South Africa","Eastern Cape",ZS/EC-024,2808,9213,28.2204,-30.2780,28.22040,-30.27800,10,3,01/09/2017,31/12/2099,0,,
ZS/EC-025,"South Africa","Eastern Cape",ZS/EC-025,2804,9199,28.1589,-30.5420,28.15890,-30.54200,10,3,01/09/2017,31/12/2099,0,,
ZS/EC-026,"South Africa","Eastern Cape","Avoca Peak",2769,9085,27.5489,-30.7103,27.54890,-30.71030,10,3,01/09/2017,31/12/2099,0,,
ZS/EC-027,"South Africa","Eastern Cape","Ben Dearg",2769,9085,27.9800,-31.1103,27.98000,-31.11030,10,3,01/09/2017,31/12/2099,0,,
ZS/EC-028,"South Africa","Eastern Cape",ZS/EC-028,2743,8999,27.9604,-31.0534,27.96040,-31.05340,10,3,01/09/2017,31/12/2099,0,,
ZS/EC-029,"South Africa","Eastern Cape","Scobells Kop",2731,8960,28.1208,-30.7914,28.12080,-30.79140,10,3,01/09/2017,31/12/2099,2,14/09/2022,ZS5APT/2
